promo_scope,segment_family,demographic_modifier,supporting_behavior_difference,recommended_message_variant,recommended_channel_or_touchpoint,recommended_content_strategy,evidence_strength,include_in_visual_guide,include_in_storyline,reason_for_include_or_exclude,overinterpretation_risk,caveat
promo1,high_risk_week3_inactivity_or_retention_decay,gender_derived=female,"n=1163 churn=0.745; 시청량 전반적으로 세그먼트 평균 -1.99 min — 주요 성별 하위군",여성 시청자 대상 재활성 메시지 variant 검토 (주의: diff가 크지 않음),in-app push,최근 시청 장르 기반 추천 cue 있을 때만,moderate,yes,yes,n=1163으로 충분; 행동 차이는 크지 않으나 가장 큰 하위군,medium,Age/gender는 action personalization layer이며 이탈 원인이 아님
promo1,high_risk_week3_inactivity_or_retention_decay,gender_derived=male,"n=730 churn=0.740; 시청량 세그먼트 평균 +3.18 min — male이 약간 더 시청하나 이탈률 유사",남성 시청자 대상 콘텐츠 발견 경험 강조 variant 검토,in-app push,장르 cue 있을 때만,moderate,yes,yes,n=730으로 충분; male이 약간 더 시청함에도 이탈률 비슷 — 콘텐츠 발견 이슈 가능성,medium,personalization layer only
promo1,high_risk_week3_inactivity_or_retention_decay,age_group=20,"merged_3_features; 총시청/주차별 시청 패턴에서 세그먼트 대비 차이 관찰 (17 demographic 파일 기준)",20대 맞춤 콘텐츠 짧은 클립 또는 트렌드 추천 variant 검토,push,트렌드/숏폼 성격 콘텐츠,limited,yes,yes,행동 차이가 관찰됨 — 하지만 age가 원인이 아님,medium,personalization layer; age_group=20 n은 17 demographic 파일에서 재확인 권장
promo1,high_risk_activation_or_low_engagement,gender_derived=male,"n=147 churn=0.823; watch_time_min_w2 diff=-0.11 min (매우 작음) — 이탈률이 가장 높은 하위군(0.823)",남성 높은 이탈률 주목 — activation 강조 메시지 variant,early push,onboarding 콘텐츠 short-list,limited,yes,yes,이탈률 0.823으로 매우 높음; 단 n=147로 중간 크기; diff가 작아 행동 차이 크지 않음,high,n=147 moderate; diff 작음; personalization layer only
promo1,high_risk_activation_or_low_engagement,gender_derived=female,"n=223 churn=0.758; 시청 diff 미미 (+2.17 min) — female이 약간 더 시청하나 이탈률 비슷",female 활성화 메시지 variant,early push,다양성/드라마 장르 cue 있을 때,limited,yes,yes,n=223 충분; diff 작음 — 주의 필요,high,personalization layer only
promo1,mid_risk_retention_watchlist,age_group=40,"n=219 churn=0.612; total_watch_time_min diff=+16.47 min — 40대가 세그먼트 평균보다 더 시청",40대 시청자: 더 시청하지만 이탈 위험 — 콘텐츠 가치 강조 variant,light CRM,콘텐츠 가치/장르 깊이 강조,moderate,yes,yes,n=219 적당; diff=+16.47 min으로 명확한 행동 차이 관찰,medium,40대가 더 시청하지만 여전히 이탈 위험 — personalization cue 가능
promo1,mid_risk_retention_watchlist,gender_derived=male,"n=489 churn=0.630; total+w1 watch diff 약 +3~7 min — male이 약간 더 시청",남성 중위험군 light nurture variant,light push,선호 장르 유지 추천,limited,yes,yes,n=489 충분; diff 중간; male churn이 female보다 약간 높음,medium,personalization layer only
promo1,other_needs_review_residual,age_group=60,"n=172 churn=0.180; total_watch_time_min diff=-28.16 min — 60대가 세그먼트 평균보다 시청량 훨씬 적음",60대 residual 주목 — 별도 분석 권장 (action 제안 보류),monitoring,action 보류,limited,yes,limited_to_monitoring,n=172이고 이탈률 0.180; 시청량 차이가 크지만 residual이라 action 보류,high,other residual 내부; action 보류 — monitoring only
promo1,stable_usage_lower_risk,gender_derived=male,"n=744 churn=0.122; total_watch_time_min diff=-10.46 min — male이 세그먼트 평균보다 시청량 약간 적음",stable 군은 intervention 최소화 — 필요시 만족 유지 cue,low CRM,선호 콘텐츠 유지 추천,moderate,yes,limited_monitoring,n=744 크나 stable 군 action 최소화,low,stable low-risk; intervention 불필요
promo1,stable_usage_lower_risk,age_group=10,"n=48 churn=0.125; w3 diff=-28.33 min — 10대가 세그먼트 평균보다 w3 시청 크게 감소",10대 stable 군 — w3 감소 주목하나 n=48으로 small,monitoring,action 보류,limited,no,no,n=48 too small for main action,high,n<50; unstable; not main storyline
promo0,high_risk_week3_inactivity_or_retention_decay,gender_derived=female,"n=819 churn=0.684; total_watch_time_min diff=+5.57 min",comparison_only,comparison_reference,comparison,limited,no,comparison_only,promo0 comparison reference only,medium,comparison scope only
promo0,high_risk_week3_inactivity_or_retention_decay,gender_derived=unknown,"n=571 churn=0.671; watch_time_min_w1 diff=-5.68 min",comparison_only,comparison_reference,comparison,limited,no,comparison_only,promo0 unknown gender group,medium,comparison scope only
promo0,mid_risk_retention_watchlist,age_group=40,"n=563 churn=0.394; total_watch_time_min diff=+26.05 min",comparison_only,comparison_reference,comparison,moderate,no,comparison_only,promo0 reference — age=40 strong watcher but mid-risk,medium,comparison scope only
promo0,other_needs_review_residual,gender_derived=unknown,"n=1912 churn=0.095",comparison_only,comparison_reference,comparison,limited,no,comparison_only,promo0 residual large n; low churn baseline,medium,comparison scope only
promo0,high_risk_activation_or_low_engagement,gender_derived=unknown,"n=95 churn=0.758",comparison_only,comparison_reference,comparison,limited,no,comparison_only,promo0 subsignal only — n=95 small,high,comparison scope only
promo0,mid_risk_retention_watchlist,gender_derived=female,"n=557 churn=0.422",comparison_only,comparison_reference,comparison,limited,no,comparison_only,promo0 reference female mid-risk,medium,comparison scope only
