promo_scope,segment_family,segment_role,row_count,row_share,actual_churn_rate,actual_repurchase_rate,mean_gb_churn_risk,representative_behavior,business_action_type,demographic_personalization_summary,comparison_to_promo0_or_promo1,key_caveat,display_priority
promo1,high_risk_week3_inactivity_or_retention_decay,promo1_main_scope,1893,0.1590,0.7427,0.2573,0.7399,3주차 시청 감소/비활성 — 정가 전환 실패 위험 신호,week3_save_campaign,"gender:female(n=1163)/male(n=730) shortlist; age:전연령",promo0 churn=0.680 (+6.2%p delta),Provisional; OOF≠threshold; SHAP≠causality; demographic=personalization layer,1
promo1,high_risk_activation_or_low_engagement,promo1_main_scope,370,0.0311,0.7838,0.2162,0.7317,1주차 낮은 activation — 습관 형성 실패,activation_reengagement,"male(n=147;churn=0.823) shortlist; female(n=223)",promo0 n=273(subsignal_only; churn=0.751),Provisional; small family(n=370); caveat needed,2
promo1,mid_risk_retention_watchlist,promo1_main_scope,1309,0.1100,0.6012,0.3988,0.5276,2~3주차 행동 변화 관찰 필요 — 중간 위험,mid_risk_watchlist_nurture,"age=40(n=219;churn=0.612); gender=male(n=489)",promo0 churn=0.417 (+18.4%p delta),Mid-risk monitoring; not confirmed churn; light-touch only,3
promo1,stable_usage_lower_risk,promo1_main_scope,1999,0.1679,0.1196,0.8804,0.1341,안정적 이용 패턴 — 정가 전환 가능성 높음,stable_usage_maintenance_or_upsell,"gender=female(n=1254); male(n=744)",promo0 churn=0.068 (promo1도 12% — still higher),개입 최소화; upsell 후보,4
promo1,other_needs_review_residual,promo1_main_scope,6333,0.5320,0.1808,0.8192,0.1941,현재 rule로 설명 안 되는 잔여군 — 내부 이질,residual_monitoring,age=60(n=172) notable,promo0 churn=0.091 (+9.0%p delta),NOT mid-risk; residual; action보류; monitoring only,5
promo0,high_risk_week3_inactivity_or_retention_decay,comparison_reference,1890,0.1689,0.6804,0.3196,0.6537,3주차 비활성 패턴 — promo1 대비 +6.2%p 낮음,comparison_only,N/A,promo1 churn=0.743 baseline,comparison scope only; no action,6
promo0,high_risk_activation_or_low_engagement,comparison_reference_subsignal,273,0.0244,0.7509,0.2491,0.6289,낮은 activation — promo1과 유사 패턴이나 subsignal 수준,comparison_only,N/A,promo1 n=370 representative vs promo0 subsignal_only,comparison scope only; subsignal,7
promo0,mid_risk_retention_watchlist,comparison_reference,1195,0.1068,0.4167,0.5833,0.3634,중간 위험 관찰군 — promo1 대비 +18.4%p 낮음,comparison_only,N/A,promo1 churn=0.601 baseline,comparison scope only; no action,8
promo0,stable_usage_lower_risk,comparison_reference,1966,0.1757,0.0682,0.9318,0.0712,안정적 이용 — promo0 baseline 매우 낮음,comparison_only,N/A,promo1 churn=0.120 vs promo0=0.068 baseline,comparison scope only; no action,9
promo0,other_needs_review_residual,comparison_reference_residual,5869,0.5243,0.0908,0.9092,0.1140,잔여군 — promo0 churn=9.1%로 낮음,comparison_only,N/A,promo1 other=18.1% vs promo0=9.1% delta,comparison baseline only; no action,10
