column_name,pandas_dtype,semantic_type,missing_values,missing_rate,unique_values,min,max,top_values
membership_row_id,int64,id_metadata,0,0.0,23933,1,24074,1:2; 16082:2; 16091:2; 16090:2; 16089:2
USER_KEY,object,group_metadata,0,0.0,23670,,,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5:14; 412fe59a8f5ed105d97c6370f0113053f03efb04890b6814370720be519ee6b48803db2cf8ba59dde3825ff1c2d49765a93b31d2aecd81715ae0a392df3cf146:8; 30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8:8; e5afd0a3b3dec66b07d1a5a270c68414a962a6427f2c14d93d5dc8f173289a467b766da150d768721bbb50d6e4a7815882dfd05e54507a9be5231eeef1591686:6; a3b77971adf730f0206c7e14012f885c1c331cdd724788ef5b26f7e204bf17e34b59509849fb477349bd6802545231b6708a37c287870154aee8edceefc30e81:6
is_repurchase,object,target,0,0.0,2,,,Y:34452; N:13414
price,float64,numeric,0,0.0,38,7.69,16400.0,100.0:24330; 7900.0:8800; 9.99:5698; 10900.0:4012; 13900.0:1612
product_code,object,categorical,0,0.0,60,,,pk_1487:17566; pk_1488:6578; pk_2025:6066; pk_1489:5738; pk_1508:5698
max_screen,float64,numeric,148,0.003091965069151381,4,1.0,4.0,1.0:30110; 2.0:9798; 4.0:7792; 3.0:18
is_promotion,object,categorical,23536,0.4917060126185602,1,,,O:24330
is_user_verified,object,categorical,1536,0.0320895834203819,2,,,Y:35500; N:10830
gender,object,categorical,406,0.008482012284293653,3,,,F:25140; M:14768; N:7552
age,float64,numeric,406,0.008482012284293653,21,0.0,950.0,40.0:13412; 25.0:8116; 30.0:7178; 20.0:6446; 35.0:4756
payment_device,object,categorical,0,0.0,10,,,android:22274; pc:9280; ios:8140; mobile:7362; lgtv:364
billing_method,int64,numeric,0,0.0,10,121,190,134:12028; 151:9278; 140:8140; 131:4934; 132:4772
is_churn_prevented,object,categorical,39268,0.8203735428070029,1,,,O:8598
w1_3_has_watch_obs,int64,boolean,0,0.0,2,0,1,1:22435; 0:1498
w1_3_no_watch_obs_flag,int64,boolean,0,0.0,2,0,1,0:22435; 1:1498
w1_3_total_watch_time,float64,numeric,0,0.0,1553,0.0,6474.0,0.0:1498; 1.0:684; 2.0:279; 3.0:174; 4.0:158
w1_3_total_sessions,int64,numeric,0,0.0,61,0,104,1:2520; 2:2270; 3:2217; 4:2130; 5:1932
w1_3_unique_contents,int64,numeric,0,0.0,42,0,67,1:3725; 2:3378; 3:3039; 4:2689; 5:2214
w1_3_unique_watch_days,int64,numeric,0,0.0,20,0,20,1:4205; 2:4202; 3:3669; 4:3163; 5:2337
w1_3_avg_watch_time_per_session,float64,numeric,0,0.0,5346,0.0,200.0,0.0:1498; 1.0:1038; 2.0:175; 3.0:113; 5.0:93
w1_3_sessions_per_active_day,float64,numeric,0,0.0,241,0.0,18.0,1.0:5409; 2.0:3051; 1.5:2087; 0.0:1498; 1.333333:1096
w1_3_active_span_days,int64,numeric,0,0.0,22,0,21,1:4205; 15:1659; 0:1498; 16:1453; 17:1168
w1_3_first_watch_rel_day,float64,numeric,1498,0.06259140099444283,21,0.0,20.0,0.0:4447; 1.0:2703; 2.0:2064; 3.0:1823; 4.0:1549
w1_3_last_watch_rel_day,float64,numeric,1498,0.06259140099444283,21,0.0,20.0,20.0:4167; 19.0:2846; 18.0:2133; 17.0:1759; 15.0:1555
