column_name,presentation_label_ko,presentation_label_en,interpretation_group,suggested_short_name,keep_original_in_code,use_label_in_report,why
membership_row_id,멤버십 행 ID,membership row id,other,membership_row_id,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
USER_KEY,사용자 그룹 키,USER KEY,other,USER_KEY,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
is_repurchase,재구독 여부,is repurchase,other,is_repurchase,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
price,가격,price,membership_context,price,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
product_code,상품 코드,product code,membership_context,product_code,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
max_screen,최대 동시 화면 수,max screen,membership_context,max_screen,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
is_promotion,프로모션 여부,is promotion,membership_context,is_promotion,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
is_user_verified,사용자 인증 여부,is user verified,membership_context,is_user_verified,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
gender,성별,gender,membership_context,gender,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
age,나이,age,membership_context,age,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
payment_device,결제 기기,payment device,membership_context,payment_device,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
billing_method,결제 방식,billing method,membership_context,billing_method,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
is_churn_prevented,이탈 방지 여부 후보,is churn prevented,membership_context,is_churn_prevented,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_has_watch_obs,1~3주 시청 관측 여부,w1 3 has watch obs,watch_presence,3w_has_watch_obs,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_no_watch_obs_flag,1~3주 무시청 여부,w1 3 no watch obs flag,watch_presence,3w_no_watch_obs_flag,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_total_watch_time,1~3주 총 시청 시간,w1 3 total watch time,usage_volume,3w_total_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_total_sessions,1~3주 총 시청 세션 수,w1 3 total sessions,usage_volume,3w_total_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_unique_contents,1~3주 고유 콘텐츠 수,w1 3 unique contents,usage_volume,3w_unique_contents,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_unique_watch_days,1~3주 시청일 수,w1 3 unique watch days,usage_volume,3w_unique_watch_days,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_avg_watch_time_per_session,1~3주 세션당 평균 시청 시간,w1 3 avg watch time per session,session_intensity,3w_avg_watch_time_per_session,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_sessions_per_active_day,1~3주 활성일당 세션 수,w1 3 sessions per active day,session_intensity,3w_sessions_per_active_day,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_active_span_days,1~3주 활동 기간,w1 3 active span days,other,3w_active_span_days,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_first_watch_rel_day,1~3주 첫 시청 상대일,w1 3 first watch rel day,watch_timing_rel_day,3w_first_watch_rel_day,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_last_watch_rel_day,1~3주 마지막 시청 상대일,w1 3 last watch rel day,watch_timing_rel_day,3w_last_watch_rel_day,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week1_watch_time,1~3주 1주차 시청 시간,w1 3 week1 watch time,weekly_watch_time,3w_week1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week2_watch_time,1~3주 2주차 시청 시간,w1 3 week2 watch time,weekly_watch_time,3w_week2_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week3_watch_time,1~3주 3주차 시청 시간,w1 3 week3 watch time,weekly_watch_time,3w_week3_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week1_sessions,1~3주 1주차 세션 수,w1 3 week1 sessions,weekly_sessions,3w_week1_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week2_sessions,1~3주 2주차 세션 수,w1 3 week2 sessions,weekly_sessions,3w_week2_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
