feature_set_name,window,feature_count,includes_membership,includes_usage,includes_content_or_genre,includes_is_churn_prevented,feature_list,caution
membership_only_with_churn_prevented,common,10,Y,N,N,Y,"price, product_code, max_screen, is_promotion, is_user_verified, gender, age, payment_device, billing_method, is_churn_prevented",Check window and is_churn_prevented variant before reporting.
membership_only_without_churn_prevented,common,9,Y,N,N,N,"price, product_code, max_screen, is_promotion, is_user_verified, gender, age, payment_device, billing_method",Check window and is_churn_prevented variant before reporting.
usage_w1_3_only,w1_3,27,N,Y,N,N,"w1_3_has_watch_obs, w1_3_no_watch_obs_flag, w1_3_total_watch_time, w1_3_total_sessions, w1_3_unique_contents, w1_3_unique_watch_days, w1_3_avg_watch_time_per_session, w1_3_sessions_per_active_day, w1_3_active_span_days, w1_3_first_watch_rel_day, w1_3_last_watch_rel_day, w1_3_week1_watch_time, w1_3_week2_watch_time, w1_3_week3_watch_time, w1_3_week1_sessions, w1_3_week2_sessions, w1_3_week3_sessions, w1_3_week1_ratio, w1_3_week2_ratio, w1_3_week3_ratio, w1_3_w2_minus_w1_watch_time, w1_3_w3_minus_w1_watch_time, w1_3_max_daily_watch_time, w1_3_max_day_share, w1_3_one_minute_watch_count, w1_3_short_watch_count_le5, w1_3_short_watch_time_le5",Check window and is_churn_prevented variant before reporting.
usage_w1_4_only,w1_4,32,N,Y,N,N,"w1_4_has_watch_obs, w1_4_no_watch_obs_flag, w1_4_total_watch_time, w1_4_total_sessions, w1_4_unique_contents, w1_4_unique_watch_days, w1_4_avg_watch_time_per_session, w1_4_sessions_per_active_day, w1_4_active_span_days, w1_4_first_watch_rel_day, w1_4_last_watch_rel_day, w1_4_week1_watch_time, w1_4_week2_watch_time, w1_4_week3_watch_time, w1_4_week1_sessions, w1_4_week2_sessions, w1_4_week3_sessions, w1_4_week1_ratio, w1_4_week2_ratio, w1_4_week3_ratio, w1_4_w2_minus_w1_watch_time, w1_4_w3_minus_w1_watch_time, w1_4_max_daily_watch_time, w1_4_max_day_share, w1_4_one_minute_watch_count, w1_4_short_watch_count_le5, w1_4_short_watch_time_le5, w1_4_week4_watch_time, w1_4_week4_sessions, w1_4_week4_ratio, w1_4_w4_minus_w1_watch_time, w1_4_w4_minus_w3_watch_time",Check window and is_churn_prevented variant before reporting.
content_w1_3_only,w1_3,44,N,N,Y,N,"w1_3_content_has_watch_obs, w1_3_genre_covered_watch_time, w1_3_genre_missing_watch_time, w1_3_genre_covered_watch_ratio, w1_3_genre_missing_watch_ratio, w1_3_genre_unique_count, w1_3_top_genre, w1_3_top_genre_watch_time, w1_3_top_genre_watch_ratio, w1_3_genre_entropy, w1_3_genre_ratio_drama, w1_3_genre_watch_time_drama, w1_3_genre_session_count_drama, w1_3_genre_ratio_thriller_crime, w1_3_genre_watch_time_thriller_crime, w1_3_genre_session_count_thriller_crime, w1_3_genre_ratio_sf_fantasy, w1_3_genre_watch_time_sf_fantasy, w1_3_genre_session_count_sf_fantasy, w1_3_genre_ratio_action_adventure, w1_3_genre_watch_time_action_adventure, w1_3_genre_session_count_action_adventure, w1_3_genre_ratio_animation_family, w1_3_genre_watch_time_animation_family, w1_3_genre_session_count_animation_family, w1_3_genre_ratio_romance, w1_3_genre_watch_time_romance, w1_3_genre_session_count_romance, w1_3_genre_ratio_comedy, w1_3_genre_watch_time_comedy, w1_3_genre_session_count_comedy, w1_3_genre_ratio_historical_war, w1_3_genre_watch_time_historical_war, w1_3_genre_session_count_historical_war, w1_3_genre_ratio_horror, w1_3_genre_watch_time_horror, w1_3_genre_session_count_horror, w1_3_genre_ratio_other, w1_3_genre_watch_time_other, w1_3_genre_session_count_other, w1_3_release_month_covered_watch_ratio, w1_3_avg_ott_release_month_weighted, w1_3_recent_content_watch_ratio, w1_3_old_content_watch_ratio",Check window and is_churn_prevented variant before reporting.
content_w1_4_only,w1_4,44,N,N,Y,N,"w1_4_content_has_watch_obs, w1_4_genre_covered_watch_time, w1_4_genre_missing_watch_time, w1_4_genre_covered_watch_ratio, w1_4_genre_missing_watch_ratio, w1_4_genre_unique_count, w1_4_top_genre, w1_4_top_genre_watch_time, w1_4_top_genre_watch_ratio, w1_4_genre_entropy, w1_4_genre_ratio_drama, w1_4_genre_watch_time_drama, w1_4_genre_session_count_drama, w1_4_genre_ratio_thriller_crime, w1_4_genre_watch_time_thriller_crime, w1_4_genre_session_count_thriller_crime, w1_4_genre_ratio_sf_fantasy, w1_4_genre_watch_time_sf_fantasy, w1_4_genre_session_count_sf_fantasy, w1_4_genre_ratio_action_adventure, w1_4_genre_watch_time_action_adventure, w1_4_genre_session_count_action_adventure, w1_4_genre_ratio_animation_family, w1_4_genre_watch_time_animation_family, w1_4_genre_session_count_animation_family, w1_4_genre_ratio_romance, w1_4_genre_watch_time_romance, w1_4_genre_session_count_romance, w1_4_genre_ratio_comedy, w1_4_genre_watch_time_comedy, w1_4_genre_session_count_comedy, w1_4_genre_ratio_historical_war, w1_4_genre_watch_time_historical_war, w1_4_genre_session_count_historical_war, w1_4_genre_ratio_horror, w1_4_genre_watch_time_horror, w1_4_genre_session_count_horror, w1_4_genre_ratio_other, w1_4_genre_watch_time_other, w1_4_genre_session_count_other, w1_4_release_month_covered_watch_ratio, w1_4_avg_ott_release_month_weighted, w1_4_recent_content_watch_ratio, w1_4_old_content_watch_ratio",Check window and is_churn_prevented variant before reporting.
membership_plus_usage_w1_3_with_churn_prevented,w1_3,37,Y,Y,N,Y,"price, product_code, max_screen, is_promotion, is_user_verified, gender, age, payment_device, billing_method, is_churn_prevented, w1_3_has_watch_obs, w1_3_no_watch_obs_flag, w1_3_total_watch_time, w1_3_total_sessions, w1_3_unique_contents, w1_3_unique_watch_days, w1_3_avg_watch_time_per_session, w1_3_sessions_per_active_day, w1_3_active_span_days, w1_3_first_watch_rel_day, w1_3_last_watch_rel_day, w1_3_week1_watch_time, w1_3_week2_watch_time, w1_3_week3_watch_time, w1_3_week1_sessions, w1_3_week2_sessions, w1_3_week3_sessions, w1_3_week1_ratio, w1_3_week2_ratio, w1_3_week3_ratio, w1_3_w2_minus_w1_watch_time, w1_3_w3_minus_w1_watch_time, w1_3_max_daily_watch_time, w1_3_max_day_share, w1_3_one_minute_watch_count, w1_3_short_watch_count_le5, w1_3_short_watch_time_le5",Check window and is_churn_prevented variant before reporting.
membership_plus_usage_w1_3_without_churn_prevented,w1_3,36,Y,Y,N,N,"price, product_code, max_screen, is_promotion, is_user_verified, gender, age, payment_device, billing_method, w1_3_has_watch_obs, w1_3_no_watch_obs_flag, w1_3_total_watch_time, w1_3_total_sessions, w1_3_unique_contents, w1_3_unique_watch_days, w1_3_avg_watch_time_per_session, w1_3_sessions_per_active_day, w1_3_active_span_days, w1_3_first_watch_rel_day, w1_3_last_watch_rel_day, w1_3_week1_watch_time, w1_3_week2_watch_time, w1_3_week3_watch_time, w1_3_week1_sessions, w1_3_week2_sessions, w1_3_week3_sessions, w1_3_week1_ratio, w1_3_week2_ratio, w1_3_week3_ratio, w1_3_w2_minus_w1_watch_time, w1_3_w3_minus_w1_watch_time, w1_3_max_daily_watch_time, w1_3_max_day_share, w1_3_one_minute_watch_count, w1_3_short_watch_count_le5, w1_3_short_watch_time_le5",Check window and is_churn_prevented variant before reporting.
membership_plus_usage_w1_4_with_churn_prevented,w1_4,42,Y,Y,N,Y,"price, product_code, max_screen, is_promotion, is_user_verified, gender, age, payment_device, billing_method, is_churn_prevented, w1_4_has_watch_obs, w1_4_no_watch_obs_flag, w1_4_total_watch_time, w1_4_total_sessions, w1_4_unique_contents, w1_4_unique_watch_days, w1_4_avg_watch_time_per_session, w1_4_sessions_per_active_day, w1_4_active_span_days, w1_4_first_watch_rel_day, w1_4_last_watch_rel_day, w1_4_week1_watch_time, w1_4_week2_watch_time, w1_4_week3_watch_time, w1_4_week1_sessions, w1_4_week2_sessions, w1_4_week3_sessions, w1_4_week1_ratio, w1_4_week2_ratio, w1_4_week3_ratio, w1_4_w2_minus_w1_watch_time, w1_4_w3_minus_w1_watch_time, w1_4_max_daily_watch_time, w1_4_max_day_share, w1_4_one_minute_watch_count, w1_4_short_watch_count_le5, w1_4_short_watch_time_le5, w1_4_week4_watch_time, w1_4_week4_sessions, w1_4_week4_ratio, w1_4_w4_minus_w1_watch_time, w1_4_w4_minus_w3_watch_time",Check window and is_churn_prevented variant before reporting.
membership_plus_usage_w1_4_without_churn_prevented,w1_4,41,Y,Y,N,N,"price, product_code, max_screen, is_promotion, is_user_verified, gender, age, payment_device, billing_method, w1_4_has_watch_obs, w1_4_no_watch_obs_flag, w1_4_total_watch_time, w1_4_total_sessions, w1_4_unique_contents, w1_4_unique_watch_days, w1_4_avg_watch_time_per_session, w1_4_sessions_per_active_day, w1_4_active_span_days, w1_4_first_watch_rel_day, w1_4_last_watch_rel_day, w1_4_week1_watch_time, w1_4_week2_watch_time, w1_4_week3_watch_time, w1_4_week1_sessions, w1_4_week2_sessions, w1_4_week3_sessions, w1_4_week1_ratio, w1_4_week2_ratio, w1_4_week3_ratio, w1_4_w2_minus_w1_watch_time, w1_4_w3_minus_w1_watch_time, w1_4_max_daily_watch_time, w1_4_max_day_share, w1_4_one_minute_watch_count, w1_4_short_watch_count_le5, w1_4_short_watch_time_le5, w1_4_week4_watch_time, w1_4_week4_sessions, w1_4_week4_ratio, w1_4_w4_minus_w1_watch_time, w1_4_w4_minus_w3_watch_time",Check window and is_churn_prevented variant before reporting.
