no,column_name,presentation_label_ko,presentation_label_en,window,feature_family,interpretation_group,value_type,modeling_role,source_stage,source_table,used_in_any_feature_set,used_in_primary_model,used_in_stage07r_true_shap,shap_rank,mean_abs_shap,example_values_or_range,missing_rate,unique_count,calculation_logic,plain_interpretation,caution,target_adjacent_or_redundancy_flag,final_use_recommendation,do_not_claim
41,w1_3_content_has_watch_obs,1~3주 콘텐츠 시청 관측 여부,w1 3 content has watch obs,w1_3,content,watch_presence,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,125,0.0,"min=0, median=1.0, max=1",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
42,w1_3_genre_covered_watch_time,1~3주 장르 확인 시청 시간,w1 3 genre covered watch time,w1_3,genre,coverage_missing_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,141,0.0,"min=0.0, median=203.0, max=6474.0",0.0,1553,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
43,w1_3_genre_missing_watch_time,1~3주 장르 미확인 시청 시간,w1 3 genre missing watch time,w1_3,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,140,0.0,"min=0.0, median=0.0, max=0.0",0.0,1,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
44,w1_3_genre_covered_watch_ratio,1~3주 장르 확인 시청 비중,w1 3 genre covered watch ratio,w1_3,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,139,0.0,"min=0.0, median=1.0, max=1.0",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
45,w1_3_genre_missing_watch_ratio,1~3주 장르 미확인 시청 비중,w1 3 genre missing watch ratio,w1_3,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,142,0.0,"min=0.0, median=0.0, max=0.0",0.0,1,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
46,w1_3_genre_unique_count,1~3주 시청 장르 수,w1 3 genre unique count,w1_3,genre,other,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,16,0.0846906631770076,"min=0, median=3.0, max=11",0.0,12,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
47,w1_3_top_genre,1~3주 최다 시청 장르,w1 3 top genre,w1_3,genre,genre_preference_ratio,categorical,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,30,0.0298433802035382,Drama:4305; Thriller/Crime:2905; SF/Fantasy:2900; Animation/Family:2505; Action/Adventure:2485,0.06259140099444283,11,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
48,w1_3_top_genre_watch_time,1~3주 최다 장르 시청 시간,w1 3 top genre watch time,w1_3,genre,genre_preference_ratio,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,40,0.0135417820129679,"min=0.0, median=126.0, max=4388.0",0.0,942,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
49,w1_3_top_genre_watch_ratio,1~3주 최다 장르 시청 비중,w1 3 top genre watch ratio,w1_3,genre,genre_preference_ratio,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,36,0.0213460286562899,"min=0.0, median=0.62963, max=1.0",0.0,11728,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
50,w1_3_genre_entropy,1~3주 장르 다양성,w1 3 genre entropy,w1_3,genre,genre_preference_ratio,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,49,0.008633633758064,"min=0.0, median=0.953427, max=3.050084",0.0,15132,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
51,w1_3_genre_ratio_drama,1~3주 drama 장르 비중,w1 3 genre ratio drama,w1_3,genre,genre_preference_ratio,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,8,0.1136789472675908,"min=0.0, median=0.0, max=1.0",0.0,8211,장르별 시청 시간 비중 또는 최다 장르 기반 proxy입니다.,장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
52,w1_3_genre_watch_time_drama,1~3주 drama 장르 시청 시간,w1 3 genre watch time drama,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,23,0.0560247373929157,"min=0.0, median=0.0, max=2275.0",0.0,636,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
53,w1_3_genre_session_count_drama,1~3주 drama 장르 세션 수,w1 3 genre session count drama,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,9,0.1099604910201125,"min=0, median=0.0, max=24",0.0,22,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
