figure_id,file_name,file_path,figure_title,input_table,main_features,denominator_for_percent_labels,interpretation_allowed,interpretation_forbidden,created_successfully,warning,actual_output_folder,actual_figure_folder
10_fig_01,10_fig_01_2x2_cohort_counts.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_01_2x2_cohort_counts.png,프로모션 × 재구매 2x2 코호트 규모,10_2x2_feature_distribution_profile.csv,is_promotion; is_repurchase,"primary main cohort 전체 23,079행",2x2 cohort 규모 비교,unique user count or causal claim,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_02,10_fig_02_repurchase_rate_by_promotion.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_02_repurchase_rate_by_promotion.png,프로모션 여부별 재구매율,10_2x2_feature_distribution_profile.csv,is_promotion; is_repurchase,각 프로모션 집단 내부,observed repurchase rate,causal promotion effect,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_03,10_fig_03_top_09_signal_smd.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_03_top_09_signal_smd.png,재구매/미재구매를 가르는 주요 보수 feature 신호,10_focus_feature_deep_dive_summary.csv,watch_time(min)_w3; watch_session_w3; is_only_w1; retention_w3_ratio; diff_between_w3_w1; diff_between_w3_w2,SMD value; percent label not applicable,descriptive SMD magnitude/direction,statistical significance or causality,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_04_w3_watch_time_distribution_bins,10_fig_04_w3_watch_time_distribution_bins.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_04_w3_watch_time_distribution_bins.png,3주차 시청시간 분포: 2x2 코호트 비교,10_focus_feature_bin_distribution.csv,watch_time(min)_w3,각 2x2 코호트 내부,exploratory distribution comparison,final segment threshold,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_05_w3_watch_session_distribution_bins,10_fig_05_w3_watch_session_distribution_bins.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_05_w3_watch_session_distribution_bins.png,3주차 시청 세션 분포: 2x2 코호트 비교,10_focus_feature_bin_distribution.csv,watch_session_w3,각 2x2 코호트 내부,exploratory distribution comparison,final segment threshold,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_07_retention_w3_ratio_bins,10_fig_07_retention_w3_ratio_bins.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_07_retention_w3_ratio_bins.png,3주차 유지율 분포: 2x2 코호트 비교,10_focus_feature_bin_distribution.csv,retention_w3_ratio,각 2x2 코호트 내부,exploratory distribution comparison,final segment threshold,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_06,10_fig_06_is_only_w1_rate_by_2x2.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_06_is_only_w1_rate_by_2x2.png,1주차만 시청한 행의 비율: 2x2 코호트 비교,10_zero_inflation_binary_audit.csv,is_only_w1,각 2x2 코호트 내부,binary positive-rate comparison,final threshold or causality,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_08,10_fig_08_week_progression_mean_median.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_08_week_progression_mean_median.png,주차별 시청시간 변화: 2x2 코호트 비교,10_week_progression_pattern_audit.csv,watch_time(min)_w1/w2/w3,not a percent figure; mean and median by 2x2 cohort,week progression descriptive comparison,causal trend or model performance,True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_09,10_fig_09_zero_rate_heatmap_like.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_09_zero_rate_heatmap_like.png,주요 feature의 0값 비율 비교,10_zero_inflation_binary_audit.csv,watch_time(min)_w3; watch_session_w3; is_only_w1; is_w1_over_50pct; retention_w3_ratio; diff_between_w3_w1; is_cold_start_3d; is_cold_start_7d,각 2x2 코호트 내부,zero-rate pattern comparison,"p-value, causality, or model performance",True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
10_fig_10,10_fig_10_eda_insight_summary.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513\10_fig_10_eda_insight_summary.png,10_feature_eda_260513 요약,10_eda_insight_candidates.csv,promotion repurchase rate; 08/09 contrast; w3 usage; is_only_w1,figure text summary; denominator documented in source figures,team-sharing descriptive takeaways,"causality, p-value, model performance",True,,C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513
