feature_name,n,missing_count,missing_rate,mean,std,min,q01,q05,q10,q25,median,q75,q90,q95,q99,max,zero_count,zero_rate,positive_count,positive_rate,unique_count,binary_flag,high_zero_inflation_flag,extreme_outlier_flag,top_1pct_share_of_total,note
avg_gap_w1_watch_days,23079,0,0.0,0.6737828040209715,1.2343530656699115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,6.0,15608,0.6762858009445817,7471,0.3237141990554184,13,False,True,False,0.08913049535852065,descriptive only
avg_gap_w2_watch_days,23079,0,0.0,0.6499032308158932,1.179977943781368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,6.0,15552,0.6738593526582608,7527,0.32614064734173925,13,False,True,False,0.09240544167021489,descriptive only
avg_gap_w3_watch_days,23079,0,0.0,0.678413276355128,1.2277011634088855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,6.0,15485,0.6709562806014125,7594,0.32904371939858745,13,False,True,False,0.08852214008707802,descriptive only
is_cold_start_3d,23079,0,0.0,0.46345162268729145,0.49867323074568787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12383,0.5365483773127085,10696,0.46345162268729145,2,True,True,False,0.021596858638743454,descriptive only
is_cold_start_7d,23079,0,0.0,0.6792755318687985,0.4667651699140699,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7402,0.32072446813120153,15677,0.6792755318687985,2,True,False,False,0.01473496204630988,descriptive only
watch_time(min)_w1,23079,0,0.0,100.16192209367824,163.80861756918355,0.0,0.0,0.0,0.0,0.0,27.0,141.0,282.0,399.09999999999854,703.2200000000012,4766.0,8358,0.362147406733394,14721,0.637852593266606,856,False,False,True,0.09920156149083961,descriptive only
watch_time(min)_w2,23079,0,0.0,97.86767190952814,154.63072285355466,0.0,0.0,0.0,0.0,0.0,23.0,138.0,281.0,394.09999999999854,697.6600000000035,2957.0,8563,0.37102994063867584,14516,0.6289700593613241,849,False,False,True,0.09520261319845857,descriptive only
watch_time(min)_w3,23079,0,0.0,98.82512240565016,158.31659077643093,0.0,0.0,0.0,0.0,0.0,26.0,141.0,277.0,384.0,691.0,2691.0,8375,0.36288400710602714,14704,0.6371159928939729,841,False,False,True,0.10048601687576865,descriptive only
watch_session_w1,23079,0,0.0,2.2425148403310367,3.1081388484232053,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,14.0,70.0,8358,0.362147406733394,14721,0.637852593266606,36,False,False,True,0.08433967732586224,descriptive only
watch_session_w2,23079,0,0.0,2.2051648684951686,3.0540778712167613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,14.0,55.0,8563,0.37102994063867584,14516,0.6289700593613241,35,False,False,True,0.0855323914880239,descriptive only
watch_session_w3,23079,0,0.0,2.2056848216993803,2.963631230111216,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,13.0,41.0,8375,0.36288400710602714,14704,0.6371159928939729,36,False,False,True,0.08060111973283568,descriptive only
retention_w2_ratio,23079,0,0.0,29.339421364963822,91.02076893971078,0.000681,0.002611,0.005882,0.00974660000000001,0.2182865,1.0,3.676282,104.0,184.0,415.0,2958.0,0,0.0,23079,1.0,8592,False,False,True,0.21594182277117213,descriptive only
retention_w3_ratio,23079,0,0.0,31.464123790415528,96.15542213672944,0.000889,0.002532,0.00565,0.009901,0.25,1.0,4.2698475,111.0,200.0,420.22000000000116,2692.0,0,0.0,23079,1.0,8484,False,False,True,0.20670705349751647,descriptive only
diff_between_w2_w1,23079,0,0.0,-2.2942501841500933,187.90980460836028,-3444.0,-535.0,-281.0,-186.0,-76.0,0.0,66.5,185.0,280.0,530.2200000000012,2957.0,3836,0.16621170761298149,9361,0.40560682871874865,1382,False,False,True,,descriptive only
diff_between_w3_w1,23079,0,0.0,-1.3367996880280775,210.4843121999735,-4380.0,-594.0,-304.0,-201.0,-81.0,0.0,76.0,200.0,301.0,588.2200000000012,2691.0,3376,0.14628016811820269,9680,0.4194289180640409,1482,False,False,True,,descriptive only
diff_between_w3_w2,23079,0,0.0,0.9574504961220157,191.34943755959037,-1824.0,-543.0,-284.0,-191.0,-73.0,0.0,74.0,193.0,284.09999999999854,556.2200000000012,2691.0,3803,0.16478183630139953,9603,0.41609255167034964,1407,False,False,True,,descriptive only
is_w1_over_50pct,23079,0,0.0,0.29204038303219376,0.45471062950015095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16339,0.7079596169678062,6740,0.29204038303219376,2,True,True,False,0.03427299703264095,descriptive only
is_w2_over_50pct,23079,0,0.0,0.2635729451016075,0.4405799114995755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16996,0.7364270548983924,6083,0.2635729451016075,2,True,True,False,0.0379746835443038,descriptive only
is_w3_over_50pct,23079,0,0.0,0.28372113176480784,0.45081288479091924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16531,0.7162788682351922,6548,0.28372113176480784,2,True,True,False,0.03527794746487477,descriptive only
