source_html,component_name,component_type,description,reuse_recommendation,reuse_mode,target_section_in_final_v3,required_data,conflict_risk,notes
park.ingyeom/aarrr_visual_guide.html,AARRR funnel,Chart.js stage flow,Observed/proxy AARRR stage structure,Reuse chart type after final rewrite,reuse_chart_type,AARRR mapping,06_AARRR_chart_ready.csv,medium,Referral unobserved and Revenue target proxy must remain visible.
park.ingyeom/aarrr_visual_guide.html,AARRR sidebar,navigation,Long document anchor navigation,Reuse global navigation pattern,reuse_css_pattern,global layout,section anchors,low,Shorten labels for mobile.
park.ingyeom/aarrr_visual_guide.html,AARRR variable tooltip,tooltip,Inline variable explanations,Reuse for risky variables and caveats,reuse_css_pattern,feature dictionary,column_feature_contract_summary.csv,low,Tooltips must not add new interpretation.
park.ingyeom/project_guide_v2.html,project v2 warning cards,warning cards,Up-front caveat cards,Reuse text after final rewrite,reuse_text_after_rewrite,hero warning,FINAL/final_note.md,medium,Do not carry legacy numeric score wording.
park.ingyeom/project_guide_v2.html,project v2 timeline,timeline,Stage timeline,Reuse structure with 07 to 18 timeline CSV,reuse_structure_only,project timeline,stage_07_to_18_timeline.csv,low,Mark descriptive/model/SHAP/segmentation boundaries.
park.ingyeom/project_guide_v2.html,project v2 pipeline vertical flow,pipeline,Vertical stage dependency flow,Reuse structure only,reuse_structure_only,evidence lineage,dataset_lineage_summary.csv,low,Do not imply rerun.
park.ingyeom/project_guide_v2.html,project v2 feature count chart,bar chart,Feature-set count chart,Reuse chart type,reuse_chart_type,feature contract,05_dataset_feature_chart_ready.csv,medium,Show 76 versus 75 by scope.
park.ingyeom/segment_visual_guide.html,segment triage flow,triage flow,Priority-based assignment explanation,Reuse structure only,reuse_structure_only,segment assignment,17x_representative_segment_rules.csv,low,No new segment rule.
park.ingyeom/segment_visual_guide.html,segment flag dictionary,dictionary,Flag definitions,Reuse in appendix,reuse_structure_only,segment appendix,17x_internal_multiflag_definitions.csv,low,Content flags are proxy cues.
park.ingyeom/segment_visual_guide.html,segment detail cards,cards,Per-segment interpretation card,Reuse CSS pattern with final labels,reuse_css_pattern,segment storyline,07_segment_chart_ready.csv,medium,general_observation is residual monitoring.
park.ingyeom/segment_visual_guide.html,segment pie/doughnut,doughnut,Segment share chart,Reuse chart type,reuse_chart_type,segment overview,07_segment_chart_ready.csv,low,Rows are subscription-event rows.
park.ingyeom/segment_visual_guide.html,segment weekly watch chart,line/bar,W1 to W3 watch trajectory,Reuse chart type,reuse_chart_type,segment details,07_segment_chart_ready.csv,low,Aggregated from existing datamart only.
park.ingyeom/segment_visual_guide.html,segment risk scatter/bubble,scatter/bubble,Share versus risk priority chart,Reuse with caution,reuse_chart_type,segment priority matrix,07_segment_chart_ready.csv,medium,Avoid finalized campaign target wording.
park.ingyeom/shap_visual_guide.html,SHAP global bar image,PNG asset,Global SHAP bar,"Use Chart.js for main, PNG as reference",reuse_image_asset,SHAP overview,09_SHAP_chart_ready.csv,low,Non-causal model explanation.
park.ingyeom/shap_visual_guide.html,SHAP beeswarm image,PNG asset,SHAP distribution and direction,"Use PNG, not Chart.js replacement",reuse_image_asset,SHAP direction,10_SHAP_figure_asset_manifest.csv,low,Caption must be non-causal.
park.ingyeom/shap_visual_guide.html,SHAP family importance image,PNG/bar chart,Family-level SHAP,Prefer Chart.js in main and PNG in appendix,reuse_chart_type,SHAP family,09_SHAP_chart_ready.csv,low,Scope-specific.
park.ingyeom/shap_visual_guide.html,SHAP scope comparison image,PNG asset,Scope comparison,Use PNG in appendix,reuse_image_asset,SHAP appendix,10_SHAP_figure_asset_manifest.csv,medium,Do not collapse scopes into one universal ranking.
park.ingyeom/shap_visual_guide.html,SHAP safe/unsafe wording,wording,Safe versus unsafe explanation boundary,Reuse principle after rewrite,reuse_text_after_rewrite,guardrails,16x_safe_unsafe_wording.csv,low,Keep no-causality visible.
