chart_group,rank,feature_or_family,display_name_ko,mean_abs_shap,model_scope,model_name,feature_family,interpretation,caveat,source_file
overall_with_promotion_top10_features,1,watch_time_min_w3,3주차 시청시간,0.41385484780619847,overall_with_promotion,LightGBM,usage_retention_behavior,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,2,is_promotion,100원딜 유입 여부,0.376165123357192,overall_with_promotion,LightGBM,acquisition_split_key,Promotion context feature; not causal effect.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,3,retention_w2_ratio,2주차 유지 비율,0.37075507620274206,overall_with_promotion,LightGBM,usage_retention_behavior,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,4,retention_w3_ratio,3주차 유지 비율,0.33245952344771645,overall_with_promotion,LightGBM,usage_retention_behavior,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,5,drama_ratio,드라마 장르 비중,0.3256868005607498,overall_with_promotion,LightGBM,content_preference_context,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,6,family_animation_ratio,가족/애니메이션 비중,0.29744502404152534,overall_with_promotion,LightGBM,content_preference_context,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,7,romance_ratio,로맨스 비중,0.27612246405631086,overall_with_promotion,LightGBM,content_preference_context,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,8,thriller_crime_ratio,스릴러/범죄 비중,0.2630224500568187,overall_with_promotion,LightGBM,content_preference_context,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,9,action_adventure_ratio,액션/어드벤처 비중,0.22791411001047135,overall_with_promotion,LightGBM,content_preference_context,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_top10_features,10,diff_between_w2_w1,2주차-1주차 변화,0.2240659947434348,overall_with_promotion,LightGBM,usage_retention_behavior,Top feature importance within selected model scope.,"SHAP is model explanation, not causal proof.",16x_SHAP_global_importance.csv
overall_with_promotion_family_importance,1,usage_retention_behavior,이용/유지 행동 묶음,2.87730667743656,overall_with_promotion,LightGBM,usage_retention_behavior,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,2,content_preference_context,콘텐츠 선호 맥락 묶음,1.9299824212906975,overall_with_promotion,LightGBM,content_preference_context,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,3,acquisition_split_key,유입/프로모션 분기 묶음,0.376165123357192,overall_with_promotion,LightGBM,acquisition_split_key,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,4,other_feature_family,other_feature_family,0.26569367270244443,overall_with_promotion,LightGBM,other_feature_family,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,5,membership_context,membership_context,0.15684027049485896,overall_with_promotion,LightGBM,membership_context,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,6,demographic_proxy_caveat,demographic_proxy_caveat,0.1014166802730587,overall_with_promotion,LightGBM,demographic_proxy_caveat,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,7,registration_context,registration_context,0.05329930487951836,overall_with_promotion,LightGBM,registration_context,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
overall_with_promotion_family_importance,8,auth_proxy_caveat,auth_proxy_caveat,0.011216658676533736,overall_with_promotion,LightGBM,auth_proxy_caveat,Family-level mean absolute SHAP sum; scope-specific.,Non-causal and model-scope specific.,16x_SHAP_family_importance.csv
