chart_id,label,value,group,unit,source_file,caveat
dataset_lineage_waterfall,raw master,23343,row_count,rows,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_source_master_profile.csv,raw source profile only
dataset_lineage_waterfall,duration < 21 excluded,238,excluded_rows,rows,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_row_policy_audit.csv,row-level duration policy
dataset_lineage_waterfall,exact duplicate extra excluded,26,excluded_rows,rows,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_row_policy_audit.csv,exact full duplicate extra rows
dataset_lineage_waterfall,primary main cohort,23079,final_basis,rows,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_row_policy_audit.csv,"subscription-event rows, not unique-user table"
feature_set_flow_bar,conservative_safe_22,22,feature_count,features,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_dataset_comparison_summary.csv,feature count excludes USER_KEY and target
feature_set_flow_bar,expanded_feature_set,80,feature_count,features,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_dataset_comparison_summary.csv,contains interpretation caveat variables
feature_set_flow_bar,expanded_no_payment_device overall_with_promotion,76,feature_count,features,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_expanded_no_payment_device_feature_list.csv,is_promotion retained; payment_is_* removed
feature_set_flow_bar,expanded_no_payment_device other scopes,75,feature_count,features,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_expanded_no_payment_device_feature_list.csv,promotion split scopes do not include is_promotion
payment_device_sensitivity_delta_bar,overall_without_promotion LightGBM AUC delta,0.0005257408837547883,overall_without_promotion,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,overall_without_promotion CatBoost AUC delta,0.009421978217406535,overall_without_promotion,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"improved_after_removal; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,overall_without_promotion HistGradientBoosting AUC delta,0.0006761417449725471,overall_without_promotion,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,overall_with_promotion LightGBM AUC delta,0.00137017027422226,overall_with_promotion,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,overall_with_promotion CatBoost AUC delta,0.010216706147240018,overall_with_promotion,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"improved_after_removal; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,overall_with_promotion HistGradientBoosting AUC delta,0.0012961274144310808,overall_with_promotion,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,promotion_only LightGBM AUC delta,0.0003421433434368515,promotion_only,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,promotion_only CatBoost AUC delta,0.009888500878677986,promotion_only,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"improved_after_removal; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,promotion_only HistGradientBoosting AUC delta,0.0007447131879294577,promotion_only,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,nonpromotion_only LightGBM AUC delta,0.0009136804505628371,nonpromotion_only,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,nonpromotion_only CatBoost AUC delta,0.007830340486105758,nonpromotion_only,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"improved_after_removal; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
payment_device_sensitivity_delta_bar,nonpromotion_only HistGradientBoosting AUC delta,-0.0001498855025949819,nonpromotion_only,delta_oof_auc,park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,"near_neutral; sensitivity audit only, no canonical removal decision made; sensitivity audit only"
