figure_id,original_path,exists,file_size,recommended_use,target_asset_path,copy_status,caveat
16x_fig_bar_overall_with_promotion,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_overall_with_promotion.png,yes,142065,Use Chart.js top10 for main and PNG as reference.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_overall_with_promotion.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_beeswarm_overall_with_promotion,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_overall_with_promotion.png,yes,244523,Use PNG for main or appendix; Chart.js cannot replace beeswarm distribution.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_overall_with_promotion.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_family_bar_overall_with_promotion,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_overall_with_promotion.png,yes,51640,Use Chart.js for main family bar and keep PNG as reference.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_overall_with_promotion.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_redundancy_family_SHAP_importance,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_redundancy_family_SHAP_importance.png,yes,106840,Use Chart.js for main family bar and keep PNG as reference.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_redundancy_family_SHAP_importance.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_scope_top10_SHAP_comparison,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_scope_top10_SHAP_comparison.png,yes,91783,Use PNG in appendix.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_scope_top10_SHAP_comparison.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_bar_overall_without_promotion,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_overall_without_promotion.png,yes,141520,Use PNG in appendix.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_overall_without_promotion.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_beeswarm_overall_without_promotion,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_overall_without_promotion.png,yes,244445,Use PNG for main or appendix; Chart.js cannot replace beeswarm distribution.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_overall_without_promotion.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_family_bar_overall_without_promotion,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_overall_without_promotion.png,yes,48312,Use Chart.js for main family bar and keep PNG as reference.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_overall_without_promotion.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_bar_promotion_only,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_promotion_only.png,yes,140578,Use PNG in appendix.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_promotion_only.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_beeswarm_promotion_only,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_promotion_only.png,yes,263744,Use PNG for main or appendix; Chart.js cannot replace beeswarm distribution.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_promotion_only.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_family_bar_promotion_only,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_promotion_only.png,yes,47471,Use Chart.js for main family bar and keep PNG as reference.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_promotion_only.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_bar_nonpromotion_only,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_nonpromotion_only.png,yes,141725,Use PNG in appendix.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_bar_nonpromotion_only.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_beeswarm_nonpromotion_only,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_nonpromotion_only.png,yes,209609,Use PNG for main or appendix; Chart.js cannot replace beeswarm distribution.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_beeswarm_nonpromotion_only.png,copied,Existing 16x asset only; no SHAP recalculation performed.
16x_fig_family_bar_nonpromotion_only,park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_nonpromotion_only.png,yes,47420,Use Chart.js for main family bar and keep PNG as reference.,FINAL/project_guide_v3_visual_upgrade_evidence_260521/assets/shap/16x_fig_family_bar_nonpromotion_only.png,copied,Existing 16x asset only; no SHAP recalculation performed.
