source_file,exists,file_size,sha256_before,sha256_after,hash_unchanged,modified_time_before,modified_time_after,notes
park.ingyeom/aarrr_visual_guide.html,yes,87374,a4911bbdfc6cdef8b6bcda71146cdeb258db0d20cdc4d538a743f2e00568b954,a4911bbdfc6cdef8b6bcda71146cdeb258db0d20cdc4d538a743f2e00568b954,yes,2026-05-19T01:35:42,2026-05-19T01:35:42,source fingerprint only; source not modified
park.ingyeom/project_guide_v2.html,yes,101433,a4adb5706c4fc6c4e78317ae98464b9b2b9b380066122bf502883a5635262cd7,a4adb5706c4fc6c4e78317ae98464b9b2b9b380066122bf502883a5635262cd7,yes,2026-05-19T01:10:52,2026-05-19T01:10:52,source fingerprint only; source not modified
park.ingyeom/segment_visual_guide.html,yes,57853,ec3f474300ac61497048b8045b0d930833ea2b8274990039cba8ef8b9adfe6b5,ec3f474300ac61497048b8045b0d930833ea2b8274990039cba8ef8b9adfe6b5,yes,2026-05-19T01:10:52,2026-05-19T01:10:52,source fingerprint only; source not modified
park.ingyeom/shap_visual_guide.html,yes,30720,3b365a8e6bfb06817d95d08c7daf2e8140ffdb7524065fa01f5db34b9eb9af98,3b365a8e6bfb06817d95d08c7daf2e8140ffdb7524065fa01f5db34b9eb9af98,yes,2026-05-19T01:10:52,2026-05-19T01:10:52,source fingerprint only; source not modified
FINAL/project_guide_v3.html,no,,,,not_applicable_missing,,,file missing
park.ingyeom/project_guide.html,yes,74587,2be0e5eb4347e9117150938c8dadb22eafe70a6dc481eb06d845b0b8769dac6e,2be0e5eb4347e9117150938c8dadb22eafe70a6dc481eb06d845b0b8769dac6e,yes,2026-05-18T18:21:44,2026-05-18T18:21:44,source fingerprint only; source not modified
FINAL/project_guide_v3_evidence_pack_260521/dataset_lineage_summary.csv,yes,2209,d870e17a1f667bb1212768862fde702ad5ee4b4a59912ab356a3e957f70890e9,d870e17a1f667bb1212768862fde702ad5ee4b4a59912ab356a3e957f70890e9,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/project_guide_v3_evidence_pack_260521/column_feature_contract_summary.csv,yes,7449,59f541a5a2ed42b6fbd4e978202fdf2085b293b192b582ea72beabfe5348003b,59f541a5a2ed42b6fbd4e978202fdf2085b293b192b582ea72beabfe5348003b,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/project_guide_v3_evidence_pack_260521/AARRR_feature_mapping_table.csv,yes,12877,27bbadedb72930eb36f66109f653ec4604b7e5aea588fa9becbd6099f19a04ce,27bbadedb72930eb36f66109f653ec4604b7e5aea588fa9becbd6099f19a04ce,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/project_guide_v3_evidence_pack_260521/stage_07_to_18_timeline.csv,yes,3192,3c310dca665784f6b737e5721f66610527a4fe4295d510da9f723b69eccd143e,3c310dca665784f6b737e5721f66610527a4fe4295d510da9f723b69eccd143e,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_payment_removed_vs_original_comparison.csv,yes,4547,aff5e1c4766d2930f3836eb583b5458e6c3e7047910f49a65b1236da47215b8b,aff5e1c4766d2930f3836eb583b5458e6c3e7047910f49a65b1236da47215b8b,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_feature_set_comparison_design.csv,yes,6374,a4289c37a1fcfeaf921ea57d03534eafcd0c0e2b55006a4e63aa0e5c9aed2221,a4289c37a1fcfeaf921ea57d03534eafcd0c0e2b55006a4e63aa0e5c9aed2221,yes,2026-05-18T01:43:07,2026-05-18T01:43:07,source fingerprint only; source not modified
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_model_summary_by_scope.csv,yes,2411,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,yes,2026-05-18T01:43:07,2026-05-18T01:43:07,source fingerprint only; source not modified
park.ingyeom/reports/interpretation/16x_SHAP_candidate_interpretation_260516/16x_SHAP_global_importance.csv,yes,35139,e3bbb188d44adf1e7071c62423d4e8a69c43a9b6fe8f37d20d3c61c22fe41e2d,e3bbb188d44adf1e7071c62423d4e8a69c43a9b6fe8f37d20d3c61c22fe41e2d,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/interpretation/16x_SHAP_candidate_interpretation_260516/16x_SHAP_family_importance.csv,yes,2303,5f4f3322b099926dc5625397483bc339e0833cba361f5adb51340d5c1a1e48ef,5f4f3322b099926dc5625397483bc339e0833cba361f5adb51340d5c1a1e48ef,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/interpretation/16x_SHAP_candidate_interpretation_260516/16x_scope_comparison_top_features.csv,yes,4818,cc560c4989054315183e5f661b421032508592343b5047c195c83fdbe7f18da4,cc560c4989054315183e5f661b421032508592343b5047c195c83fdbe7f18da4,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/segments/17x_segmentation_design_260516/17x_segment_summary.csv,yes,2467,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/segments/17x_segmentation_design_260516/17x_dashboard_handoff_datamart.csv,yes,11788930,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
FINAL/segment_interpretation_patch_260521/07_promo_aware_segment_label_mapping.csv,yes,4809,b6c5dfe8b09d3f40e1ea175afecf3ee0de8dfb95c430cbf429103a0da81e89b7,b6c5dfe8b09d3f40e1ea175afecf3ee0de8dfb95c430cbf429103a0da81e89b7,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/segment_interpretation_patch_260521/08_segment_business_action_matrix.csv,yes,9327,86a315dd7b3fcfdcf10705d095b018f9045aca897a56d2d6c1503fe8dd0ab666,86a315dd7b3fcfdcf10705d095b018f9045aca897a56d2d6c1503fe8dd0ab666,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/segment_interpretation_patch_260521/09_safe_unsafe_wording_final.csv,yes,2728,d8c1d4b174083848b804830a9360172f28b512abedf4dc548d45dc0e6b3a5a43,d8c1d4b174083848b804830a9360172f28b512abedf4dc548d45dc0e6b3a5a43,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/final_note.md,yes,17676,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,82df16b39a648bef090c66e811d54015b592fcbab31da7739b3067ccdaae1043,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
FINAL/project_guide_v3_design_plan_260521.md,yes,27319,43964514034f73a6b035f739f0e0d23bdeed12cc8892c53c5a93fe5d81363aca,43964514034f73a6b035f739f0e0d23bdeed12cc8892c53c5a93fe5d81363aca,yes,2026-05-22T01:29:51,2026-05-22T01:29:51,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_overall_with_promotion.png,yes,142065,b0dbd2490250b7a2bde38741da543b34bd4ad19af2de754a92f66393e92e4eaa,b0dbd2490250b7a2bde38741da543b34bd4ad19af2de754a92f66393e92e4eaa,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_overall_with_promotion.png,yes,244523,abce8fa9a3853885890ec693b44d7c85af7b0e3277931b6c7e8aeb7b8ca2bd6b,abce8fa9a3853885890ec693b44d7c85af7b0e3277931b6c7e8aeb7b8ca2bd6b,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_overall_with_promotion.png,yes,51640,d4f809f27ec3719aec24bbc36f669b854f145a3e30abaf02fe9eb5957b64a125,d4f809f27ec3719aec24bbc36f669b854f145a3e30abaf02fe9eb5957b64a125,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_redundancy_family_SHAP_importance.png,yes,106840,2368e07bd50a7817cfdaf4901d99f482c6e293803e709261379292e20bf1c784,2368e07bd50a7817cfdaf4901d99f482c6e293803e709261379292e20bf1c784,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_scope_top10_SHAP_comparison.png,yes,91783,4152960d92af884d4ee81c220683b6b0938e1359e84406e99baf5f970a427ad5,4152960d92af884d4ee81c220683b6b0938e1359e84406e99baf5f970a427ad5,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_overall_without_promotion.png,yes,141520,74f18f048f0979bf8f224e59776ff14735841992b3c27bf8215ba72d5712fb9e,74f18f048f0979bf8f224e59776ff14735841992b3c27bf8215ba72d5712fb9e,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_overall_without_promotion.png,yes,244445,33ad6378847591bccb26758c6f5e7b0f15c0474c979bbf5b56d97327f82f8ea5,33ad6378847591bccb26758c6f5e7b0f15c0474c979bbf5b56d97327f82f8ea5,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_overall_without_promotion.png,yes,48312,427f114dcd35b7ab185ba69acc5c29720e9fce2b48a90a1e9b88cd5863f9549b,427f114dcd35b7ab185ba69acc5c29720e9fce2b48a90a1e9b88cd5863f9549b,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_bar_promotion_only.png,yes,140578,c86772bd5ec9ec5a2c9f4cd13fc9a897729b46a89b7276b51de824e9238a51a8,c86772bd5ec9ec5a2c9f4cd13fc9a897729b46a89b7276b51de824e9238a51a8,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_beeswarm_promotion_only.png,yes,263744,c10d15a93e9c8dc8e0b32071141be4558b6ae7721e2fc94f6e0bcb82aa57fd16,c10d15a93e9c8dc8e0b32071141be4558b6ae7721e2fc94f6e0bcb82aa57fd16,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
park.ingyeom/reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_family_bar_promotion_only.png,yes,47471,7fdd1c0240a78b95303180f2bcc806ec5ccc6c21b385c302eabe8ead57148e1e,7fdd1c0240a78b95303180f2bcc806ec5ccc6c21b385c302eabe8ead57148e1e,yes,2026-05-18T01:43:08,2026-05-18T01:43:08,source fingerprint only; source not modified
