source_html,conflict_item,legacy_value_or_phrase,final_expected_value_or_phrase,conflict_type,severity,recommendation
park.ingyeom/aarrr_visual_guide.html,"raw 23,343 vs final 23,079","t row 기준입니다. USER_KEY는 구독 이벤트마다 반복될 수 있어 row 수 ≠ 고유 고객 수입니다. ""고객 수""로 표현하지 않습니다. 23,343 전체 subscription-event rows 71.6% 전체 재구매율 (Revenue proxy) 28.4% 전체 이탈 proxy율 51.","23,079 primary subscription-event rows; 23,343 is raw only",row_count_basis,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide_v2.html,"raw 23,343 vs final 23,079","서 식어가는 신호를 조기에 발견하고, day21 이후 대응기간에 맞춤 개입하는 것이다. 23,079 분석 대상 구독 이벤트 행 [06x] 원본 23,343행에서 구독 기간 21일 미만(238행) + 완전 중복(26행)을 제외한 분석 cohort 크기입니다. 이 수치는 고객 수가 아닌 행 수입니다.","23,079 primary subscription-event rows; 23,343 is raw only",row_count_basis,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide.html,"raw 23,343 vs final 23,079","대응기간에 맞춤 개입하는 것이다. 23,079 분석 대상 subscription-event rows [06x] 그래서 이게 무슨 뜻인가? 원본 23,343행에서 구독 기간 21일 미만(238행) + 완전 중복(26행)을 제외한 최종 분석 데이터셋 크기입니다. 이 수치는 고객 수가 아닌 행 수입니다","23,079 primary subscription-event rows; 23,343 is raw only",row_count_basis,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/aarrr_visual_guide.html,100원딜 causal phrasing,bscription-event rows ○○개 iOS 고객은 충성도가 높다 비프로모션 rows에서 iOS 결제 환경 비율이 34.2%로 관측됨 100원딜이 이탈을 유발했다 프로모션군에서 재구매율이 8.7%p 낮게 관측됨 (관측 차이) SHAP이 원인이다 모델이 해당 피처를 중요하게 학습했음 (모델 설명) 이 ,"100원딜 is acquisition/scope context, not confirmed churn cause",causal_overstatement,high,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide_v2.html,100원딜 causal phrasing,"143명 = 352행) 이 문서의 모든 수치는 행 수 이지 고객 수가 아닙니다. ""고객 3,793명이 이탈 위험""이라고 읽으면 안 됩니다. ② 100원딜 ≠ 인과 is_promotion (100원딜 프로모션 유입 여부)은 코호트 분리 기준이자 모델 피처이지만, 이탈의 원인 이라고 해석할 수 없습니다. 관","100원딜 is acquisition/scope context, not confirmed churn cause",causal_overstatement,high,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/shap_visual_guide.html,100원딜 causal phrasing,텐츠 장르는 Movie_Master category mapping 기반 대리 신호다.” 위험한 표현 “3주차 시청 시간이 재구매를 만든다.” “100원딜이 이탈을 유발했다.” “is_promotion이 2위니까 100원딜 자체가 문제다.” 한 문장 결론 SHAP은 원인 설명이 아니라 모델 설명입니다. 이 프로,"100원딜 is acquisition/scope context, not confirmed churn cause",causal_overstatement,high,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide.html,100원딜 causal phrasing,"2 rows) 이 문서의 모든 수치는 행(row) 수 이지 고객 수가 아닙니다. ""고객 3,793명이 이탈 위험""이라고 읽으면 안 됩니다. ② 100원딜 ≠ 인과 100원딜 여부(is_promotion)는 코호트 분리 기준이자 모델 피처이지만, 이탈의 원인 이라고 해석할 수 없습니다. 관찰된 상관관계일 ","100원딜 is acquisition/scope context, not confirmed churn cause",causal_overstatement,high,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/aarrr_visual_guide.html,content_preference as churn defense target,row-level subscription-event 분석입니다. ① 위험-W3소멸 ② 위험-초반만시청 ③ 위험-전체비활성 ④ 중간-W3급감 ⑤ 콘텐츠취향-증가 ⑥ 안정-고활성 ⑦ 일반관찰 세그먼트별 W1→W2→W3 평균 시청시간 (분) — 수치 라인에 직접 표시 세그먼트 상세 수치 (전체 평균 ,content_preference_target_candidate is curation/full-price conversion action layer,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide_v2.html,content_preference as churn defense target,"를 빼고 주차별 시청 행동만 사용합니다. 확장 피처셋 (expanded_feature_set) 80 14x Optuna 후보 기준 회원 맥락, 콘텐츠 취향 대리 신호, 100원딜 구분 변수를 포함합니다. 14x AUC는 이 피처셋 기준입니다. 결제기기 제거 피처셋 (expanded_no_payme",content_preference_target_candidate is curation/full-price conversion action layer,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/segment_visual_guide.html,content_preference as churn defense target,ag dictionary 세그먼트 상세 ① 3주차 비활성·감소 고위험 ② 초기 활성화 약화 고위험 ③ 저활동 고위험 ④ 주차별 감소 중위험 ⑤ 콘텐츠 취향 proxy 추천 후보 ⑥ 안정 재구매 가능성 ⑦ 일반 관찰 비교 세그먼트 비교 대응 전략 후보 발표 주의 문장 근거 파일 17x 세그먼트 시각,content_preference_target_candidate is curation/full-price conversion action layer,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/shap_visual_guide.html,content_preference as churn defense target,주차 시청 유지 비율) 시청·유지 행동 묶음 (usage_retention_behavior) 0.3325 5 drama_ratio (전체 시청 콘텐츠 중 드라마 장르 비율) 콘텐츠 취향 맥락 묶음 (content_preference_context) 0.3257 6 family_animation_ratio (전체 시청 콘텐츠 중,content_preference_target_candidate is curation/full-price conversion action layer,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide.html,content_preference as churn defense target, W3(3주차) 시청 시간과 주차별 retention 비율이 모델이 가장 많이 참고하는 신호입니다. 콘텐츠 장르 비율도 상위에 등장 — 이것이 content_preference_target_candidate 세그먼트 설계의 간접 근거입니다. 7개 대표 세그먼트 (provisional) 섹션 메타 이 섹션이 말하는 것 day0~20 행동 신호로 분류,content_preference_target_candidate is curation/full-price conversion action layer,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/aarrr_visual_guide.html,general_observation as general customers,"154.7 전체평균의 154% 37.2 전체평균의 38% 280.9 전체평균의 281% +126.2분 (+81.6%) 고활성 (W3 집중) ⑦ general_observation (특정 패턴 미해당 일반 그룹 — rows 34.2%, 전체에서 가장 큰 비중) 71.9 전체평균의 72% 104.3 전체평균의 106% 88",general_observation is residual monitoring group,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide_v2.html,general_observation as general customers," flag_low_risk_stable (이탈 위험 점수 하위 안정 구간과 안정적 유지 패턴 여부) == 1 일반 관찰 대상 대표 라벨 ID: general_observation [17x] 우선순위 7 7,896 행 (34.2%) 84.1% 재구매율 16.9% 평균 이탈위험 쉬운 설명: 1~6순위 조건 중 어디에도 배정",general_observation is residual monitoring group,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/segment_visual_guide.html,general_observation as general customers,",195 26.8% 89.9% 9.5% 6 stable_retained_user 안정 재구매 가능성 1,224 5.3% 98.9% 1.7% 7 general_observation 일반 관찰 대상 7,896 34.2% 84.1% 16.9% 세그먼트에서 쓰인 핵심 Flag 사전 세그먼트 rule을 이해하려면 flag를 먼저",general_observation is residual monitoring group,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide.html,general_observation as general customers," 접점, 업셀 타진 — 단, 할인 확정 아님. 분류 규칙 보기 (영문 원본) flag_low_risk_stable == 1 ⚪ 일반 관찰 대상 general_observation [17x] priority 7 7,896 rows (34.2%) 84.1% 재구매율 16.9% 평균 이탈위험 어떤 이전 규칙에도 해당하지 않는",general_observation is residual monitoring group,segment_label_overstatement,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/aarrr_visual_guide.html,payment-device as viewing device, 전체 재구매율 (Revenue proxy) 28.4% 전체 이탈 proxy율 51.2% 프로모션(100원딜) 비율 76 expanded_no_payment_device 피처 수 (15x) 0.8787 LightGBM OOF AUC (15x) day0~20 관측창 (day21+ 행동 미사용) AARRR 단계별 ,"payment-device is payment context/proxy, not viewing device",proxy_mislabel,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide_v2.html,payment-device as viewing device," expanded 피처 계약 (80개) 회원 맥락(멤버십, 인구통계 대리 변수), 가입 시점, 결제 방식, 콘텐츠/장르 비율 등 58개 추가. payment_is_* 4개 포함(15x에서 해석 리스크 재심의). 06x 데이터셋 생성 및 행 정책 23,343행 → 23,079행 분석 cohort. 보수 피처","payment-device is payment context/proxy, not viewing device",proxy_mislabel,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/segment_visual_guide.html,payment-device as viewing device,"? churn_risk = 1 - repurchase_score 입니다. repurchase_score는 15x 단계에서 expanded_no_payment_device 피처셋, overall_with_promotion scope, LightGBM 모델의 OOF(Out-Of-Fold) prediction에서 가","payment-device is payment context/proxy, not viewing device",proxy_mislabel,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/shap_visual_guide.html,payment-device as viewing device,6x CSV와 figure inventory 기준으로 작성했습니다. 읽기 전 기준 16x SHAP candidate interpretation payment_is_mobile / payment_is_pc / payment_is_android / payment_is_ios 제거 후의 SHAP 해석 산출물입니,"payment-device is payment context/proxy, not viewing device",proxy_mislabel,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
park.ingyeom/project_guide.html,payment-device as viewing device," expanded 피처 계약 (80개) 회원 맥락(멤버십, 인구통계 proxy), 가입 시점, 결제 방식, 콘텐츠/장르 비율 등 58개 추가. payment_is_* 4개 포함(→ 15x에서 재심의). 06x 데이터셋 생성 및 행 정책 23,343 → 23,079 최종 코호트. conservative(22","payment-device is payment context/proxy, not viewing device",proxy_mislabel,medium,Rewrite or exclude legacy phrase; use final evidence-pack wording.
