trial,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,max_depth,min_samples_leaf,max_features,class_weight
155,0.8490269735187335,0.9593397692134324,0.11031279569469898,True,383,15,8,0.5,balanced
182,0.8489858209169473,0.9593803300794732,0.11039450916252591,True,433,15,8,0.5,balanced
162,0.8489840149602779,0.9593534222149958,0.11036940725471789,True,388,15,8,0.5,balanced
129,0.8489817915445727,0.9593791978952886,0.11039740635071593,True,435,15,8,0.5,balanced
132,0.8489737696025361,0.9593993559436186,0.11042558634108246,True,417,15,8,0.5,balanced
97,0.8489692080267041,0.9593951427254224,0.11042593469871831,True,425,15,8,0.5,balanced
93,0.8489692080267041,0.9593951427254224,0.11042593469871831,True,425,15,8,0.5,balanced
195,0.8489657179111256,0.9593839750568467,0.11041825714572107,True,415,15,8,0.5,balanced
80,0.8489630375691327,0.9595225312089534,0.11055949363982065,True,675,15,8,0.5,balanced
184,0.8489624322246925,0.9593936851837993,0.11043125295910683,True,442,15,8,0.5,balanced
176,0.8489624281522703,0.9593782236549913,0.11041579550272096,True,432,15,8,0.5,balanced
181,0.8489621708370017,0.9593890339803133,0.11042686314331163,True,443,15,8,0.5,balanced
142,0.8489561198834474,0.9593977047047864,0.11044158482133892,True,428,15,8,0.5,balanced
95,0.8489556143630251,0.9593973277899634,0.11044171342693831,True,426,15,8,0.5,balanced
161,0.8489533791454577,0.9594137307512135,0.11046035160575585,True,456,15,8,0.5,balanced
183,0.8489531293520844,0.9594030648190687,0.11044993546698423,True,444,15,8,0.5,balanced
81,0.8489502034302452,0.9595261747356508,0.11057597130540564,True,673,15,8,0.5,balanced
94,0.8489493781098272,0.9593794029593191,0.11043002484949194,True,436,15,8,0.5,balanced
192,0.8489490655893815,0.959356548234029,0.1104074826446475,True,393,15,8,0.5,balanced
133,0.8489473296665431,0.9594146734546645,0.1104673437881214,True,457,15,8,0.5,balanced
172,0.8489347448385519,0.9593157954660434,0.11038105062749148,True,376,15,8,0.5,balanced
101,0.8489347448385519,0.9593157954660434,0.11038105062749148,True,376,15,8,0.5,balanced
44,0.848899723669066,0.9595558848986487,0.11065616122958277,True,598,15,8,0.5,balanced
25,0.8488726745984202,0.9608507545111642,0.111978079912744,True,697,16,8,0.5,balanced
112,0.8488709060383061,0.9594078407695822,0.11053693473127613,True,465,15,8,0.5,balanced
135,0.8488572698318612,0.9593221410293857,0.11046487119752457,True,360,15,8,0.5,balanced
115,0.8488498005325897,0.9594225459310094,0.11057274539841966,True,472,15,8,0.5,balanced
151,0.8488480404545798,0.9594250747860015,0.11057703433142163,True,473,15,8,0.5,balanced
141,0.848825409756478,0.959441823291088,0.11061641353460994,True,479,15,8,0.5,balanced
125,0.8488053732173213,0.9527452907588039,0.10393991754148257,True,421,14,9,0.5,balanced
106,0.8488016051756896,0.9527406404584522,0.1039390352827626,True,410,14,9,0.5,balanced
124,0.8487928103902815,0.9527380959023167,0.10394528551203519,True,418,14,9,0.5,balanced
171,0.8487868168151076,0.9593129838678548,0.1105261670527472,True,354,15,8,0.5,balanced
160,0.8487691910923687,0.9527394629713724,0.10397027187900365,True,427,14,9,0.5,balanced
43,0.8487583893453092,0.9502173495854629,0.10145896024015366,True,592,15,10,0.5,balanced
122,0.8487527794858369,0.9594776044842106,0.11072482499837366,True,515,15,8,0.5,balanced
91,0.8487300331786518,0.9501552698722723,0.10142523669362047,True,431,15,10,0.5,balanced
143,0.8487287011033029,0.9501501070827867,0.10142140597948379,True,401,15,10,0.5,balanced
179,0.8487272675714242,0.9501520033145935,0.10142473574316924,True,420,15,10,0.5,balanced
153,0.8487111752567842,0.9501512637537571,0.10144008849697295,True,427,15,10,0.5,balanced
88,0.848701221926396,0.9500940351993636,0.10139281327296767,True,341,15,10,0.5,balanced
26,0.8486976001338264,0.955975047759458,0.10727744762563152,True,686,16,9,0.5,balanced
170,0.8486975546636117,0.9528018483074735,0.10410429364386176,True,489,14,9,0.5,balanced
73,0.8486950340658002,0.9529529914490986,0.10425795738329846,True,662,14,9,0.5,balanced
72,0.8486847757719798,0.9512162139362836,0.10253143816430388,True,684,16,10,0.5,balanced
71,0.848679239754901,0.9512112974337622,0.1025320576788612,True,685,16,10,0.5,balanced
32,0.8486624290025782,0.9502599585907507,0.10159752958817259,True,741,15,10,0.5,balanced
61,0.8486543358880653,0.9512131053471602,0.10255876945909492,True,661,16,10,0.5,balanced
17,0.848653130468783,0.9393457316547451,0.09069260118596212,True,798,17,13,0.5,balanced
41,0.84861865839641,0.9512177681379871,0.10259910974157704,True,671,16,10,0.5,balanced
31,0.84861865839641,0.9512177681379871,0.10259910974157704,True,671,16,10,0.5,balanced
114,0.8486184361921791,0.9559053382867322,0.10728690209455305,True,509,16,9,0.5,balanced
