portfolio_scenario,portfolio_label,scenario,included_segments,total_targeted_users,contact_volume_treated_users,total_baseline_churners,total_incremental_retained_users,churner_reduction_share,total_campaign_cost,total_net_value,roi,financial_status,operational_caution,business_readiness,assumption_source
high_risk_only,A. 최상위 위험군만,low,최상위_이탈위험군,463,334.5,382.0,3.3,0.0086,,,,assumption_required_no_profit_claim,가장 보수적 타겟팅 시나리오. 접촉 규모 최소.,safe_to_report_with_assumption_caveat,portfolio aggregation of editable placeholder assumptions
high_risk_only,A. 최상위 위험군만,base,최상위_이탈위험군,463,334.5,382.0,10.0,0.0262,,,,assumption_required_no_profit_claim,가장 보수적 타겟팅 시나리오. 접촉 규모 최소.,safe_to_report_with_assumption_caveat,portfolio aggregation of editable placeholder assumptions
high_risk_only,A. 최상위 위험군만,high,최상위_이탈위험군,463,334.5,382.0,16.7,0.0437,,,,assumption_required_no_profit_claim,가장 보수적 타겟팅 시나리오. 접촉 규모 최소.,safe_to_report_with_assumption_caveat,portfolio aggregation of editable placeholder assumptions
high_risk_plus_low_engagement,B. 최상위 + 저관여 고위험군,low,최상위_이탈위험군|초기중기_저관여_고위험군,897,629.6,632.0,6.3,0.01,,,,assumption_required_no_profit_claim,가장 안전한 발표 시나리오. 온보딩 실행 역량 필요.,safest_presentation_scenario,portfolio aggregation of editable placeholder assumptions
high_risk_plus_low_engagement,B. 최상위 + 저관여 고위험군,base,최상위_이탈위험군|초기중기_저관여_고위험군,897,629.6,632.0,18.9,0.0299,,,,assumption_required_no_profit_claim,가장 안전한 발표 시나리오. 온보딩 실행 역량 필요.,safest_presentation_scenario,portfolio aggregation of editable placeholder assumptions
high_risk_plus_low_engagement,B. 최상위 + 저관여 고위험군,high,최상위_이탈위험군|초기중기_저관여_고위험군,897,629.6,632.0,31.5,0.0498,,,,assumption_required_no_profit_claim,가장 안전한 발표 시나리오. 온보딩 실행 역량 필요.,safest_presentation_scenario,portfolio aggregation of editable placeholder assumptions
broad_high_risk,C. 전체 고위험군 (3개 세그먼트),low,최상위_이탈위험군|초기중기_저관여_고위험군|주차별이용패턴_고위험군,1981,1280.0,1039.0,12.8,0.0123,,,,assumption_required_no_profit_claim,중간 규모 개입. 접촉 피로 주의. 주차 패턴 리프트 불확실.,plausible_but_cautioned,portfolio aggregation of editable placeholder assumptions
broad_high_risk,C. 전체 고위험군 (3개 세그먼트),base,최상위_이탈위험군|초기중기_저관여_고위험군|주차별이용패턴_고위험군,1981,1280.0,1039.0,38.4,0.037,,,,assumption_required_no_profit_claim,중간 규모 개입. 접촉 피로 주의. 주차 패턴 리프트 불확실.,plausible_but_cautioned,portfolio aggregation of editable placeholder assumptions
broad_high_risk,C. 전체 고위험군 (3개 세그먼트),high,최상위_이탈위험군|초기중기_저관여_고위험군|주차별이용패턴_고위험군,1981,1280.0,1039.0,64.0,0.0616,,,,assumption_required_no_profit_claim,중간 규모 개입. 접촉 피로 주의. 주차 패턴 리프트 불확실.,plausible_but_cautioned,portfolio aggregation of editable placeholder assumptions
recommendation_light,D. 고위험군 + 장르 추천 (저비용 병행),low,최상위_이탈위험군|초기중기_저관여_고위험군|주차별이용패턴_고위험군|장르비율_추천후보군,4190,2191.2,1300.1,17.4,0.0134,,,,assumption_required_no_profit_claim,장르 추천 효과는 추가 가정 의존도 높음. 가정 민감성 주의.,assumption_sensitive,portfolio aggregation of editable placeholder assumptions
recommendation_light,D. 고위험군 + 장르 추천 (저비용 병행),base,최상위_이탈위험군|초기중기_저관여_고위험군|주차별이용패턴_고위험군|장르비율_추천후보군,4190,2191.2,1300.1,52.1,0.0401,,,,assumption_required_no_profit_claim,장르 추천 효과는 추가 가정 의존도 높음. 가정 민감성 주의.,assumption_sensitive,portfolio aggregation of editable placeholder assumptions
recommendation_light,D. 고위험군 + 장르 추천 (저비용 병행),high,최상위_이탈위험군|초기중기_저관여_고위험군|주차별이용패턴_고위험군|장르비율_추천후보군,4190,2191.2,1300.1,91.3,0.0702,,,,assumption_required_no_profit_claim,장르 추천 효과는 추가 가정 의존도 높음. 가정 민감성 주의.,assumption_sensitive,portfolio aggregation of editable placeholder assumptions
monitoring_only,E. 모니터링 전용 (맥락 참조용),low,안정유지_후보군|일반관찰군,435,84.0,45.0,0.0,0.0,,,,assumption_required_no_profit_claim,개입 효과 주장 없음. 맥락 기술 전용.,context_only,portfolio aggregation of editable placeholder assumptions
monitoring_only,E. 모니터링 전용 (맥락 참조용),base,안정유지_후보군|일반관찰군,435,84.0,45.0,0.4,0.0089,,,,assumption_required_no_profit_claim,개입 효과 주장 없음. 맥락 기술 전용.,context_only,portfolio aggregation of editable placeholder assumptions
monitoring_only,E. 모니터링 전용 (맥락 참조용),high,안정유지_후보군|일반관찰군,435,84.0,45.0,0.7,0.0156,,,,assumption_required_no_profit_claim,개입 효과 주장 없음. 맥락 기술 전용.,context_only,portfolio aggregation of editable placeholder assumptions
