feature_set_name,window,model,top_10pct_churn_rate,lift_vs_overall_churn_rate,captured_churners,churner_capture_rate,average_churn_risk_score
full_exploratory_w1_1,w1_1,LogisticRegression,0.4406047516198704,1.515090688655688,204,0.1516728624535316,0.7058777095720111
full_exploratory_w1_1,w1_1,HistGradientBoostingClassifier,0.4773218142548596,1.641348246043662,221,0.16431226765799256,0.4810329701119124
full_exploratory_w1_1,w1_1,ExtraTreesClassifier,0.46220302375809935,1.5893598400603786,214,0.1591078066914498,0.6258313313909241
full_exploratory_w1_2,w1_2,LogisticRegression,0.5118790496760259,1.760178888291167,237,0.1762081784386617,0.8122554674936469
full_exploratory_w1_2,w1_2,HistGradientBoostingClassifier,0.5637149028077754,1.9384248516624245,261,0.19405204460966544,0.5946569572112491
full_exploratory_w1_2,w1_2,ExtraTreesClassifier,0.5442764578833693,1.871582615398203,252,0.18736059479553904,0.6753442511845845
full_exploratory_w1_3,w1_3,LogisticRegression,0.7645788336933045,2.6291279597260466,354,0.2631970260223048,0.9180644826776705
full_exploratory_w1_3,w1_3,HistGradientBoostingClassifier,0.8034557235421166,2.76281243225449,372,0.2765799256505576,0.7944412089647384
full_exploratory_w1_3,w1_3,ExtraTreesClassifier,0.755939524838013,2.5994202991641706,350,0.26022304832713755,0.8024991938876873
full_exploratory_w1_4_late_period,w1_4,LogisticRegression,0.816414686825054,2.8073739230973045,378,0.2810408921933085,0.9395391889506471
full_exploratory_w1_4_late_period,w1_4,HistGradientBoostingClassifier,0.857451403887689,2.9484853107662166,397,0.29516728624535316,0.8429678487167889
full_exploratory_w1_4_late_period,w1_4,ExtraTreesClassifier,0.8077753779697624,2.777666262535428,374,0.27806691449814125,0.8088972989373471
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,LogisticRegression,0.712742980561555,2.4508819963547896,330,0.24535315985130113,0.888605391287617
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,0.8250539956803455,2.8370815836591805,382,0.28401486988847585,0.7796304072322915
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,0.7386609071274298,2.540004978040418,342,0.25427509293680295,0.7463573797262075
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,LogisticRegression,0.5982721382289417,2.0572554939099295,277,0.20594795539033459,0.7844516329635287
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,0.7624190064794817,2.621701044585578,353,0.26245353159851303,0.741298576518779
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,0.6997840172786177,2.4063205055119754,324,0.2408921933085502,0.6960158145222103
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,LogisticRegression,0.712742980561555,2.4508819963547896,330,0.24535315985130113,0.888605391287617
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,0.8250539956803455,2.8370815836591805,382,0.28401486988847585,0.7796304072322915
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,ExtraTreesClassifier,0.7386609071274298,2.540004978040418,342,0.25427509293680295,0.7463573797262075
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,LogisticRegression,0.5161987041036717,1.7750327185721053,239,0.17769516728624535,0.785520521998151
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,HistGradientBoostingClassifier,0.5809935205183585,1.9978401727861768,269,0.2,0.5826356797211641
pruned_w1_2_early_reference_without_product_code_without_watch_presence,w1_2,ExtraTreesClassifier,0.5334773218142549,1.8344480396958578,247,0.18364312267657992,0.6694312084622147
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,LogisticRegression,0.7688984881209503,2.643981790006985,356,0.26468401486988846,0.9110338412877522
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,HistGradientBoostingClassifier,0.8488120950323974,2.91877765020434,393,0.2921933085501859,0.8329616290961884
pruned_w1_4_late_period_comparison_without_product_code_without_watch_presence,w1_4,ExtraTreesClassifier,0.7818574514038877,2.6885432808497995,362,0.26914498141263943,0.7638581574565632
