side,source_label,relative_path,segment_column,segment_value,row_count,mean_churn_risk
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,content_preference_target_candidate,6195,0.09450704225658951
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,general_observation,7896,0.16887259321396078
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,high_risk_low_activity,511,0.7654755523470803
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,high_risk_only_w1_or_cold_start_weak,265,0.6975523847045964
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,high_risk_week3_inactive_or_drop,3793,0.7327551115675794
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,medium_risk_retention_decay,3195,0.35819951858213644
park,segment_assignment,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,stable_retained_user,1224,0.017187496222320044
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,content_preference_target_candidate,6195,0.09450704225658951
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,general_observation,7896,0.16887259321396078
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,high_risk_low_activity,511,0.7654755523470803
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,high_risk_only_w1_or_cold_start_weak,265,0.6975523847045964
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,high_risk_week3_inactive_or_drop,3793,0.7327551115675794
