relative_path,before_size_bytes,after_size_bytes,before_modified_time,after_modified_time,before_sha256,after_sha256,status
PUBLIC\data\06_model_input_promo_0.csv,5993802,5993802,2026-05-20T14:39:46,2026-05-20T14:39:46,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,unchanged
PUBLIC\data\06_model_input_promo_1.csv,6397348,6397348,2026-05-20T14:39:47,2026-05-20T14:39:47,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,unchanged
PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_hotfix_input_validation.csv,2470,2470,2026-05-21T17:37:37,2026-05-21T17:37:37,2472c97c5f8807bc15fe0adb2312fdf8cd3cb9d192fb198f30885f0d28c9b641,2472c97c5f8807bc15fe0adb2312fdf8cd3cb9d192fb198f30885f0d28c9b641,unchanged
PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_hotfix_source_fingerprint_before_after.csv,6419,6419,2026-05-21T17:37:37,2026-05-21T17:37:37,ab5a733586e44c22f736cde64aad90c552c9ddfea368d3fd818f5339d95a52b3,ab5a733586e44c22f736cde64aad90c552c9ddfea368d3fd818f5339d95a52b3,unchanged
PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\PUBLIC_17_demographic_action_layer_hotfix_final_checks.csv,1851,1851,2026-05-21T17:37:37,2026-05-21T17:37:37,7ccbd107ede6dc7b7298faa1e1e79b8b28047b09a8e578a12f8a3f33921b1981,7ccbd107ede6dc7b7298faa1e1e79b8b28047b09a8e578a12f8a3f33921b1981,unchanged
PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\PUBLIC_17_demographic_action_layer_hotfix_zip_inventory.csv,1251,1251,2026-05-21T17:37:37,2026-05-21T17:37:37,ce427a15cb4c937a3d4af30e1cf208449ef973f2d93da3ca07881a3b9a23d1ae,ce427a15cb4c937a3d4af30e1cf208449ef973f2d93da3ca07881a3b9a23d1ae,unchanged
PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\README.md,907,907,2026-05-21T17:37:37,2026-05-21T17:37:37,1133de66ac5686c7ad12b9fe473ca3ea7bad8fccbf7734defee70ea473fcd0e0,1133de66ac5686c7ad12b9fe473ca3ea7bad8fccbf7734defee70ea473fcd0e0,unchanged
PUBLIC\note.md,136156,136156,2026-05-21T17:38:46,2026-05-21T17:38:46,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,unchanged
PUBLIC\notebooks\07_feature_mapping_AARRR_260520\README.md,1351,1351,2026-05-20T16:08:10,2026-05-20T16:08:10,0c367d7a1bb3a66d19eb24c691a10d2b0bb10aff8e98a1e72ef963dea62ec114,0c367d7a1bb3a66d19eb24c691a10d2b0bb10aff8e98a1e72ef963dea62ec114,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_business_storyline_memo.md,22831,22831,2026-05-21T17:37:37,2026-05-21T17:37:37,89666a984bebea908c5e9b769ca492cc4b2a298c4ac13f6ea926dc873ae4ba2f,89666a984bebea908c5e9b769ca492cc4b2a298c4ac13f6ea926dc873ae4ba2f,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_canonical_segment_set_for_storyline.csv,2869,2869,2026-05-21T17:37:37,2026-05-21T17:37:37,e3ee95dfb1b159c15a45436b690defa7bdcc9b1bd347c391295d551dd54736d5,e3ee95dfb1b159c15a45436b690defa7bdcc9b1bd347c391295d551dd54736d5,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_dashboard_handoff_datamart.csv,3291,3291,2026-05-21T17:37:37,2026-05-21T17:37:37,908182a2bd43b58451921c7c7d616975e51d071a5914374160401e0f548a3b56,908182a2bd43b58451921c7c7d616975e51d071a5914374160401e0f548a3b56,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_demographic_action_candidate_selection.csv,22508,22508,2026-05-21T17:37:37,2026-05-21T17:37:37,ce8b06b251bc405fc67372105573c2525485ba4ab57f5e9b21142d70a245dda5,ce8b06b251bc405fc67372105573c2525485ba4ab57f5e9b21142d70a245dda5,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_presentation_talking_points.md,3799,3799,2026-05-21T17:37:37,2026-05-21T17:37:37,867dcb233a7b0e4d8e2bff6df7147fa90c069f552980623b522a02dd6f37d0dd,867dcb233a7b0e4d8e2bff6df7147fa90c069f552980623b522a02dd6f37d0dd,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_promo1_vs_promo0_storyline_comparison.csv,2693,2693,2026-05-21T17:37:37,2026-05-21T17:37:37,ea998a40abb275c96481b40e955f4f4dd1380b0b9e3d3db25e7c609df2761fdc,ea998a40abb275c96481b40e955f4f4dd1380b0b9e3d3db25e7c609df2761fdc,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_safe_unsafe_wording.csv,1753,1753,2026-05-21T17:37:37,2026-05-21T17:37:37,3ee5c20361f183e0310dce1a423c492aaa955c6e17abbc68c5bcf4399db716e8,3ee5c20361f183e0310dce1a423c492aaa955c6e17abbc68c5bcf4399db716e8,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_segment_business_action_matrix.csv,6685,6685,2026-05-21T17:37:37,2026-05-21T17:37:37,f933150aa0204b8f9ede384eecd46b0b92e3040b3454c7c88b298b2d5b2a6341,f933150aa0204b8f9ede384eecd46b0b92e3040b3454c7c88b298b2d5b2a6341,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_segment_visual_guide_v2.html,13571,13571,2026-05-21T17:37:37,2026-05-21T17:37:37,3fc72908712105c37d43334dfa5d6b27ae54a3c7fab28d0b81f93b5166a7223b,3fc72908712105c37d43334dfa5d6b27ae54a3c7fab28d0b81f93b5166a7223b,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_260520\README.md,1352,1352,2026-05-21T17:37:37,2026-05-21T17:37:37,b0633180b3a2f5fc45276be4abe50a9295ef93dfddbd70f4243dbfb818e8195c,b0633180b3a2f5fc45276be4abe50a9295ef93dfddbd70f4243dbfb818e8195c,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_business_storyline_memo_hotfix.md,25945,25945,2026-05-21T17:37:37,2026-05-21T17:37:37,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,3088,3088,2026-05-21T17:37:37,2026-05-21T17:37:37,ecbdb0d491da6c4364417e9e6c5e56a9d995f70ceb003c77b56b323bd88f7cb3,ecbdb0d491da6c4364417e9e6c5e56a9d995f70ceb003c77b56b323bd88f7cb3,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_demographic_action_candidate_shortlist_hotfix.csv,6030,6030,2026-05-21T17:37:37,2026-05-21T17:37:37,1e911c2abfe802a4005301b0029ef041d84f5f0689f667d26316e7de13a4cba1,1e911c2abfe802a4005301b0029ef041d84f5f0689f667d26316e7de13a4cba1,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_existing_storyline_quality_audit.csv,3281,3281,2026-05-21T17:37:37,2026-05-21T17:37:37,9a07e3837c0d50da6a1c6ac315d79f6d796d4b70ac6ac49f5c0c7425d13f6d9d,9a07e3837c0d50da6a1c6ac315d79f6d796d4b70ac6ac49f5c0c7425d13f6d9d,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_presentation_talking_points_hotfix.md,11452,11452,2026-05-21T17:37:37,2026-05-21T17:37:37,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo0_comparison_reference_hotfix.csv,2192,2192,2026-05-21T17:37:37,2026-05-21T17:37:37,00803a9a3d6041affbd59852960654a449e2ddbb6fc337b91f086f585ccabd48,00803a9a3d6041affbd59852960654a449e2ddbb6fc337b91f086f585ccabd48,unchanged
