side,relative_path,file_name,extension,size_bytes,modified_time,sha256,file_role
PUBLIC,PUBLIC\(Tree)PUBLIC_structure_snapshot_20260521_175230\(Tree)PUBLIC_structure_snapshot_20260521_175230.zip,(Tree)PUBLIC_structure_snapshot_20260521_175230.zip,.zip,19832,2026-05-21T17:54:49,2efc3458211366fb2667ff01e3ad51604680a02cdf07345b3f267eca42c9467f,zip
PUBLIC,PUBLIC\(Tree)PUBLIC_structure_snapshot_20260521_175230\PUBLIC_file_inventory.txt,PUBLIC_file_inventory.txt,.txt,69951,2026-05-21T17:52:30,41bcef59d1062dbd5fcd39f6a00c54ce40a1cd77976f48bdd4549848f6027d95,other
PUBLIC,PUBLIC\(Tree)PUBLIC_structure_snapshot_20260521_175230\PUBLIC_folder_depth4.txt,PUBLIC_folder_depth4.txt,.txt,6848,2026-05-21T17:52:30,c65d22dbd9d79ad1a32ba674beb4dfa5680c6a68db0368c01de863eb31d2bccf,other
PUBLIC,PUBLIC\(Tree)PUBLIC_structure_snapshot_20260521_175230\PUBLIC_key_artifacts.txt,PUBLIC_key_artifacts.txt,.txt,50743,2026-05-21T17:52:31,43b71e05e5d9d97197711a42c4b557ab4cb73347c8c4f859f1c58ed9df182d53,other
PUBLIC,PUBLIC\(Tree)PUBLIC_structure_snapshot_20260521_175230\PUBLIC_tree_full.txt,PUBLIC_tree_full.txt,.txt,55050,2026-05-21T17:52:30,d10a8fbc33f738a600f95038410dd34bbda13c5328d2523b0b6b13c680a3532f,other
PUBLIC,PUBLIC\data\06_model_input_promo_0.csv,06_model_input_promo_0.csv,.csv,5993802,2026-05-20T14:39:46,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,csv
PUBLIC,PUBLIC\data\06_model_input_promo_1.csv,06_model_input_promo_1.csv,.csv,6397348,2026-05-20T14:39:47,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,csv
PUBLIC,PUBLIC\data\_archive\260520_input_lineage\06_expanded_dataset_log_retention.csv,06_expanded_dataset_log_retention.csv,.csv,12958570,2026-05-21T17:37:37,6ff84c4f57df53e82eea85b798aba2aea091f3cac4ebb709a146bee22ab15909,csv
PUBLIC,PUBLIC\data\_archive\260520_input_lineage\06_expanded_dataset_promo_0_log_retention.csv,06_expanded_dataset_promo_0_log_retention.csv,.csv,6269242,2026-05-21T17:37:37,11bd5fbcf01b017a471f316b0bc8ba475ae82d9aeab2cef0f29a4bfee55ac112,csv
PUBLIC,PUBLIC\data\_archive\260520_input_lineage\06_expanded_dataset_promo_1_log_retention.csv,06_expanded_dataset_promo_1_log_retention.csv,.csv,6690807,2026-05-21T17:37:37,e8473959970dcfae29fa4e680ef43f89d195340e29f4c841de1f0469a97cdf5c,csv
