side,relative_path,row_count,column_count,available_fields,has_family_field,has_feature_field,has_importance_field
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_before_after_hash.csv,4,6,file_path; sha256_before; sha256_after; size_before; size_after; status,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_change_manifest.csv,5,6,file_path; file_type; existed_before; action; reason; content_changed_yes_no,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_figure_review.csv,3,6,figure_path; figure_type; issue_before; fix_applied; review_result; note,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_final_checks.csv,15,3,check; status; detail,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_review_zip_inventory.csv,10,4,archive_path; source_path; file_size; included,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_visualization_inventory.csv,1,7,figure_path; figure_type; created_yes_no; replaced_existing_yes_no; file_size; status; note,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_business_interpretation_candidates.csv,32,5,dataset_scope; feature; feature_family; candidate_interpretation; safe_limit,True,True,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_deleted_failed_payment_not_removed_manifest.csv,4,5,target_path; existed_before_delete; action; status; reason,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_final_checks.csv,31,3,check_name; status; detail,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_font_preflight.csv,1,5,os_name; selected_font; malgun_gothic_available; axes_unicode_minus; status,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_model_refit_summary.csv,4,11,feature_set_variant; dataset_scope; model_name; params_source; row_count; feature_count; train_auc_for_refit_diagnostic_only; train_ap_for_refit_diagnostic_only; train_brier_for_refit_diagnostic_only; train_logloss_for_refit_diagnostic_only; explanation_basis,False,True,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_open_risks_for_next_steps.csv,3,3,risk_id; risk; next_step,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_payment_removed_feature_audit.csv,16,5,dataset_scope; removed_feature; existed_in_original_expanded; removed_from_SHAP_input; status,False,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_payment_removed_input_gate.csv,4,10,dataset_scope; original_expanded_feature_count; expected_payment_removed_feature_count; actual_SHAP_input_feature_count; payment_is_mobile_present; payment_is_pc_present; payment_is_android_present; payment_is_ios_present; missing_dataset_columns; status,False,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_preflight_input_validation.csv,12,5,file_name; path; exists; final_checks_pass; status,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_redundancy_SHAP_caveat_audit.csv,29,8,dataset_scope; model_name; feature_family; mean_abs_shap_sum; feature_count; family_rank_in_scope; status; interpretation_caveat,True,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_review_zip_inventory.csv,65,4,archive_path; source_path; file_size; included,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_safe_unsafe_wording.csv,5,3,type; wording; reason,False,False,False
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_scope_comparison_top_features.csv,40,7,dataset_scope; model_name; rank_in_scope; feature; feature_family; mean_abs_shap; mean_signed_shap,True,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,4,12,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed,False,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_direction_summary.csv,301,9,dataset_scope; model_name; feature; feature_family; mean_abs_shap; mean_signed_shap; feature_value_shap_corr; direction_label; interpretation_limit,True,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_family_importance.csv,29,6,dataset_scope; model_name; feature_family; mean_abs_shap_sum; feature_count; family_rank_in_scope,True,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_global_importance.csv,301,7,dataset_scope; model_name; rank_in_scope; feature; feature_family; mean_abs_shap; mean_signed_shap,True,True,True
park,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_sample_audit.csv,20000,6,dataset_scope; row_id; USER_KEY; is_repurchase; is_promotion; sample_policy,False,False,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_importance_before_after_comparison.csv,52,10,model_family; promo_scope; feature_family; old_total_mean_abs_shap; new_total_mean_abs_shap; old_family_rank; new_family_rank; delta_total_mean_abs_shap; rank_change; interpretation,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_interpretation_handoff_for_17.csv,13,8,feature_family; business_meaning; example_features; use_in_segment_rule; use_in_segment_profile; use_in_action_personalization; caveat; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_mapping_change_log.csv,16,7,feature_name; old_feature_family; new_feature_family; change_type; business_interpretation_impact; reason; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_feature_family_mapping_hotfix.csv,75,10,feature_name; old_feature_family; new_feature_family; old_mapping_rule; new_mapping_rule; old_final_mapping_status; new_final_mapping_status; remap_status; reason; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_promo1_vs_promo0_shap_comparison_hotfix.csv,174,10,model_family; feature_or_family; comparison_level; promo1_importance; promo0_importance; delta_promo1_minus_promo0; stronger_in; interpretation; caveat; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_family_importance_hotfix.csv,48,10,model_family; promo_scope; feature_family; total_mean_abs_shap; mean_mean_abs_shap; feature_count; family_rank; changed_from_original; interpretation_caveat; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_global_importance_with_hotfix_family.csv,300,10,model_family; promo_scope; feature_name; mean_abs_shap; rank; old_feature_family; hotfix_feature_family; family_changed; interpretation_caveat; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_technical_unknown_inventory.csv,16,12,feature_name; old_feature_family; old_mapping_rule; old_final_mapping_status; appears_in_shap_global_importance; appears_in_lr_coefficient_summary; appears_in_direction_summary; importance_rank_min; max_mean_abs_shap_if_available; needs_remap; proposed_new_family; reason,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_demographic_context_audit_for_shap.csv,12,10,model_family; promo_scope; demographic_feature; present_in_input; used_as_feature; importance_rank; importance_value; recommended_use; unsafe_use; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_feature_family_mapping_for_shap.csv,75,5,feature_name; feature_family; mapping_rule; final_mapping_status; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_is_churn_prevented_interpretation_audit.csv,4,11,model_family; promo_scope; feature_present; used_as_feature; importance_rank; importance_value; direction_summary; approved_status; safe_interpretation; unsafe_interpretation; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_lr_coefficient_summary.csv,150,10,promo_scope; feature_name; coefficient; abs_coefficient; standardized_or_scaled; rank; feature_family; direction_for_repurchase_score; interpretation_caveat; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_model_config_and_feature_manifest.csv,4,11,model_family; promo_scope; source_final_result; source_feature_manifest; params_found; params_parse_status; params_used; feature_count; feature_list_hash; status; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_promo1_vs_promo0_shap_comparison.csv,168,10,model_family; feature_or_family; comparison_level; promo1_importance; promo0_importance; delta_promo1_minus_promo0; stronger_in; interpretation; caveat; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_readiness_for_segmentation.csv,10,5,decision_item; status; evidence; user_approval_required; notes,False,False,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_direction_summary.csv,300,10,model_family; promo_scope; feature_name; feature_family; mean_feature_value; mean_shap_value; corr_feature_value_shap; direction_summary; interpretation_caveat; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_execution_plan.csv,4,9,model_family; promo_scope; explainer_type; sample_rows; shap_values_generated; fallback_used; fallback_reason; status; notes,True,False,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_family_importance.csv,36,9,model_family; promo_scope; feature_family; total_mean_abs_shap; mean_mean_abs_shap; feature_count; family_rank; interpretation_caveat; notes,True,True,True
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_feature_policy_check.csv,4,14,model_family; promo_scope; feature_count; forbidden_columns_in_features; retention_w2_ratio_in_features; retention_w3_ratio_in_features; log_retention_w2_ratio_in_features; log_retention_w3_ratio_in_features; is_churn_prevented_in_features; age_group_in_features; is_female_in_features; is_male_in_features; status; notes,True,True,False
PUBLIC,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_global_importance.csv,300,8,model_family; promo_scope; feature_name; mean_abs_shap; rank; feature_family; interpretation_caveat; notes,True,True,True
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\16b_input_validation.csv,10,7,input_item; expected_path; exists; rows; columns; status; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\16b_source_fingerprint_before_after.csv,28,7,file_path; file_role; sha256_before; sha256_after; size_before; size_after; status,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\PUBLIC_16b_feature_family_mapping_hotfix_final_checks.csv,37,5,check_name; status; expected; actual; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\PUBLIC_16b_feature_family_mapping_hotfix_zip_inventory.csv,18,2,full_name; size_bytes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_acceptance_input_validation.csv,11,7,input_item; path; exists; rows; columns; status; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_mapping_acceptance_summary.csv,17,4,check_item; status; evidence; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_source_fingerprint_status_interpretation.csv,2,7,file_path; original_status; interpreted_status; file_role; interpretation; action_required; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_final_checks.csv,20,5,check_name; status; expected; actual; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_zip_inventory.csv,13,2,full_name; size_bytes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_shap_environment_check.csv,5,4,check_item; status; observed_value; notes,False,False,False
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_shap_input_validation.csv,25,7,input_item; expected_path; exists; rows; columns; status; notes,False,False,False
