side,relative_path,file_name,extension,size_bytes,modified_time,sha256,file_role,purpose,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_business_storyline_memo_hotfix.md,18_business_storyline_memo_hotfix.md,.md,25945,2026-05-21T17:37:37,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,18_dashboard_handoff_datamart_hotfix.csv,,,,ecbdb0d491da6c4364417e9e6c5e56a9d995f70ceb003c77b56b323bd88f7cb3,,AARRR_storyline,10,14,14,False,False,False,False,False,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_demographic_action_candidate_shortlist_hotfix.csv,18_demographic_action_candidate_shortlist_hotfix.csv,,,,1e911c2abfe802a4005301b0029ef041d84f5f0689f667d26316e7de13a4cba1,,AARRR_storyline,16,13,13,False,False,False,False,False,promo_scope; segment_family; demographic_modifier; supporting_behavior_difference; recommended_message_variant; recommended_channel_or_touchpoint; recommended_content_strategy; evidence_strength; include_in_visual_guide; include_in_storyline; reason_for_include_or_exclude; overinterpretation_risk; caveat
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_existing_storyline_quality_audit.csv,18_existing_storyline_quality_audit.csv,,,,9a07e3837c0d50da6a1c6ac315d79f6d796d4b70ac6ac49f5c0c7425d13f6d9d,,AARRR_storyline,14,6,6,False,False,False,False,False,audit_item; status; observed_value; issue_severity; hotfix_action; notes
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_presentation_talking_points_hotfix.md,18_presentation_talking_points_hotfix.md,.md,11452,2026-05-21T17:37:37,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo0_comparison_reference_hotfix.csv,18_promo0_comparison_reference_hotfix.csv,,,,00803a9a3d6041affbd59852960654a449e2ddbb6fc337b91f086f585ccabd48,,AARRR_storyline,5,9,9,False,False,False,False,False,segment_family; row_count; row_share_within_scope; actual_churn_rate; mean_gb_churn_risk; comparison_role; comparison_insight; how_it_supports_promo1_storyline; caveat
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,18_promo1_main_business_action_matrix_hotfix.csv,,,,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,,AARRR_storyline,5,15,15,False,False,False,False,False,segment_family; segment_role; row_count; row_share_within_scope; actual_churn_rate; mean_gb_churn_risk; primary_behavior_problem; recommended_action_type; recommended_message_direction; recommended_channel_or_touchpoint; recommended_content_strategy; demographic_personalization_summary; evidence_strength; caveat; final_status
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,18_safe_unsafe_wording_hotfix.csv,,,,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,,AARRR_storyline,14,4,4,False,False,False,False,False,topic; safe_wording; unsafe_wording; reason
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,18_segment_visual_guide_v2_polished.html,.html,51223,2026-05-21T17:37:37,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,html,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_storyline_comparison_clean_hotfix.csv,18_storyline_comparison_clean_hotfix.csv,,,,f0382355ef67f8088af21e4689e15efc4bade845a012faae14c6f4fe7e2a0190,,AARRR_storyline,6,9,9,False,False,False,False,False,segment_family_or_signal; original_storyline_status; row_count_promo1; row_count_promo0; min_n_status; cleaned_storyline_status; safe_usage; unsafe_usage; reason
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\README.md,README.md,.md,5776,2026-05-21T17:37:37,aebaffbeab1a1c47c3ed720f54c4bd3ea519ad40aa24ac358ad8324071dcaa58,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_readiness_for_18_business_storyline_demographic_hotfix.csv,17_readiness_for_18_business_storyline_demographic_hotfix.csv,,,,c41b636d712089e04ae8a2a7b40062c6e154b8b8244afa3bbb901a36556d44c1,,AARRR_storyline,11,6,6,False,False,False,False,False,decision_item; previous_status_if_available; updated_status; evidence; user_approval_required; notes
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_readiness_for_18_business_storyline_hotfix.csv,17_readiness_for_18_business_storyline_hotfix.csv,,,,01bb0bd3fd239393086091778294c855334d87c9f0db3412b604f07439ca149b,,AARRR_storyline,11,5,5,False,False,False,False,False,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_business_storyline_memo.md,18_business_storyline_memo.md,.md,22831,2026-05-21T17:37:37,89666a984bebea908c5e9b769ca492cc4b2a298c4ac13f6ea926dc873ae4ba2f,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_canonical_segment_set_for_storyline.csv,18_canonical_segment_set_for_storyline.csv,,,,e3ee95dfb1b159c15a45436b690defa7bdcc9b1bd347c391295d551dd54736d5,,AARRR_storyline,10,10,10,False,False,False,False,False,segment_family; promo_scope; row_count; row_share_within_scope; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; segment_status_for_18; business_use; caveat
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_dashboard_handoff_datamart.csv,18_dashboard_handoff_datamart.csv,,,,908182a2bd43b58451921c7c7d616975e51d071a5914374160401e0f548a3b56,,AARRR_storyline,10,11,11,False,False,False,False,False,promo_scope; segment_family; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; key_caveat
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_demographic_action_candidate_selection.csv,18_demographic_action_candidate_selection.csv,,,,ce8b06b251bc405fc67372105573c2525485ba4ab57f5e9b21142d70a245dda5,,AARRR_storyline,60,11,11,False,False,False,False,False,promo_scope; segment_family; demographic_modifier; observed_demographic_pattern; observed_behavior_difference; candidate_action; include_in_storyline; reason_for_include_or_exclude; evidence_strength; overinterpretation_risk; caveat
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_presentation_talking_points.md,18_presentation_talking_points.md,.md,3799,2026-05-21T17:37:37,867dcb233a7b0e4d8e2bff6df7147fa90c069f552980623b522a02dd6f37d0dd,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_promo1_vs_promo0_storyline_comparison.csv,18_promo1_vs_promo0_storyline_comparison.csv,,,,ea998a40abb275c96481b40e955f4f4dd1380b0b9e3d3db25e7c609df2761fdc,,AARRR_storyline,5,13,13,False,False,False,False,False,segment_family; promo1_row_count; promo0_row_count; promo1_churn_rate; promo0_churn_rate; churn_rate_delta_promo1_minus_promo0; promo1_mean_gb_churn_risk; promo0_mean_gb_churn_risk; gb_risk_delta_promo1_minus_promo0; storyline_interpretation; safe_presentation_sentence; unsafe_sentence_to_avoid; caveat
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_safe_unsafe_wording.csv,18_safe_unsafe_wording.csv,,,,3ee5c20361f183e0310dce1a423c492aaa955c6e17abbc68c5bcf4399db716e8,,AARRR_storyline,11,4,4,False,False,False,False,False,topic; safe_wording; unsafe_wording; reason
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_segment_business_action_matrix.csv,18_segment_business_action_matrix.csv,,,,f933150aa0204b8f9ede384eecd46b0b92e3040b3454c7c88b298b2d5b2a6341,,AARRR_storyline,10,15,15,False,False,False,False,False,promo_scope; segment_family; segment_role; primary_behavior_problem; risk_level_summary; recommended_action_type; recommended_message_direction; recommended_channel_or_touchpoint; recommended_content_strategy; demographic_personalization_available; demographic_personalization_summary; evidence_files; evidence_strength; caveat; final_status
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\18_segment_visual_guide_v2.html,18_segment_visual_guide_v2.html,.html,13571,2026-05-21T17:37:37,3fc72908712105c37d43334dfa5d6b27ae54a3c7fab28d0b81f93b5166a7223b,html,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_260520\README.md,README.md,.md,1352,2026-05-21T17:37:37,b0633180b3a2f5fc45276be4abe50a9295ef93dfddbd70f4243dbfb818e8195c,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_readiness_for_18_business_storyline.csv,17_readiness_for_18_business_storyline.csv,,,,17e58e5b246766bbd3c3124c608a42b14b26180d947e2a79e3665a6d78617b3d,,AARRR_storyline,12,5,5,False,False,False,False,False,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC\notebooks\07_feature_mapping_AARRR_260520\README.md,README.md,.md,1351,2026-05-20T16:08:10,0c367d7a1bb3a66d19eb24c691a10d2b0bb10aff8e98a1e72ef963dea62ec114,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\notebooks\18_business_recommendation_storyline_260520\README.md,README.md,.md,1475,2026-05-20T16:08:10,8f2c4cb23b0b345e41f56b5b19d485913fa6ebf464cfeb0029e6601991530079,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_polish_hotfix_260520\18_hotfix_input_validation.csv,18_hotfix_input_validation.csv,,,,6f3d5a1e6b10e04331c28260402996e4ce165937068b91226b7ea3d40cf45444,,AARRR_storyline,30,7,7,False,False,False,False,False,input_item; expected_path; exists; rows; columns; status; notes
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_polish_hotfix_260520\18_hotfix_source_fingerprint_before_after.csv,18_hotfix_source_fingerprint_before_after.csv,,,,2addd2b9bad36da15bbb9908c8e5f8b124424ce40a11418cff981a7c51ca8521,,AARRR_storyline,14,8,8,False,False,False,False,False,file_name; scope; change_type; before_description; after_description; rows_before; rows_after; key_change
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_polish_hotfix_260520\PUBLIC_18_business_storyline_polish_hotfix_final_checks.csv,PUBLIC_18_business_storyline_polish_hotfix_final_checks.csv,,,,b7ec024b4f89b271bd2cb70047ffe4b87219a9d401b246a30ca1ad8ccfb51707,,AARRR_storyline,15,7,7,False,False,False,False,False,check_item; file_path; file_type; exists; file_size_bytes; status; notes
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_polish_hotfix_260520\PUBLIC_18_business_storyline_polish_hotfix_zip_inventory.csv,PUBLIC_18_business_storyline_polish_hotfix_zip_inventory.csv,,,,febc3ddf07a38b7405d55b16d9bc3754ea289f361a24a9aad03abd48d34eec26,,AARRR_storyline,17,5,5,False,False,False,False,False,file_in_zip; source_path; file_type; description; required
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_polish_hotfix_260520\README.md,README.md,.md,2713,2026-05-21T17:37:37,35ad52a8f520bedb35b194a60f9f3b0b0de4ac8e52360fdf5edc58d8b5e88cc8,md,AARRR_storyline,,,,,,,,,
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_260520\18_input_validation.csv,18_input_validation.csv,,,,193ad4fe0f62189c4b0e19e326bd16f52f831912a5fccd1256a22989e17bffd7,,AARRR_storyline,25,7,7,False,False,False,False,False,input_item; expected_path; exists; rows; columns; status; notes
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_260520\18_source_fingerprint_before_after.csv,18_source_fingerprint_before_after.csv,,,,d00fbc51098316158fce152ed7a78a216d946cc9440fc257ed259bd68e39e4da,,AARRR_storyline,39,7,7,False,False,False,False,False,file_path; file_role; sha256_before; sha256_after; size_before; size_after; status
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_260520\PUBLIC_18_business_storyline_final_checks.csv,PUBLIC_18_business_storyline_final_checks.csv,,,,04a568d9dcba9ea8483b37f93aa94c99c8d21470a18672ef9ecb26ce02d59068,,AARRR_storyline,34,5,5,False,False,False,False,False,check_name; status; expected; actual; notes
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_260520\PUBLIC_18_business_storyline_zip_inventory.csv,PUBLIC_18_business_storyline_zip_inventory.csv,,,,b8b45118ca6a20dfd8fae163beea6b6f521c82c67bb007ce15e77ebf5c773d21,,AARRR_storyline,19,2,2,False,False,False,False,False,full_name; size_bytes
PUBLIC,PUBLIC\handoff\PUBLIC_18_business_storyline_260520\README.md,README.md,.md,836,2026-05-21T17:37:37,35b34c9fdcd52efeacbb85b5c01304ca2bb6a8715c789fc2bc4f02fcfff5baa2,md,AARRR_storyline,,,,,,,,,
