side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256
park,oof_or_segment_score_source,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,17x_representative_segment_assignment.csv,23079,10,5,True,True,True,True,True,row_id; USER_KEY; representative_segment; segment_priority; matched_rule_name; matched_rule_text; is_repurchase; repurchase_score; churn_risk; is_promotion,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62
park,oof_or_segment_score_source,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,17x_segmentation_base_datamart.csv,23079,58,53,True,True,True,True,True,row_id; USER_KEY; is_repurchase; is_promotion; repurchase_score; churn_risk; risk_rank_desc; risk_percentile_desc; representative_segment; segment_priority; flag_high_risk_top10; flag_high_risk_top20; flag_low_risk_stable; flag_cold_start_weak; flag_strong_early_activation; flag_week3_inactive; flag_only_w1; flag_week3_drop; flag_retention_decay; flag_retention_stable; flag_heavy_user; flag_low_activity; flag_genre_focused; flag_new_movie_oriented; flag_old_movie_oriented; flag_age40_unverified_ios; total_watch_count; total_watch_time_min; watch_days; active_ratio; recency; watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd
park,oof_or_segment_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,17x_representative_segment_assignment.csv,23079,10,5,True,True,True,True,True,row_id; USER_KEY; representative_segment; segment_priority; matched_rule_name; matched_rule_text; is_repurchase; repurchase_score; churn_risk; is_promotion,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62
park,oof_or_segment_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,17x_segmentation_base_datamart.csv,23079,58,53,True,True,True,True,True,row_id; USER_KEY; is_repurchase; is_promotion; repurchase_score; churn_risk; risk_rank_desc; risk_percentile_desc; representative_segment; segment_priority; flag_high_risk_top10; flag_high_risk_top20; flag_low_risk_stable; flag_cold_start_weak; flag_strong_early_activation; flag_week3_inactive; flag_only_w1; flag_week3_drop; flag_retention_decay; flag_retention_stable; flag_heavy_user; flag_low_activity; flag_genre_focused; flag_new_movie_oriented; flag_old_movie_oriented; flag_age40_unverified_ios; total_watch_count; total_watch_time_min; watch_days; active_ratio; recency; watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd
PUBLIC,oof_or_segment_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_long.csv,15_oof_score_long.csv,46194,15,13,True,True,False,False,False,row_id; USER_KEY; promo_scope; model_family; fold_id; is_repurchase; repurchase_score_oof; churn_risk_score_oof; risk_rank_desc; risk_percentile; high_risk_top10; high_risk_top20; high_risk_top30; split_method; score_source,3ddd6ba3ddac3f9ca1a4a2cdbc4cc8e816d23a6ca110071a40e51512a0a4531f
PUBLIC,oof_or_segment_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,15_oof_score_wide.csv,23097,16,14,True,True,False,False,False,row_id; USER_KEY; promo_scope; is_repurchase; lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30,1f3af6a7d7baf8a1536f40510796b07125e8410f43bfb3dcac63f17e970ad452
PUBLIC,oof_or_segment_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo0.csv,15_oof_score_wide_promo0.csv,11193,16,14,True,True,False,False,False,row_id; USER_KEY; promo_scope; is_repurchase; lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30,faf40d90f82a4469f73cd3fb241a278500c3947760e29e5378cbfb7190539738
PUBLIC,oof_or_segment_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo1.csv,15_oof_score_wide_promo1.csv,11904,16,14,True,True,False,False,False,row_id; USER_KEY; promo_scope; is_repurchase; lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30,07786fd8fb2532ed59f98c0113f961e0650735f0763cb04e24b77db4552f5adf
PUBLIC,oof_or_segment_score_source,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,17_representative_segment_assignment_hotfix.csv,23097,13,12,False,True,False,False,False,row_id; promo_scope; is_repurchase; representative_segment_id; provisional_label; assignment_priority_order; gb_churn_risk_score_oof; lr_churn_risk_score_oof; gb_risk_percentile; lr_risk_percentile; key_flags_used_for_assignment; hotfix_assignment_changed; previous_representative_segment_id,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7
PUBLIC,oof_or_segment_score_source,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,17_revised_segment_assignment_simulation.csv,23097,11,10,False,True,False,False,False,row_id; promo_scope; is_repurchase; previous_segment_id; revised_segment_family; revised_assignment_reason; gb_churn_risk_score_oof; lr_churn_risk_score_oof; key_flags; retained_subsignals; user_approval_required,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b
