check_item,status,evidence
park inventory created,PASS,
PUBLIC inventory created,PASS,
note comparison created,PASS,
dataset comparison created,PASS,
feature comparison created,PASS,
model comparison created,PASS,
CatBoost rerun note mismatch audit created,PASS,
OOF score source comparison created,PASS,
SHAP comparison created,PASS,
segmentation comparison created,PASS,
AARRR/storyline comparison created,PASS,
merge decision table created,PASS,
README created,PASS,
source fingerprint created,PASS,
zip inventory created,PASS,
review zip created,PASS,park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip
no source CSV modified,PASS,
no notebooks modified,PASS,
no model rerun,PASS,
no SHAP rerun,PASS,
no segmentation rerun,PASS,
