side,relative_path,check,status,row_count_checked,max_abs_diff,score_columns_available
park,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,churn_risk_equals_1_minus_repurchase_score,PASS,23079,2.220446049250313e-16,repurchase_score; churn_risk
park,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,churn_risk_equals_1_minus_repurchase_score,PASS,23079,2.220446049250313e-16,repurchase_score; churn_risk; risk_rank_desc; risk_percentile_desc; flag_high_risk_top10; flag_high_risk_top20; flag_low_risk_stable
park,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,churn_risk_equals_1_minus_repurchase_score,PASS,23079,2.220446049250313e-16,repurchase_score; churn_risk
park,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,churn_risk_equals_1_minus_repurchase_score,PASS,23079,2.220446049250313e-16,repurchase_score; churn_risk; risk_rank_desc; risk_percentile_desc; flag_high_risk_top10; flag_high_risk_top20; flag_low_risk_stable
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_long.csv,score_direction_columns_present,INFO,46194,,repurchase_score_oof; churn_risk_score_oof; risk_rank_desc; risk_percentile; high_risk_top10; high_risk_top20; high_risk_top30; score_source
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide.csv,score_direction_columns_present,INFO,23097,,lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo0.csv,score_direction_columns_present,INFO,11193,,lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo1.csv,score_direction_columns_present,INFO,11904,,lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,score_direction_columns_present,INFO,23097,,gb_churn_risk_score_oof; lr_churn_risk_score_oof; gb_risk_percentile; lr_risk_percentile
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,score_direction_columns_present,INFO,23097,,gb_churn_risk_score_oof; lr_churn_risk_score_oof
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_long.csv,score_direction_columns_present,INFO,46194,,repurchase_score_oof; churn_risk_score_oof
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo0.csv,score_direction_columns_present,INFO,11193,,repurchase_score_oof_logisticregression; churn_risk_score_oof_logisticregression; repurchase_score_oof_gradientboosting; churn_risk_score_oof_gradientboosting
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo1.csv,score_direction_columns_present,INFO,11904,,repurchase_score_oof_logisticregression; churn_risk_score_oof_logisticregression; repurchase_score_oof_gradientboosting; churn_risk_score_oof_gradientboosting
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,score_direction_columns_present,INFO,23097,,gb_churn_risk_score_oof; lr_churn_risk_score_oof; gb_risk_percentile; lr_risk_percentile; gb_high_risk_top20; lr_high_risk_top20; gb_lr_both_high_risk_top20
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,score_direction_columns_present,INFO,23097,,lr_repurchase_score_oof; lr_churn_risk_score_oof; gb_repurchase_score_oof; gb_churn_risk_score_oof; lr_risk_percentile; gb_risk_percentile; lr_high_risk_top10; gb_high_risk_top10; lr_high_risk_top20; gb_high_risk_top20; lr_high_risk_top30; gb_high_risk_top30; gb_lr_both_high_risk_top20; gb_only_high_risk_top20; lr_only_high_risk_top20; neither_high_risk_top20
