side,source_group,relative_path,model_name,dataset_scope,feature_set,metric_auc,train_valid_gap_or_overfit_metric,auc_columns_available,gap_columns_available,columns_available
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_availability.csv,LightGBM,,,,,,,model_name; import_available; will_run; unavailable_reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_availability.csv,CatBoost,,,,,,,model_name; import_available; will_run; unavailable_reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_availability.csv,HistGradientBoosting,,,,,,,model_name; import_available; will_run; unavailable_reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,LightGBM,overall_without_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,CatBoost,overall_without_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,HistGradientBoosting,overall_without_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,LightGBM,overall_with_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,CatBoost,overall_with_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,HistGradientBoosting,overall_with_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,LightGBM,promotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,CatBoost,promotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,HistGradientBoosting,promotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,LightGBM,nonpromotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
park,model_metric,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,CatBoost,nonpromotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason
