zip_path,zip_member,compressed_size,file_size,modified_time
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,01_inventory_park.csv,see_zip_central_directory,938810,2026-05-21T21:02:29
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,02_inventory_PUBLIC.csv,see_zip_central_directory,104404,2026-05-21T21:02:29
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,03_inventory_summary_by_stage.csv,see_zip_central_directory,8419,2026-05-21T21:02:29
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,04_note_stage_log_presence.csv,see_zip_central_directory,5024,2026-05-21T21:02:29
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,05_note_latest_tail_park.md,see_zip_central_directory,24804,2026-05-21T21:02:29
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,06_note_latest_tail_PUBLIC.md,see_zip_central_directory,14721,2026-05-21T21:02:29
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,07_dataset_row_column_comparison.csv,see_zip_central_directory,26668,2026-05-21T21:02:34
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,08_dataset_key_count_comparison.csv,see_zip_central_directory,5813,2026-05-21T21:02:36
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,09_promotion_split_count_comparison.csv,see_zip_central_directory,5881,2026-05-21T21:02:38
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,10_feature_set_inventory_park.csv,see_zip_central_directory,714637,2026-05-21T21:02:38
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,11_feature_set_inventory_PUBLIC.csv,see_zip_central_directory,150924,2026-05-21T21:02:38
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,12_feature_set_overlap_diff.csv,see_zip_central_directory,23989,2026-05-21T21:02:38
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,13_payment_device_policy_comparison.csv,see_zip_central_directory,973,2026-05-21T21:02:38
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,14_retention_feature_policy_comparison.csv,see_zip_central_directory,327,2026-05-21T21:02:45
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,15_model_result_inventory_park.csv,see_zip_central_directory,33060,2026-05-21T21:02:46
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,16_model_result_inventory_PUBLIC.csv,see_zip_central_directory,22989,2026-05-21T21:02:46
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,17_model_metric_comparison_summary.csv,see_zip_central_directory,2798904,2026-05-21T21:02:46
