side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256
park,segmentation,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv,17x_business_action_candidates.csv,7,4,4,False,False,False,False,False,representative_segment; action_status; business_action_candidate; caution,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277
park,segmentation,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv,17x_dashboard_handoff_datamart.csv,23079,39,34,True,True,True,True,True,row_id; USER_KEY; is_promotion; is_repurchase; repurchase_score; churn_risk; risk_percentile_desc; representative_segment; flag_high_risk_top10; flag_high_risk_top20; flag_low_risk_stable; flag_cold_start_weak; flag_strong_early_activation; flag_week3_inactive; flag_only_w1; flag_week3_drop; flag_retention_decay; flag_retention_stable; flag_heavy_user; flag_low_activity; flag_genre_focused; flag_new_movie_oriented; flag_old_movie_oriented; flag_age40_unverified_ios; total_watch_count; total_watch_time_min; watch_days; active_ratio; recency; watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; retention_w2_ratio; retention_w3_ratio; dominant_genre_proxy; max_genre_ratio; safe_display_segment_name; unsafe_wording_warning; dashboard_use_caution,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3
park,segmentation,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv,17x_proxy_artifact_audit.csv,7,29,29,False,False,False,False,False,representative_segment; row_count; overall_share; max_ratio_vs_overall; proxy_contamination_level; payment_is_ios_share; payment_is_android_share; payment_is_mobile_share; payment_is_pc_share; is_user_verified_0_share; age_group_40_share; gender_missing_or_N_proxy_share; flag_age40_unverified_ios_share; payment_is_ios_share_overall; payment_is_android_share_overall; payment_is_mobile_share_overall; payment_is_pc_share_overall; is_user_verified_0_share_overall; age_group_40_share_overall; gender_missing_or_N_proxy_share_overall; flag_age40_unverified_ios_share_overall; payment_is_ios_share_ratio_vs_overall; payment_is_android_share_ratio_vs_overall; payment_is_mobile_share_ratio_vs_overall; payment_is_pc_share_ratio_vs_overall; is_user_verified_0_share_ratio_vs_overall; age_group_40_share_ratio_vs_overall; gender_missing_or_N_proxy_share_ratio_vs_overall; flag_age40_unverified_ios_share_ratio_vs_overall,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262
park,segmentation,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,17x_representative_segment_assignment.csv,23079,10,5,True,True,True,True,True,row_id; USER_KEY; representative_segment; segment_priority; matched_rule_name; matched_rule_text; is_repurchase; repurchase_score; churn_risk; is_promotion,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62
park,segmentation,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,17x_representative_segment_rules.csv,7,8,8,False,False,False,False,False,segment_priority; representative_segment; matched_rule_text; rule_features; provisional_label_yes_no; final_segment_name_yes_no; small_n_review_required; uses_payment_auth_demographic_proxy,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5
park,segmentation,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,17x_segment_summary.csv,7,15,15,False,False,False,False,False,representative_segment; segment_priority; row_count; row_share; repurchase_rate; nonrepurchase_rate; mean_repurchase_score; mean_churn_risk; median_churn_risk; top10_risk_share; top20_risk_share; promotion_share; nonpromotion_share; small_n_review_required; interpretation_caution,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125
park,segmentation,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv,17x_business_action_candidates.csv,7,4,4,False,False,False,False,False,representative_segment; action_status; business_action_candidate; caution,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277
park,segmentation,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv,17x_dashboard_handoff_datamart.csv,23079,39,34,True,True,True,True,True,row_id; USER_KEY; is_promotion; is_repurchase; repurchase_score; churn_risk; risk_percentile_desc; representative_segment; flag_high_risk_top10; flag_high_risk_top20; flag_low_risk_stable; flag_cold_start_weak; flag_strong_early_activation; flag_week3_inactive; flag_only_w1; flag_week3_drop; flag_retention_decay; flag_retention_stable; flag_heavy_user; flag_low_activity; flag_genre_focused; flag_new_movie_oriented; flag_old_movie_oriented; flag_age40_unverified_ios; total_watch_count; total_watch_time_min; watch_days; active_ratio; recency; watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; retention_w2_ratio; retention_w3_ratio; dominant_genre_proxy; max_genre_ratio; safe_display_segment_name; unsafe_wording_warning; dashboard_use_caution,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3
park,segmentation,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv,17x_proxy_artifact_audit.csv,7,29,29,False,False,False,False,False,representative_segment; row_count; overall_share; max_ratio_vs_overall; proxy_contamination_level; payment_is_ios_share; payment_is_android_share; payment_is_mobile_share; payment_is_pc_share; is_user_verified_0_share; age_group_40_share; gender_missing_or_N_proxy_share; flag_age40_unverified_ios_share; payment_is_ios_share_overall; payment_is_android_share_overall; payment_is_mobile_share_overall; payment_is_pc_share_overall; is_user_verified_0_share_overall; age_group_40_share_overall; gender_missing_or_N_proxy_share_overall; flag_age40_unverified_ios_share_overall; payment_is_ios_share_ratio_vs_overall; payment_is_android_share_ratio_vs_overall; payment_is_mobile_share_ratio_vs_overall; payment_is_pc_share_ratio_vs_overall; is_user_verified_0_share_ratio_vs_overall; age_group_40_share_ratio_vs_overall; gender_missing_or_N_proxy_share_ratio_vs_overall; flag_age40_unverified_ios_share_ratio_vs_overall,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262
park,segmentation,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,17x_representative_segment_assignment.csv,23079,10,5,True,True,True,True,True,row_id; USER_KEY; representative_segment; segment_priority; matched_rule_name; matched_rule_text; is_repurchase; repurchase_score; churn_risk; is_promotion,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62
