feature,count,mean,std,min,25%,50%,75%,max,missing_count,zero_count,zero_rate
total_watch_time_for_content,12302.0,308.921232319948,320.19505841094286,1.0,96.0,218.0,425.0,4419.0,0,0,0.0
content_total_sessions,12302.0,6.914810599902455,5.780675019695816,1.0,3.0,5.0,9.0,56.0,0,0,0.0
content_unique_movies,12302.0,4.963420582019184,4.1445660558603254,1.0,2.0,4.0,7.0,47.0,0,0,0.0
metadata_covered_watch_time,12302.0,308.8647374410665,320.12052706960407,1.0,96.0,218.0,425.0,4419.0,0,0,0.0
usable_metadata_watch_time,12302.0,308.8647374410665,320.12052706960407,1.0,96.0,218.0,425.0,4419.0,0,0,0.0
metadata_covered_watch_ratio,12302.0,0.9999070620783754,0.004758344525194582,0.6084905660377359,1.0,1.0,1.0,1.0,0,0,0.0
usable_metadata_watch_ratio,12302.0,0.9999070620783754,0.004758344525194582,0.6084905660377359,1.0,1.0,1.0,1.0,0,0,0.0
metadata_missing_watch_time,12302.0,0.056494878881482684,2.836201685627806,0.0,0.0,0.0,0.0,175.0,0,12294,0.9993496992358966
metadata_missing_watch_ratio,12302.0,9.29379216245998e-05,0.004758344525194581,0.0,0.0,0.0,0.0,0.3915094339622642,0,12294,0.9993496992358966
tag_dur_SF_판타지,12302.0,56.93724597626402,125.5526243092095,0.0,0.0,0.0,81.0,1873.0,0,6840,0.5560071533084051
tag_dur_가족,12302.0,28.167777597138677,85.35322614952176,0.0,0.0,0.0,0.0,1873.0,0,9381,0.7625589335067469
tag_dur_공포,12302.0,11.130060152820679,44.11749606872461,0.0,0.0,0.0,0.0,946.0,0,10418,0.8468541700536498
tag_dur_기타,12302.0,30.752316696472118,71.68380532884997,0.0,0.0,0.0,20.0,1873.0,0,7751,0.6300601528206796
tag_dur_다큐_교양,12302.0,9.81019346447732,38.153658201475785,0.0,0.0,0.0,0.0,939.0,0,10283,0.835880344659405
tag_dur_드라마,12302.0,135.73435213786377,200.530839273213,0.0,0.0,70.0,191.0,4419.0,0,3174,0.25800682815802306
tag_dur_로맨스,12302.0,46.22183384815477,101.35736996919637,0.0,0.0,0.0,55.0,3127.0,0,7037,0.5720208096244513
tag_dur_모험_어드벤처,12302.0,49.36928954641522,108.48472837760758,0.0,0.0,0.0,69.0,1873.0,0,7363,0.5985205657616648
tag_dur_스릴러_범죄,12302.0,80.64485449520403,140.67260860562246,0.0,0.0,3.0,116.75,3530.0,0,5113,0.41562347585758413
tag_dur_애니메이션_키즈,12302.0,34.84563485612096,101.76739589123345,0.0,0.0,0.0,1.0,1873.0,0,9016,0.7328889611445294
tag_dur_액션,12302.0,116.33246626564787,179.57857074021308,0.0,0.0,36.0,163.0,2141.0,0,4039,0.32832059827670296
tag_dur_전쟁_재난,12302.0,31.7465452771907,92.10556081384456,0.0,0.0,0.0,0.0,1351.0,0,9299,0.755893350674687
tag_dur_코미디,12302.0,66.3603479109088,112.29166008052383,0.0,0.0,2.0,106.0,1873.0,0,5266,0.4280604779710616
alloc_dur_SF_판타지,12302.0,19.79200052643395,46.44514371325517,0.0,0.0,0.0,19.3125,676.0,0,6840,0.5560071533084051
alloc_dur_가족,12302.0,8.305296080389562,25.34041337229792,0.0,0.0,0.0,0.0,601.0,0,9381,0.7625589335067469
alloc_dur_공포,12302.0,5.844176905032864,24.984114200967362,0.0,0.0,0.0,0.0,563.0,0,10418,0.8468541700536498
alloc_dur_기타,12302.0,14.167639601768201,34.97874480392093,0.0,0.0,0.0,8.0,563.3333333333334,0,7751,0.6300601528206796
alloc_dur_다큐_교양,12302.0,9.339943950267475,35.440963550490395,0.0,0.0,0.0,0.0,774.0,0,10283,0.835880344659405
alloc_dur_드라마,12302.0,70.89725673719333,110.36316026366522,0.0,0.0,27.541666666666664,100.0,1636.6666666666667,0,3174,0.25800682815802306
alloc_dur_로맨스,12302.0,18.73364358098954,43.95405151323202,0.0,0.0,0.0,16.833333333333332,1042.3333333333333,0,7037,0.5720208096244513
alloc_dur_모험_어드벤처,12302.0,15.657841736922375,36.04123293695611,0.0,0.0,0.0,16.166666666666668,453.0,0,7363,0.5985205657616648
alloc_dur_스릴러_범죄,12302.0,39.56583598485728,72.69016378526914,0.0,0.0,1.5,52.333333333333336,1176.6666666666667,0,5113,0.41562347585758413
alloc_dur_애니메이션_키즈,12302.0,14.839704732486393,45.51414058906187,0.0,0.0,0.0,0.5,792.0,0,9016,0.7328889611445294
alloc_dur_액션,12302.0,52.80996856879641,86.8101069789452,0.0,0.0,13.833333333333334,73.0,1457.5,0,4039,0.32832059827670296
alloc_dur_전쟁_재난,12302.0,12.241893304224632,37.23857448705069,0.0,0.0,0.0,0.0,523.25,0,9299,0.755893350674687
alloc_dur_코미디,12302.0,26.5664630605941,48.51998296560841,0.0,0.0,1.0,37.0,717.5595238095239,0,5266,0.4280604779710616
genre_tag_count,12302.0,5.279304178182409,2.496763384805311,1.0,3.0,5.0,7.0,13.0,0,0,0.0
genre_tag_entropy,12302.0,1.195916457473036,0.526785513087635,-0.0,0.9014322421511904,1.2749412446455426,1.589026915173973,2.3768763647368387,0,751,0.06104698423020647
genre_tag_entropy_norm,12302.0,0.7459194958262517,0.2695808179009326,0.0,0.6772310198110569,0.8260903292207863,0.928791434169094,1.0000000000000004,0,751,0.06104698423020647
top_genre_tag_watch_time,12302.0,232.33417330515363,230.03357933842057,1.0,89.0,167.0,316.0,4419.0,0,0,0.0
