file_in_zip,source_path,file_type,description,required
reports/business/18_business_recommendation_storyline_hotfix_260520/README.md,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/README.md,readme,Hotfix overview and file listing,yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_existing_storyline_quality_audit.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_existing_storyline_quality_audit.csv,csv,Quality audit of original 18 outputs (14 items),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_promo1_main_business_action_matrix_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_promo1_main_business_action_matrix_hotfix.csv,csv,promo1 main action matrix (5 rows),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_promo0_comparison_reference_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_promo0_comparison_reference_hotfix.csv,csv,promo0 comparison reference (5 rows; no action),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_demographic_action_candidate_shortlist_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_demographic_action_candidate_shortlist_hotfix.csv,csv,Demographic shortlist 16 rows (vs original 60 all-yes),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_storyline_comparison_clean_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_storyline_comparison_clean_hotfix.csv,csv,Cleaned storyline comparison (genre demoted; mid_risk added),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_segment_visual_guide_v2_polished.html,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_segment_visual_guide_v2_polished.html,html,Comprehensive visual guide (flag dict; segment cards; wording),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_business_storyline_memo_hotfix.md,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_business_storyline_memo_hotfix.md,memo,10000+ char Korean substantive memo,yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_presentation_talking_points_hotfix.md,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_presentation_talking_points_hotfix.md,talking_points,8 Q&A + defense + forbidden sentences,yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_dashboard_handoff_datamart_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_dashboard_handoff_datamart_hotfix.csv,csv,Dashboard handoff 10 rows (promo1+promo0 roles clarified),yes
reports/business/18_business_recommendation_storyline_hotfix_260520/18_safe_unsafe_wording_hotfix.csv,PUBLIC/reports/business/18_business_recommendation_storyline_hotfix_260520/18_safe_unsafe_wording_hotfix.csv,csv,Safe/unsafe wording guide (14 pairs),yes
notebooks/18_business_recommendation_storyline_260520/18_business_storyline_polish_hotfix_260520.ipynb,PUBLIC/notebooks/18_business_recommendation_storyline_260520/18_business_storyline_polish_hotfix_260520.ipynb,notebook,Validation notebook,yes
notebooks/18_business_recommendation_storyline_260520/18_business_storyline_polish_hotfix_260520_executed.ipynb,PUBLIC/notebooks/18_business_recommendation_storyline_260520/18_business_storyline_polish_hotfix_260520_executed.ipynb,notebook_executed,Executed notebook with static outputs,yes
handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/18_hotfix_input_validation.csv,PUBLIC/handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/18_hotfix_input_validation.csv,validation,Input file validation (30 files all PASS),yes
handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/PUBLIC_18_business_storyline_polish_hotfix_final_checks.csv,PUBLIC/handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/PUBLIC_18_business_storyline_polish_hotfix_final_checks.csv,final_checks,Final checks (15 items all PASS),yes
handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/18_hotfix_source_fingerprint_before_after.csv,PUBLIC/handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/18_hotfix_source_fingerprint_before_after.csv,fingerprint,Before/after change log,yes
handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/README.md,PUBLIC/handoff/PUBLIC_18_business_storyline_polish_hotfix_260520/README.md,readme,Handoff README,yes
