feature,include_for_vif_x,reason,encoded_feature,original_feature,encoding,include_for_vif_y
age,True,included,age,age,numeric,True
age_band,True,included,age_band_20s,age_band,one_hot_drop_first,True
age_band,True,included,age_band_30s,age_band,one_hot_drop_first,True
age_band,True,included,age_band_40s,age_band,one_hot_drop_first,True
age_band,True,included,age_band_50s,age_band,one_hot_drop_first,True
age_band,True,included,age_band_60s_plus,age_band,one_hot_drop_first,True
alloc_dur_코미디,True,included,alloc_dur_코미디,alloc_dur_코미디,numeric,True
alloc_ratio_액션,True,included,alloc_ratio_액션,alloc_ratio_액션,numeric,True
billing_method,True,included,billing_method,billing_method,numeric,True
country_entropy_norm,True,included,country_entropy_norm,country_entropy_norm,numeric,True
daily_watch_slope,True,included,daily_watch_slope,daily_watch_slope,numeric,True
days_since_last_watch_to_obs_end,True,included,days_since_last_watch_to_obs_end,days_since_last_watch_to_obs_end,numeric,True
discount_sensitive_risk,True,included,discount_sensitive_risk,discount_sensitive_risk,numeric,True
family_2screen_lifestyle,True,included,family_2screen_lifestyle,family_2screen_lifestyle,numeric,True
front_loaded_ratio,True,included,front_loaded_ratio,front_loaded_ratio,numeric,True
gender,True,included,gender_M,gender,one_hot_drop_first,True
gender,True,included,gender_N,gender,one_hot_drop_first,True
has_content_feature,True,included,has_content_feature,has_content_feature,numeric,True
has_prior_churn_prevention_benefit,True,included,has_prior_churn_prevention_benefit,has_prior_churn_prevention_benefit,numeric,True
has_usage_feature,True,included,has_usage_feature,has_usage_feature,numeric,True
has_watch_obs,True,included,has_watch_obs,has_watch_obs,numeric,True
is_100won,True,included,is_100won,is_100won,numeric,True
is_churn_prevented,True,included,is_churn_prevented,is_churn_prevented,numeric,True
is_promotion,True,included,is_promotion,is_promotion,numeric,True
is_user_verified,True,included,is_user_verified,is_user_verified,numeric,True
late_ratio,True,included,late_ratio,late_ratio,numeric,True
max_screen,True,included,max_screen,max_screen,numeric,True
metadata_covered_watch_ratio,True,included,metadata_covered_watch_ratio,metadata_covered_watch_ratio,numeric,True
metadata_missing_watch_ratio,True,included,metadata_missing_watch_ratio,metadata_missing_watch_ratio,numeric,True
no_content_feature_flag,True,included,no_content_feature_flag,no_content_feature_flag,numeric,True
no_usage_feature_flag,True,included,no_usage_feature_flag,no_usage_feature_flag,numeric,True
no_watch_obs_flag,True,included,no_watch_obs_flag,no_watch_obs_flag,numeric,True
only_week1_flag,True,included,only_week1_flag,only_week1_flag,numeric,True
payment_device,True,included,payment_device_ios,payment_device,one_hot_drop_first,True
payment_device,True,included,payment_device_mobile,payment_device,one_hot_drop_first,True
payment_device,True,included,payment_device_ott,payment_device,one_hot_drop_first,True
payment_device,True,included,payment_device_pc,payment_device,one_hot_drop_first,True
payment_device,True,included,payment_device_smarttv,payment_device,one_hot_drop_first,True
premium_action_trial_risk,True,included,premium_action_trial_risk,premium_action_trial_risk,numeric,True
price,True,included,price,price,numeric,True
promo2_family_lifestyle_candidate,True,included,promo2_family_lifestyle_candidate,promo2_family_lifestyle_candidate,numeric,True
promo_x_1screen,True,included,promo_x_1screen,promo_x_1screen,numeric,True
promo_x_2screen,True,included,promo_x_2screen,promo_x_2screen,numeric,True
promo_x_4screen,True,included,promo_x_4screen,promo_x_4screen,numeric,True
rating_dur_국민학생관람불가,True,included,rating_dur_국민학생관람불가,rating_dur_국민학생관람불가,numeric,True
rating_ratio_12세,True,included,rating_ratio_12세,rating_ratio_12세,numeric,True
screen_1_flag,True,included,screen_1_flag,screen_1_flag,numeric,True
screen_2_flag,True,included,screen_2_flag,screen_2_flag,numeric,True
screen_4_flag,True,included,screen_4_flag,screen_4_flag,numeric,True
stable_2screen_active,True,included,stable_2screen_active,stable_2screen_active,numeric,True
tag_dur_코미디,True,included,tag_dur_코미디,tag_dur_코미디,numeric,True
total_sessions,True,included,total_sessions,total_sessions,numeric,True
total_watch_time,True,included,total_watch_time,total_watch_time,numeric,True
unique_contents,True,included,unique_contents,unique_contents,numeric,True
unique_days,True,included,unique_days,unique_days,numeric,True
usable_metadata_watch_ratio,True,included,usable_metadata_watch_ratio,usable_metadata_watch_ratio,numeric,True
w3_minus_w1_watch_time,True,included,w3_minus_w1_watch_time,w3_minus_w1_watch_time,numeric,True
week1_ratio,True,included,week1_ratio,week1_ratio,numeric,True
week1_watch_time,True,included,week1_watch_time,week1_watch_time,numeric,True
week2_ratio,True,included,week2_ratio,week2_ratio,numeric,True
week2_watch_time,True,included,week2_watch_time,week2_watch_time,numeric,True
week3_ratio,True,included,week3_ratio,week3_ratio,numeric,True
week3_watch_time,True,included,week3_watch_time,week3_watch_time,numeric,True
