file_path,file_role,sha256_before,sha256_after,size_before,size_after,status
PUBLIC\data\06_model_input_promo_0.csv,input,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,8fb3662dc1b2ed6deb2db8eedcde18bbd715439db097c70954e9a7a45c1b4a7c,5993802,5993802,unchanged
PUBLIC\data\06_model_input_promo_1.csv,input,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,09306871a7989d63b6913e1623d9ffdabd82be994cd3aa850fa34d6844bc6596,6397348,6397348,unchanged
PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\17_input_validation.csv,17_handoff,f9ea0b6d23ac4c62ebe4e32a3664db30e1fe99ffabe1da796eaf0654c8e85ccc,f9ea0b6d23ac4c62ebe4e32a3664db30e1fe99ffabe1da796eaf0654c8e85ccc,4151,4151,unchanged
PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\17_source_fingerprint_before_after.csv,17_handoff,55ad7191ffe3ad6c7fe5b5da7ec9208c0a812a6eb9005d0a1d9c151142c1649e,55ad7191ffe3ad6c7fe5b5da7ec9208c0a812a6eb9005d0a1d9c151142c1649e,12660,12660,unchanged
PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\PUBLIC_17_promo_scope_oof_behavior_segmentation_final_checks.csv,17_handoff,55b5baa7b29ec578f5b04a4f7fd88cd10384fbeade12a258a4064e6bd305a8aa,55b5baa7b29ec578f5b04a4f7fd88cd10384fbeade12a258a4064e6bd305a8aa,6312,6312,unchanged
PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\PUBLIC_17_promo_scope_oof_behavior_segmentation_zip_inventory.csv,17_handoff,ee2949923653d49354d863cb1419d8b9385278c4817261395462205d28a793ad,ee2949923653d49354d863cb1419d8b9385278c4817261395462205d28a793ad,3181,3181,unchanged
PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\README.md,17_handoff,d7d1ca15216601076c51ca8cfcb96359bfe7bb2a2fe7370abdc0bacec4bb6b58,d7d1ca15216601076c51ca8cfcb96359bfe7bb2a2fe7370abdc0bacec4bb6b58,1289,1289,unchanged
PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\public_17_segmentation_design_runner.py,17_helper,522efff354c5d192ab2fa4944fcd71cf5fa88963cb14ab08cb6ab7855b75a0a0,522efff354c5d192ab2fa4944fcd71cf5fa88963cb14ab08cb6ab7855b75a0a0,86070,86070,unchanged
PUBLIC\note.md,note,39dcd9fbd43a4499419319be788db9c1905b3c7b70da644fbdfe4f26601e96a1,39dcd9fbd43a4499419319be788db9c1905b3c7b70da644fbdfe4f26601e96a1,126926,126926,unchanged
PUBLIC\notebooks\17_segmentation_design_260520\17_promo_scope_oof_behavior_segmentation_260520.ipynb,17_notebook,78bec0fd1549d97ac3b08068f5049707e50949e1eb465d619a95430dcabb5689,78bec0fd1549d97ac3b08068f5049707e50949e1eb465d619a95430dcabb5689,1412,1412,unchanged
PUBLIC\notebooks\17_segmentation_design_260520\17_promo_scope_oof_behavior_segmentation_260520_executed.ipynb,17_notebook,4f79e3e5f796e8d404fd8e7a9dc8c7ab2a7f657420c74f0ed8148c450e96b659,4f79e3e5f796e8d404fd8e7a9dc8c7ab2a7f657420c74f0ed8148c450e96b659,2161,2161,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_gb_lr_high_risk_overlap.csv,input,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,1456,1456,unchanged
