full_name,size_bytes
PUBLIC/handoff/PUBLIC_17_promo_scope_oof_behavior_segmentation_260520/README.md,1289
PUBLIC/handoff/PUBLIC_17_promo_scope_oof_behavior_segmentation_260520/17_input_validation.csv,4151
PUBLIC/handoff/PUBLIC_17_promo_scope_oof_behavior_segmentation_260520/17_source_fingerprint_before_after.csv,12649
PUBLIC/handoff/PUBLIC_17_promo_scope_oof_behavior_segmentation_260520/PUBLIC_17_promo_scope_oof_behavior_segmentation_final_checks.csv,6312
PUBLIC/handoff/PUBLIC_17_promo_scope_oof_behavior_segmentation_260520/PUBLIC_17_promo_scope_oof_behavior_segmentation_zip_inventory.csv,3181
PUBLIC/handoff/PUBLIC_17_promo_scope_oof_behavior_segmentation_260520/public_17_segmentation_design_runner.py,86070
PUBLIC/notebooks/17_segmentation_design_260520/17_promo_scope_oof_behavior_segmentation_260520.ipynb,1412
PUBLIC/notebooks/17_segmentation_design_260520/17_promo_scope_oof_behavior_segmentation_260520_executed.ipynb,2161
PUBLIC/note.md,126926
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/README.md,2415
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segmentation_base_datamart.csv,15754590
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_base_datamart_validation.csv,389
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_internal_multiflag_definitions.csv,8585
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_internal_multiflag_assignment.csv,2917446
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_representative_segment_rules.csv,4820
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_representative_segment_assignment.csv,4123234
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_summary.csv,6784
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_feature_profile.csv,296215
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_SHAP_family_evidence_link.csv,11214
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_demographic_profile.csv,42906
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_age_gender_behavior_profile.csv,260357
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_action_personalization_matrix.csv,6934
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_business_action_candidates.csv,6676
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_rationale_memo_for_executives.md,7929
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_rationale_evidence_table.csv,22007
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_segment_caveat_and_rejected_alternatives.md,1136
PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments/17_readiness_for_18_business_storyline.csv,1187
