feature_set_name,feature,feature_family,risk_classification,reason
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,price,membership_context,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,max_screen,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,is_promotion,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,is_user_verified,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,gender,membership_context,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,age,membership_context,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,payment_device,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,billing_method,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_week1_watch_time,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_week2_watch_time,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_week3_watch_time,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_week1_sessions,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_week2_sessions,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_week3_sessions,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_unique_contents,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_unique_watch_days,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_avg_watch_time_per_session,other,safe_individual_interpretation,
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_action_adventure,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_animation_family,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_comedy,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_drama,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_historical_war,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_horror,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_other,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_romance,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_sf_fantasy,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_ratio_thriller_crime,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_genre_entropy,other,family_level_only,composition or correlated usage family
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3_recent_content_watch_ratio,other,safe_individual_interpretation,
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,price,membership_context,safe_individual_interpretation,
