feature,vif,status,feature_set_name
price,1.010833153921858,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
max_screen,1.0124833230707835,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
age,1.012107703204226,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_week1_watch_time,3.7055886630217865,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_week2_watch_time,3.2243778839258335,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_week3_watch_time,3.4444672346788403,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_week1_sessions,4.710218395307414,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_week2_sessions,3.7735825788219683,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_week3_sessions,4.173999475049172,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_unique_contents,6.060558681911423,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_unique_watch_days,3.6459311180206053,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_avg_watch_time_per_session,2.122017811851947,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_action_adventure,2.0359325530840233,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_animation_family,2.194558040146331,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_comedy,1.7593113013421575,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_drama,2.2906631993220907,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_historical_war,1.6138401766477177,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_horror,1.275574023378961,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_other,1.350284432502827,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_romance,1.8156785203745185,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_sf_fantasy,2.196793051388741,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_ratio_thriller_crime,2.0536155713008837,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_genre_entropy,2.5264570505645008,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
w1_3_recent_content_watch_ratio,1.2246858982305455,ok,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
price,1.0105081034368175,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
max_screen,1.01193091671307,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
age,1.011505615550683,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_week1_watch_time,3.5778540769743787,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_week2_watch_time,3.132282230251774,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_week3_watch_time,3.3186696728560574,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_week1_sessions,4.516463030952671,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_week2_sessions,3.615596239393162,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_week3_sessions,3.972995326060143,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_unique_contents,4.560066910902832,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_unique_watch_days,3.20930971059497,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
w1_3_avg_watch_time_per_session,1.7497862240606923,ok,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
price,1.0108212536174208,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
max_screen,1.0124625247703236,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
age,1.0119907756256676,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_week1_watch_time,3.7043584921638546,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_week2_watch_time,3.224353348663875,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_week3_watch_time,3.4433207455552037,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_week1_sessions,4.705996825385857,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_week2_sessions,3.7722982613977245,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_week3_sessions,4.173150233074699,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_unique_contents,6.058289790150515,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_unique_watch_days,3.639918688096334,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_avg_watch_time_per_session,2.1106165401565273,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_action_adventure,1.845980301337218,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_animation_family,2.1804548664845385,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_comedy,1.7178027483646652,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_drama,2.278851028120366,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_historical_war,1.6107171018142659,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_horror,1.2363001366309134,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_other,1.2616330532748592,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_romance,1.790866235584358,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_sf_fantasy,2.1529816799993293,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_ratio_thriller_crime,1.9575906405389574,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
w1_3_genre_entropy,2.5248741083288464,ok,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
price,1.010833153921858,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
max_screen,1.0124833230707835,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
age,1.012107703204226,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_week1_watch_time,3.7055886630217865,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_week2_watch_time,3.2243778839258335,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_week3_watch_time,3.4444672346788403,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_week1_sessions,4.710218395307414,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_week2_sessions,3.7735825788219683,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_week3_sessions,4.173999475049172,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_unique_contents,6.060558681911423,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_unique_watch_days,3.6459311180206053,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_avg_watch_time_per_session,2.122017811851947,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_action_adventure,2.0359325530840233,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_animation_family,2.194558040146331,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_comedy,1.7593113013421575,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_drama,2.2906631993220907,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_historical_war,1.6138401766477177,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_horror,1.275574023378961,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_other,1.350284432502827,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_romance,1.8156785203745185,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_sf_fantasy,2.196793051388741,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_ratio_thriller_crime,2.0536155713008837,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_genre_entropy,2.5264570505645008,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
w1_3_recent_content_watch_ratio,1.2246858982305455,ok,pruned_w1_3_timing_sensitive_all_weeks_reference
price,1.0104506256439911,ok,pruned_w1_3_early_safer_week1_2_reference
max_screen,1.0117664747586423,ok,pruned_w1_3_early_safer_week1_2_reference
age,1.0114549061273943,ok,pruned_w1_3_early_safer_week1_2_reference
w1_3_week1_watch_time,3.5680379925968446,ok,pruned_w1_3_early_safer_week1_2_reference
w1_3_week2_watch_time,3.1131149339087076,ok,pruned_w1_3_early_safer_week1_2_reference
w1_3_week1_sessions,3.897950540744259,ok,pruned_w1_3_early_safer_week1_2_reference
w1_3_week2_sessions,3.276962157518154,ok,pruned_w1_3_early_safer_week1_2_reference
w1_3_unique_contents,3.1351985634443085,ok,pruned_w1_3_early_safer_week1_2_reference
