transformed_feature,original_feature,feature_family,mean_abs_shap_for_repurchase_score,mean_shap_for_repurchase_score
num__w1_3_week3_watch_time,w1_3_week3_watch_time,weekly_usage_pattern,0.8073073665157038,-0.05583585138343113
num__w1_3_week1_watch_time,w1_3_week1_watch_time,weekly_usage_pattern,0.2782355902827915,0.018026355559414477
num__w1_3_genre_ratio_drama,w1_3_genre_ratio_drama,genre_ratio_proxy,0.2647290032986301,-0.004856153907236882
num__w1_3_week2_watch_time,w1_3_week2_watch_time,weekly_usage_pattern,0.26209624831500267,0.039891713859803404
num__w1_3_genre_ratio_animation_family,w1_3_genre_ratio_animation_family,genre_ratio_proxy,0.25073330142738176,-0.004021561658391433
num__price,price,membership_context,0.25060365851667094,0.0018303365065567153
num__w1_3_genre_ratio_romance,w1_3_genre_ratio_romance,genre_ratio_proxy,0.21630070625966102,-0.00667172640704002
num__w1_3_genre_ratio_thriller_crime,w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,0.2099904651695197,-0.009012328013300222
num__w1_3_genre_ratio_action_adventure,w1_3_genre_ratio_action_adventure,genre_ratio_proxy,0.15964493235720295,0.007877210881650457
num__w1_3_avg_watch_time_per_session,w1_3_avg_watch_time_per_session,simple_usage_volume,0.14663159283404387,-0.002849518024249622
num__w1_3_unique_contents,w1_3_unique_contents,simple_usage_volume,0.14245237572453268,-0.0271029812991172
num__max_screen,max_screen,membership_context,0.11136899652061909,-0.0008187457264339794
num__w1_3_week3_sessions,w1_3_week3_sessions,weekly_usage_pattern,0.0901783649068253,-0.009366301191943023
num__w1_3_genre_ratio_horror,w1_3_genre_ratio_horror,genre_ratio_proxy,0.051196794778948854,-0.0014455795917700527
cat__is_user_verified_N,is_user_verified,membership_context,0.03597601017767954,-0.0030190076399277434
num__w1_3_genre_ratio_sf_fantasy,w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,0.03561879624786985,0.0022562612648590447
num__w1_3_genre_ratio_other,w1_3_genre_ratio_other,genre_ratio_proxy,0.032626709349083065,-0.0008081448068110621
num__w1_3_recent_content_watch_ratio,w1_3_recent_content_watch_ratio,release_month_proxy,0.030413516035170108,-0.0019658133963127824
num__w1_3_unique_watch_days,w1_3_unique_watch_days,simple_usage_volume,0.02855202642607293,-0.008751507075445608
num__w1_3_genre_entropy,w1_3_genre_entropy,genre_ratio_proxy,0.027591787965238746,-0.0032951127959216934
num__w1_3_genre_ratio_comedy,w1_3_genre_ratio_comedy,genre_ratio_proxy,0.023179175172263106,-0.0009374015062596405
num__w1_3_week1_sessions,w1_3_week1_sessions,weekly_usage_pattern,0.020860460218234123,-0.0010329647616411667
num__age,age,membership_context,0.017660868773937785,0.000852001650795668
num__w1_3_week2_sessions,w1_3_week2_sessions,weekly_usage_pattern,0.016948589821254214,0.0029382106948807594
cat__payment_device_android,payment_device,membership_context,0.016595552222822635,0.0005943622887470056
num__w1_3_genre_ratio_historical_war,w1_3_genre_ratio_historical_war,genre_ratio_proxy,0.016248821575136643,-0.0013801077819341793
cat__payment_device_pc,payment_device,membership_context,0.007530265140066701,-0.0003133822904965719
cat__payment_device_mobile,payment_device,membership_context,0.0064868957953615825,-0.00046796966281195283
cat__gender_N,gender,membership_context,0.0051213022535041815,6.589146410702497e-05
cat__gender_M,gender,membership_context,0.004570627630819313,0.00021996277924955448
cat__billing_method_190,billing_method,membership_context,0.0028360601320807422,0.0002875887432508219
cat__billing_method_134,billing_method,membership_context,0.0028287765304765245,-0.00036367579109218865
cat__billing_method_180,billing_method,membership_context,0.002612538580017718,2.0519696671599768e-05
cat__billing_method_151,billing_method,membership_context,0.0020214435557994936,7.969014310930287e-05
cat__is_user_verified_Y,is_user_verified,membership_context,0.001908131078606354,-0.0001905353305983162
cat__billing_method_132,billing_method,membership_context,0.001188609601093561,7.347503478781203e-05
cat__billing_method_131,billing_method,membership_context,0.001104497801438073,0.00013029729702185354
cat__payment_device_sstv,payment_device,membership_context,0.0009719100382403116,8.412783461103477e-05
cat__gender_F,gender,membership_context,0.00035230540317106784,5.971813026592507e-05
cat__payment_device_ott,payment_device,membership_context,0.0002495657102870621,-0.00012288199867866538
cat__payment_device_ios,payment_device,membership_context,0.0,0.0
cat__is_promotion_O,is_promotion,membership_context,0.0,0.0
cat__payment_device_lgtv,payment_device,membership_context,0.0,0.0
cat__payment_device_lgchplus,payment_device,membership_context,0.0,0.0
cat__payment_device_ott_cjhello,payment_device,membership_context,0.0,0.0
cat__payment_device_smarttv,payment_device,membership_context,0.0,0.0
cat__billing_method_121,billing_method,membership_context,0.0,0.0
cat__billing_method_140,billing_method,membership_context,0.0,0.0
cat__billing_method_170,billing_method,membership_context,0.0,0.0
cat__billing_method_160,billing_method,membership_context,0.0,0.0
