DIR 	park.ingyeom\_archive		 MB	2026-05-19 19:11:51
DIR 	park.ingyeom\_archive\handoff		 MB	2026-05-19 19:11:46
DIR 	park.ingyeom\_archive\handoff\handoff_260515		 MB	2026-05-19 19:11:47
DIR 	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508		 MB	2026-05-19 19:11:47
DIR 	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\archive_manifest		 MB	2026-05-19 19:11:46
FILE	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\archive_manifest\12_deprecated_isolation_manifest.csv	2174	0.002 MB	2026-05-19 19:11:46
FILE	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\archive_manifest\12_oof_prediction_manifest.csv	1870	0.002 MB	2026-05-19 19:11:46
FILE	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\archive_manifest\12r_oof_prediction_manifest.csv	1176	0.001 MB	2026-05-19 19:11:46
DIR 	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs		 MB	2026-05-19 19:11:47
DIR 	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\05b_column_role_dictionary_patch_260513		 MB	2026-05-19 19:11:46
FILE	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\05b_column_role_dictionary_patch_260513\05b_canonical_column_role_dictionary.csv	73377	0.070 MB	2026-05-19 19:11:46
FILE	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\05b_column_role_dictionary_patch_260513\05b_canonical_leakage_suspect_audit.csv	18918	0.018 MB	2026-05-19 19:11:46
FILE	park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\05b_column_role_dictionary_patch_260513\05b_canonical_recommended_feature_set_contracts.csv	101365	0.097 MB	2026-05-19 19:11:46
