relative_path,parent_folder,file_name,file_ext,size_bytes,modified_time,detected_role,readable_status,note
results/01_catboost_promo0/final_result.csv,results/01_catboost_promo0,final_result.csv,.csv,447,2026-05-20T09:41:20,final_result,readable,
results/01_catboost_promo0/trials_all.csv,results/01_catboost_promo0,trials_all.csv,.csv,23390,2026-05-20T09:41:20,trials_all,readable,
results/02_catboost_promo1/final_result.csv,results/02_catboost_promo1,final_result.csv,.csv,454,2026-05-20T09:41:20,final_result,readable,
results/02_catboost_promo1/trials_all.csv,results/02_catboost_promo1,trials_all.csv,.csv,23255,2026-05-20T09:41:20,trials_all,readable,
results/03_svm_promo0/final_result.csv,results/03_svm_promo0,final_result.csv,.csv,407,2026-05-20T09:31:23,final_result,readable,
results/03_svm_promo0/trials_all.csv,results/03_svm_promo0,trials_all.csv,.csv,22869,2026-05-20T09:31:23,trials_all,readable,
results/04_svm_promo1/final_result.csv,results/04_svm_promo1,final_result.csv,.csv,408,2026-05-20T09:31:23,final_result,readable,
results/04_svm_promo1/trials_all.csv,results/04_svm_promo1,trials_all.csv,.csv,22833,2026-05-20T09:31:23,trials_all,readable,
results/05_rf_promo0/final_result.csv,results/05_rf_promo0,final_result.csv,.csv,1915,2026-05-19T22:05:21,final_result,readable,
results/05_rf_promo0/trials_all.csv,results/05_rf_promo0,trials_all.csv,.csv,17901,2026-05-19T22:05:15,trials_all,readable,
results/06_rf_promo1/final_result.csv,results/06_rf_promo1,final_result.csv,.csv,1907,2026-05-19T23:34:36,final_result,readable,
results/06_rf_promo1/trials_all.csv,results/06_rf_promo1,trials_all.csv,.csv,17854,2026-05-20T09:04:37,trials_all,readable,
results/07_lr_promo0/final_result.csv,results/07_lr_promo0,final_result.csv,.csv,376,2026-05-20T09:41:20,final_result,readable,
results/07_lr_promo0/trials_all.csv,results/07_lr_promo0,trials_all.csv,.csv,18331,2026-05-20T09:41:20,trials_all,readable,
results/08_lr_promo1/final_result.csv,results/08_lr_promo1,final_result.csv,.csv,377,2026-05-20T09:05:10,final_result,readable,
results/08_lr_promo1/trials_all.csv,results/08_lr_promo1,trials_all.csv,.csv,18493,2026-05-20T09:05:10,trials_all,readable,
