feature_name,used_as_feature
is_churn_prevented,True
is_user_verified,True
is_standard,True
is_premium,True
age_group,True
is_female,True
is_male,True
reg_is_weekend,True
reg_hour_morning,True
reg_hour_afternoon,True
reg_hour_evening,True
reg_hour_night,True
total_watch_count,True
unique_movie,True
watch_days,True
active_ratio,True
total_watch_time_min,True
watch_per_day,True
avg_watch_time_min,True
median_watch_time_min,True
std_watch_time_min,True
avg_daily_watch_time_min,True
max_watch_time_min,True
max_daily_watch_time_min,True
max_daily_sessions,True
recency,True
avg_gap_between_watch_days,True
avg_gap_w1_watch_days,True
avg_gap_w2_watch_days,True
avg_gap_w3_watch_days,True
max_inactive_gap_days,True
avg_rewatch_ratio,True
weekend_watch_ratio,True
watch_ratio_under_1m,True
watch_ratio_under_5m,True
movie_per_active_day,True
max_day_share,True
day_count_over_3times,True
watch_time_min_w1,True
watch_time_min_w2,True
watch_time_min_w3,True
watch_session_w1,True
watch_session_w2,True
watch_session_w3,True
diff_between_w2_w1,True
diff_between_w3_w1,True
diff_between_w3_w2,True
is_w1_over_50pct,True
is_w2_over_50pct,True
is_w3_over_50pct,True
is_only_w1,True
is_only_w2,True
is_only_w3,True
new_movie_in_90d_ratio,True
new_movie_in_180d_ratio,True
new_movie_in_365d_ratio,True
old_movie_ratio_5y,True
avg_ott_release_year,True
genre_diversity_count,True
action_adventure_ratio,True
family_animation_ratio,True
drama_ratio,True
thriller_crime_ratio,True
sf_fantasy_ratio,True
comedy_ratio,True
romance_ratio,True
horror_ratio,True
documentary_ratio,True
historical_war_ratio,True
other_ratio,True
is_basic,True
is_cold_start_3d_fixed,True
is_cold_start_7d_fixed,True
log_retention_w2_ratio,True
log_retention_w3_ratio,True
