trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_n_estimators,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_subsample,param_max_features
0,0.8675320561413415,0.876602133444886,0.8947422880519749,0.018140154607088843,False,125,0.04802857225639665,3,200,178,0.6467983561008608,
1,0.8377060988415005,0.841250510773067,0.8483393346362,0.007088823863133031,False,170,0.03832290311184182,1,293,517,0.6637017332034828,
2,0.8473854114078321,0.8525366873588045,0.8628392392607495,0.010302551901944956,False,111,0.030990257265289513,2,123,406,0.6418481581956126,
3,0.8247087880312827,0.8281766336898538,0.8351123250069963,0.006935691317142445,False,141,0.041407038455720545,1,179,396,0.6139351238159994,sqrt
4,0.8486902208790352,0.8539253648255112,0.8643956527184631,0.010470287892951902,False,63,0.047955421490133335,3,252,252,0.6293016342019151,sqrt
5,0.8004659384978732,0.803382710660568,0.8092162549859576,0.005833544325389628,False,74,0.029807076404450808,1,278,229,0.7987566853061946,
6,0.8542677519960907,0.8611438930431955,0.874896175137405,0.013752282094209534,False,159,0.017394178221021083,3,244,570,0.8684482051282947,
7,0.7850887972755127,0.7869280121193652,0.7906064418070702,0.0036784296877049316,False,67,0.017839314496765808,1,131,294,0.6814047095321688,sqrt
8,0.8031230012870287,0.8061516038693888,0.8122088090341089,0.006057205164720081,False,106,0.03170784332632994,1,251,137,0.8960660809801553,sqrt
9,0.8430551201953016,0.8474043272720735,0.8561027414256174,0.008698414153543887,False,51,0.04261845713819337,3,232,486,0.6222133955202271,sqrt
10,0.8382304404738703,0.8428697052782145,0.8521482348869028,0.009278529608688357,False,230,0.010239887318232686,2,54,107,0.7314242782385489,
11,0.8615873852915796,0.8690929378261047,0.8841040428951551,0.015011105069050346,False,182,0.02058834880064951,3,184,573,0.8394815118118929,
12,0.8644545742926621,0.873163632061677,0.8905817475997067,0.017418115538029633,False,204,0.023125994111743823,3,186,179,0.8036844194695725,
13,0.8601639635182303,0.8660200888193998,0.8777323394217389,0.011712250602339047,False,223,0.025947161289798598,2,207,196,0.7551004042955007,
14,0.869071506102223,0.8819193110739059,0.9076149210172716,0.025695609943365727,False,185,0.04968053059265035,3,143,169,0.7220648662649468,
15,0.8677408158248745,0.8780839255941142,0.8987701451325935,0.020686219538479267,False,130,0.04948042556366502,3,110,308,0.7102136661660048,
16,0.8690958532229924,0.8770224075123914,0.8928755160911892,0.015853108578797848,False,203,0.049606231361598634,2,115,323,0.713220788288819,
17,0.8643986950320239,0.8716356456221412,0.8861095468023759,0.014473901180234616,False,195,0.03846813626083054,2,85,349,0.7642237682531265,
18,0.869815119601232,0.8779540442103183,0.8942318934284907,0.016277849218172435,False,246,0.04360060668358781,2,148,429,0.6978312384395814,
19,0.8705174308617016,0.8784293210650631,0.8942531014717859,0.01582378040672283,False,248,0.04376560608093201,2,152,445,0.6924421537333716,
20,0.8674444631834222,0.8746471605964157,0.8890525554224027,0.014405394825987017,False,250,0.03523262026454018,2,150,426,0.6671109287982315,
21,0.8703476041163999,0.8784738660415172,0.8947263898917519,0.01625252385023468,False,249,0.04308805901316675,2,94,463,0.6996435529265221,
22,0.8704721921765595,0.8787525835517223,0.8953133663020478,0.016560782750325576,False,249,0.044065689194562024,2,84,472,0.6936227681156298,
23,0.8688486499558172,0.8766650514243315,0.8922978543613599,0.0156328029370284,False,226,0.043550544106256174,2,68,479,0.6805332952441572,
24,0.8682126172554145,0.875588262866809,0.8903395540895979,0.014751291222788843,False,236,0.03834563848809288,2,89,521,0.7395360863812563,
25,0.8687534089281544,0.8768039941914372,0.8929051647180026,0.016101170526565456,False,218,0.045640721881935124,2,94,464,0.7740391423749113,
26,0.8643948182577288,0.8707152635037572,0.883356153995814,0.012640890492056855,False,249,0.03613478405743212,2,52,532,0.6844659489730096,sqrt
27,0.8693195312186335,0.8767042730415741,0.8914737566874551,0.014769483645881043,False,215,0.04615334073317669,2,160,377,0.604318176087983,
28,0.868543818284967,0.8763436493687461,0.8919433115363045,0.01559966216755837,False,237,0.04118796863783699,2,104,449,0.6557635386421155,
29,0.843054181819586,0.8467021505121929,0.8539980878974067,0.007295937385213835,False,212,0.034440885941974295,1,74,366,0.7053835860660942,
30,0.8700119433596779,0.878273040311969,0.894795234216551,0.016522193904582094,False,239,0.04547786478474576,2,131,499,0.7821993132129289,
31,0.8696174715919327,0.8779552850445279,0.8946309119497183,0.01667562690519042,False,236,0.045981421026131855,2,129,496,0.8079051154083517,
32,0.8689635141396961,0.8764723655066262,0.8914900682404866,0.015017702733860383,False,238,0.04058169882381758,2,160,552,0.7787696339158364,
33,0.8689200601340066,0.8767064500853838,0.8922792299881385,0.01557277990275463,False,246,0.039701797767029756,2,105,506,0.7381320115103012,
34,0.8694616418905597,0.8771565407692528,0.8925463385266388,0.015389797757386026,False,224,0.04430262141952825,2,133,441,0.6916195934184751,
35,0.866047665316404,0.8730294755857069,0.8869930961243128,0.013963620538605892,False,173,0.046915575734648156,2,74,598,0.6434917981268032,
36,0.830590505399042,0.8341937500847845,0.8414002394562694,0.0072064893714849365,False,204,0.032789344502277995,1,167,410,0.6656460424932642,sqrt
37,0.8599641766285977,0.8658089670556814,0.8774985479098489,0.011689580854167492,False,155,0.036864962951109935,2,207,465,0.8310378796555137,
38,0.8044880393913065,0.8076208642619115,0.8138865140031214,0.006265649741209911,False,89,0.028368233773906147,1,118,389,0.7852288566689797,
39,0.8652102396312187,0.8718732198814878,0.8851991803820262,0.013325960500538359,False,233,0.04212499070555411,2,99,530,0.6360742880394992,sqrt
40,0.8669170915009676,0.8743444206469613,0.8891990789389486,0.014854658291987288,False,194,0.044855856344647387,2,140,414,0.7552611627852327,
41,0.8701146224274143,0.8781821642543717,0.8943172479082865,0.016135083653914806,False,250,0.04336665916469039,2,151,439,0.698185035765243,
42,0.870988439766998,0.8793230157205354,0.8959921676276101,0.016669151907074742,False,242,0.04779076003288725,2,124,455,0.7205463659562059,
43,0.8710311540221621,0.879425047297892,0.8962128338493516,0.016787786551459627,False,248,0.04762378419247988,2,119,457,0.7220276290204236,
