feature_set_name,dataset_scope,model_name,feature_family,AARRR_stage,redundancy_family,mean_abs_shap_sum,mean_abs_shap_mean,feature_count,top_features,interpretation_caution
expanded_feature_set,overall_with_promotion,LightGBM,acquisition_split_key,Acquisition,not_clustered,0.36243327333885655,0.36243327333885655,1,is_promotion,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,content_preference_context,Retention_context,genre_ratio_compositional_family,1.632498370325603,0.148408942756873,11,drama_ratio; family_animation_ratio; romance_ratio; thriller_crime_ratio; action_adventure_ratio,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,content_preference_context,Retention_context,new_movie_nested_ratio_family,0.07030972527205825,0.023436575090686085,3,new_movie_in_180d_ratio; new_movie_in_90d_ratio; new_movie_in_365d_ratio,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,content_preference_context,Retention_context,not_clustered,0.1817249012022265,0.060574967067408836,3,genre_diversity_count; avg_ott_release_year; old_movie_ratio_5y,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,early_week1_watch_behavior,Activation,not_clustered,0.053745329714907294,0.026872664857453647,2,is_w1_over_50pct; is_only_w1,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,early_week1_watch_behavior,Activation,watch_time_session_pair_family,0.016621115102003012,0.016621115102003012,1,watch_session_w1,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,early_week1_watch_behavior,Activation,week_watch_level_change_ratio_family,0.07075168843572775,0.07075168843572775,1,watch_time_min_w1,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,historical_churn_prevention_context,Retention_context,not_clustered,0.11581070316536415,0.11581070316536415,1,is_churn_prevented,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,membership_context,Acquisition_context,not_clustered,0.03868198519348128,0.01934099259674064,2,payment_is_android; reg_is_weekend,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,membership_context,Acquisition_context,payment_auth_default_demographic_artifact_family,0.02127334708693582,0.007091115695645273,3,payment_is_ios; payment_is_pc; payment_is_mobile,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
expanded_feature_set,overall_with_promotion,LightGBM,membership_context,Acquisition_context,plan_onehot_family,0.16224415251398724,0.05408138417132908,3,is_basic; is_standard; is_premium,Prefer family-level reading because correlated features can split SHAP importance; no feature removal was performed.
