redundancy_family,features_in_family,high_vif_or_corr_flag,top_SHAP_features_in_family,interpretation_rule,user_approval_required_for_removal,removal_performed
conservative_safe_22_corr_cluster_01,diff_between_w2_w1; retention_w2_ratio,yes,retention_w2_ratio; diff_between_w2_w1,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
conservative_safe_22_corr_cluster_02,diff_between_w3_w2; retention_w3_ratio,yes,retention_w3_ratio; diff_between_w3_w2,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
conservative_safe_22_corr_cluster_03,is_cold_start_7d_fixed; watch_session_w1; watch_time_min_w1,yes,watch_time_min_w1; watch_session_w1; is_cold_start_7d_fixed,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
conservative_safe_22_corr_cluster_04,watch_session_w2; watch_time_min_w2,yes,watch_time_min_w2; watch_session_w2,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
conservative_safe_22_corr_cluster_05,watch_session_w3; watch_time_min_w3,yes,watch_time_min_w3; watch_session_w3,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_01,active_ratio; genre_diversity_count; total_watch_count; unique_movie; watch_days,yes,genre_diversity_count; unique_movie,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_02,avg_daily_watch_time_min; avg_watch_time_min; max_daily_watch_time_min; max_watch_time_min; median_watch_time_min; total_watch_time_min,yes,median_watch_time_min; max_watch_time_min,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_03,avg_gap_between_watch_days; max_inactive_gap_days,yes,max_inactive_gap_days; avg_gap_between_watch_days,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_04,day_count_over_3times; max_daily_sessions; watch_per_day,yes,watch_per_day; day_count_over_3times,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_05,diff_between_w2_w1; retention_w2_ratio,yes,retention_w2_ratio; diff_between_w2_w1,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_06,diff_between_w3_w2; retention_w3_ratio,yes,retention_w3_ratio; diff_between_w3_w2,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_07,is_cold_start_7d_fixed; watch_session_w1; watch_time_min_w1,yes,watch_time_min_w1; watch_session_w1,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_08,new_movie_in_180d_ratio; new_movie_in_365d_ratio; new_movie_in_90d_ratio,yes,new_movie_in_180d_ratio; new_movie_in_90d_ratio,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_09,watch_session_w2; watch_time_min_w2,yes,watch_time_min_w2; watch_session_w2,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
expanded_feature_set_corr_cluster_10,watch_session_w3; watch_time_min_w3,yes,watch_time_min_w3; watch_session_w3,Interpret as a related feature family or redundancy cluster; do not over-read one variable.,yes,no
