source_file,sha256_before,size_before,sha256_after,size_after,unchanged
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_expanded_dataset.csv,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,9983123,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,9983123,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_final_checks.csv,352104f2e3bdd0a34605e62313562440a58e99560e4533534b21965e4274c96e,1539,352104f2e3bdd0a34605e62313562440a58e99560e4533534b21965e4274c96e,1539,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_model_feature_lists.csv,ca01ba97fa6aa12f728808cfbc230a462f720810bd7b56e7484c3258c786f370,12902,ca01ba97fa6aa12f728808cfbc230a462f720810bd7b56e7484c3258c786f370,12902,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_SHAP_handoff_for_16x.csv,4f3bb13291c35a408b683f638695d708e8c784bc6055f31424d000009223746b,513,4f3bb13291c35a408b683f638695d708e8c784bc6055f31424d000009223746b,513,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_expanded_no_payment_device_feature_list.csv,08592f9099522dfdfe55abe285b0da8cdf84c0faa98c787b3a9925cf1927b248,30618,08592f9099522dfdfe55abe285b0da8cdf84c0faa98c787b3a9925cf1927b248,30618,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_final_checks.csv,e5d9852651efd5ee963b51ae413c33ddfb50ead547f2c5c518504a8daff725cb,3455,e5d9852651efd5ee963b51ae413c33ddfb50ead547f2c5c518504a8daff725cb,3455,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_recommendation_for_canonical_feature_contract.csv,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,376,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,376,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_candidate_selection_by_scope.csv,a604006afa4b869ce3a7c502030ffbf777843cd46d0ef64b04a9c814867b61fd,3242,a604006afa4b869ce3a7c502030ffbf777843cd46d0ef64b04a9c814867b61fd,3242,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_final_checks.csv,abc8c3c5727b08fa1d7405fd5235ae6e7b0c018c0f85a11027a8b008a27d2ef9,3302,abc8c3c5727b08fa1d7405fd5235ae6e7b0c018c0f85a11027a8b008a27d2ef9,3302,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\models\14x_lightweight_candidate_tuning_260516\14x_best_params_by_scope.csv,d41346ee6cc03220a53aac331fd8b8f6345d091faf23393632d7e863b430e11b,5111,d41346ee6cc03220a53aac331fd8b8f6345d091faf23393632d7e863b430e11b,5111,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\models\14x_lightweight_candidate_tuning_260516\14x_candidate_recommendation_summary.csv,9e2b14c291120e8de3c6c1748911750e9c7736dd825367331700f9db501814d1,4625,9e2b14c291120e8de3c6c1748911750e9c7736dd825367331700f9db501814d1,4625,True
C:\Code\ott-churn-prediction\park.ingyeom\reports\models\14x_lightweight_candidate_tuning_260516\14x_final_checks.csv,be9f320c22c2b663763afff7d990bd3dd5d4453a3d6cd4eaab95118f94759b05,2453,be9f320c22c2b663763afff7d990bd3dd5d4453a3d6cd4eaab95118f94759b05,2453,True
