dataset_scope,model_name,rank_in_scope,feature,feature_family,mean_abs_shap,mean_signed_shap
overall_with_promotion,LightGBM,1,watch_time_min_w3,usage_retention_behavior,0.41385484780619847,-0.012115009104757475
overall_with_promotion,LightGBM,2,is_promotion,acquisition_split_key,0.376165123357192,0.000734391438191825
overall_with_promotion,LightGBM,3,retention_w2_ratio,usage_retention_behavior,0.37075507620274206,0.009970092483548854
overall_with_promotion,LightGBM,4,retention_w3_ratio,usage_retention_behavior,0.33245952344771645,0.013229826082436447
overall_with_promotion,LightGBM,5,drama_ratio,content_preference_context,0.3256868005607498,0.016997854459450793
overall_with_promotion,LightGBM,6,family_animation_ratio,content_preference_context,0.29744502404152534,0.008242426547851652
overall_with_promotion,LightGBM,7,romance_ratio,content_preference_context,0.27612246405631086,0.014303760029833421
overall_with_promotion,LightGBM,8,thriller_crime_ratio,content_preference_context,0.2630224500568187,-0.001153462694919935
overall_with_promotion,LightGBM,9,action_adventure_ratio,content_preference_context,0.22791411001047135,-0.006807041479040449
overall_with_promotion,LightGBM,10,diff_between_w2_w1,usage_retention_behavior,0.2240659947434348,0.002801026552877907
overall_with_promotion,LightGBM,11,is_cold_start_3d_fixed,usage_retention_behavior,0.20270824590190725,-0.02120787090767004
overall_with_promotion,LightGBM,12,diff_between_w3_w2,usage_retention_behavior,0.17470890342941983,0.00808128124000796
overall_with_promotion,LightGBM,13,max_watch_time_min,usage_retention_behavior,0.16648984537569386,0.005225410507855325
overall_with_promotion,LightGBM,14,median_watch_time_min,usage_retention_behavior,0.15378159873185204,-0.006016561214016985
overall_with_promotion,LightGBM,15,is_basic,membership_context,0.14567868904099046,0.0032299683378507666
overall_with_promotion,LightGBM,16,is_churn_prevented,other_feature_family,0.12140002824589044,-0.004410340793858765
overall_with_promotion,LightGBM,17,diff_between_w3_w1,usage_retention_behavior,0.09608990685369306,-0.00958461254793179
overall_with_promotion,LightGBM,18,genre_diversity_count,content_preference_context,0.09265646196798445,0.0020775596293291392
overall_with_promotion,LightGBM,19,max_day_share,other_feature_family,0.09184604201005908,-0.0025015699641297916
overall_with_promotion,LightGBM,20,horror_ratio,content_preference_context,0.07537700282559077,-0.0020102137884313066
overall_with_promotion,LightGBM,21,age_group,demographic_proxy_caveat,0.067686771297565,0.008684580845134817
overall_with_promotion,LightGBM,22,watch_time_min_w1,usage_retention_behavior,0.05788691930275988,0.007422474116872989
overall_with_promotion,LightGBM,23,sf_fantasy_ratio,content_preference_context,0.05510638457591308,-0.0022696140283619062
overall_with_promotion,LightGBM,24,avg_ott_release_year,content_preference_context,0.0513244347274759,-0.0034900632260881784
overall_with_promotion,LightGBM,25,weekend_watch_ratio,usage_retention_behavior,0.04808473592117932,-0.0024892364980358237
overall_with_promotion,LightGBM,26,std_watch_time_min,usage_retention_behavior,0.04633747432201314,-0.004386086652525142
overall_with_promotion,LightGBM,27,avg_gap_w3_watch_days,usage_retention_behavior,0.045830190154945286,-0.0004197574945213584
overall_with_promotion,LightGBM,28,watch_ratio_under_1m,usage_retention_behavior,0.04328191001345196,0.0002901405529748799
overall_with_promotion,LightGBM,29,watch_session_w3,usage_retention_behavior,0.04312526008373982,0.0011670120431333277
overall_with_promotion,LightGBM,30,avg_watch_time_min,usage_retention_behavior,0.041778541255011584,-0.009310541337900588
overall_with_promotion,LightGBM,31,new_movie_in_180d_ratio,content_preference_context,0.04132311685742576,-0.002400465496709442
