dataset_scope,model_name,rank_in_scope,feature,feature_family,mean_abs_shap,mean_signed_shap
overall_with_promotion,LightGBM,1,watch_time_min_w3,usage_retention_behavior,0.41385484780619847,-0.012115009104757475
overall_with_promotion,LightGBM,2,is_promotion,acquisition_split_key,0.376165123357192,0.000734391438191825
overall_with_promotion,LightGBM,3,retention_w2_ratio,usage_retention_behavior,0.37075507620274206,0.009970092483548854
overall_with_promotion,LightGBM,4,retention_w3_ratio,usage_retention_behavior,0.33245952344771645,0.013229826082436447
overall_with_promotion,LightGBM,5,drama_ratio,content_preference_context,0.3256868005607498,0.016997854459450793
overall_with_promotion,LightGBM,6,family_animation_ratio,content_preference_context,0.29744502404152534,0.008242426547851652
overall_with_promotion,LightGBM,7,romance_ratio,content_preference_context,0.27612246405631086,0.014303760029833421
overall_with_promotion,LightGBM,8,thriller_crime_ratio,content_preference_context,0.2630224500568187,-0.001153462694919935
overall_with_promotion,LightGBM,9,action_adventure_ratio,content_preference_context,0.22791411001047135,-0.006807041479040449
overall_with_promotion,LightGBM,10,diff_between_w2_w1,usage_retention_behavior,0.2240659947434348,0.002801026552877907
overall_without_promotion,LightGBM,1,retention_w2_ratio,usage_retention_behavior,0.38907084739909514,0.025222076541825306
overall_without_promotion,LightGBM,2,retention_w3_ratio,usage_retention_behavior,0.353880507324319,0.021832182405431704
overall_without_promotion,LightGBM,3,watch_time_min_w3,usage_retention_behavior,0.3532654354680483,-0.026139839657077862
overall_without_promotion,LightGBM,4,drama_ratio,content_preference_context,0.32484649630387974,0.017164705659266335
overall_without_promotion,LightGBM,5,family_animation_ratio,content_preference_context,0.29554662554446787,0.004529289417597436
overall_without_promotion,LightGBM,6,romance_ratio,content_preference_context,0.2798755932499344,0.019459464131341746
overall_without_promotion,LightGBM,7,thriller_crime_ratio,content_preference_context,0.27209749292850866,0.0008830735853076943
overall_without_promotion,LightGBM,8,action_adventure_ratio,content_preference_context,0.23989510283878968,-0.009414708798546534
overall_without_promotion,LightGBM,9,is_cold_start_3d_fixed,usage_retention_behavior,0.22349380723748855,-0.029975851319900427
overall_without_promotion,LightGBM,10,max_watch_time_min,usage_retention_behavior,0.19447316128831146,0.010959206600850625
promotion_only,LightGBM,1,retention_w2_ratio,usage_retention_behavior,0.4674059416936641,0.010202869567322683
promotion_only,LightGBM,2,watch_time_min_w3,usage_retention_behavior,0.3698949061202878,-0.02556864016517233
promotion_only,LightGBM,3,retention_w3_ratio,usage_retention_behavior,0.36629075739999956,0.0221465803646277
promotion_only,LightGBM,4,drama_ratio,content_preference_context,0.3305725573730902,0.01773864941486369
promotion_only,LightGBM,5,romance_ratio,content_preference_context,0.30850951041887614,0.006990211052145485
promotion_only,LightGBM,6,family_animation_ratio,content_preference_context,0.3078454736686964,0.003999927189351427
promotion_only,LightGBM,7,thriller_crime_ratio,content_preference_context,0.28421184072357475,-0.005192494247316695
promotion_only,LightGBM,8,is_cold_start_3d_fixed,usage_retention_behavior,0.26317438831785966,-0.030298068050635216
promotion_only,LightGBM,9,action_adventure_ratio,content_preference_context,0.23944130806869754,-0.010868280299508048
promotion_only,LightGBM,10,is_basic,membership_context,0.20394017169042242,0.002331764566203844
nonpromotion_only,CatBoost,1,retention_w3_ratio,usage_retention_behavior,0.36864484973268224,0.016680460814979765
nonpromotion_only,CatBoost,2,drama_ratio,content_preference_context,0.3584823278945882,-0.00505684840929061
nonpromotion_only,CatBoost,3,retention_w2_ratio,usage_retention_behavior,0.32727609281392206,-0.007504219869254912
nonpromotion_only,CatBoost,4,family_animation_ratio,content_preference_context,0.30502791646872346,-0.006495246824534601
nonpromotion_only,CatBoost,5,romance_ratio,content_preference_context,0.24757823477046814,0.003056502289735421
nonpromotion_only,CatBoost,6,thriller_crime_ratio,content_preference_context,0.24506949728607283,0.00021103752853030762
nonpromotion_only,CatBoost,7,diff_between_w3_w2,usage_retention_behavior,0.21490801666858833,-0.0032958571617365024
nonpromotion_only,CatBoost,8,median_watch_time_min,usage_retention_behavior,0.20940168933899186,0.003074512063312363
nonpromotion_only,CatBoost,9,action_adventure_ratio,content_preference_context,0.20503762904270084,0.0003983730806562025
nonpromotion_only,CatBoost,10,diff_between_w3_w1,usage_retention_behavior,0.19341218518184197,-0.0014792422710513864
