original_relative_path,new_relative_path,model_family,artifact_type,evidence_used,action_taken,executed_during_move,notes
notebooks/01_catboost_promo0.ipynb,notebooks/99_model_selections/catboost/01_catboost_promo0.ipynb,catboost,notebook,CatBoost evidence found in notebook text; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/01_catboost_promo0_conservative.ipynb,notebooks/99_model_selections/catboost/01_catboost_promo0_conservative.ipynb,catboost,notebook,CatBoostClassifier conservative evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/02_catboost_promo1.ipynb,notebooks/99_model_selections/catboost/02_catboost_promo1.ipynb,catboost,notebook,CatBoost evidence found in notebook text; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/02_catboost_promo1_conservative.ipynb,notebooks/99_model_selections/catboost/02_catboost_promo1_conservative.ipynb,catboost,notebook,CatBoostClassifier conservative evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/03_svm_promo0.ipynb,notebooks/99_model_selections/svm/03_svm_promo0.ipynb,svm,notebook,SVC/SVM evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/04_svm_promo1.ipynb,notebooks/99_model_selections/svm/04_svm_promo1.ipynb,svm,notebook,SVC/SVM evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/05_rf_promo0.ipynb,notebooks/99_model_selections/random_forest/05_rf_promo0.ipynb,random_forest,notebook,RandomForest model notebook by inspected model evidence and filename; final_result/trials_all pattern present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/06_rf_promo1.ipynb,notebooks/99_model_selections/random_forest/06_rf_promo1.ipynb,random_forest,notebook,RandomForest model notebook by inspected model evidence and filename; final_result/trials_all pattern present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/07_lr_promo0.ipynb,notebooks/99_model_selections/logistic_regression/07_lr_promo0.ipynb,logistic_regression,notebook,LogisticRegression evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/08_lr_promo1.ipynb,notebooks/99_model_selections/logistic_regression/08_lr_promo1.ipynb,logistic_regression,notebook,LogisticRegression evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/09_gradientboosting_promo0.ipynb,notebooks/99_model_selections/gradient_boosting/09_gradientboosting_promo0.ipynb,gradient_boosting,notebook,GradientBoostingClassifier evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/10_gradientboosting_promo1.ipynb,notebooks/99_model_selections/gradient_boosting/10_gradientboosting_promo1.ipynb,gradient_boosting,notebook,GradientBoostingClassifier evidence found; Optuna/final_result/trials_all present,moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/_archive/misnumbered_06_model_notebooks_260520/06_gb_promo0.ipynb,notebooks/99_model_selections/gradient_boosting/06_gb_promo0.ipynb,gradient_boosting,notebook,"Archived misnumbered 06 notebook contains GradientBoostingClassifier, Optuna, final_result/trials_all",moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/_archive/misnumbered_06_model_notebooks_260520/06_gb_promo1.ipynb,notebooks/99_model_selections/gradient_boosting/06_gb_promo1.ipynb,gradient_boosting,notebook,"Archived misnumbered 06 notebook contains GradientBoostingClassifier, Optuna, final_result/trials_all",moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/_archive/misnumbered_06_model_notebooks_260520/06_lr_promo0.ipynb,notebooks/99_model_selections/logistic_regression/06_lr_promo0.ipynb,logistic_regression,notebook,"Archived misnumbered 06 notebook contains LogisticRegression, Optuna, final_result/trials_all",moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
notebooks/_archive/misnumbered_06_model_notebooks_260520/06_lr_promo1.ipynb,notebooks/99_model_selections/logistic_regression/06_lr_promo1.ipynb,logistic_regression,notebook,"Archived misnumbered 06 notebook contains LogisticRegression, Optuna, final_result/trials_all",moved,FALSE,Moved under 99_model_selections by model family. Notebook was not executed.
