zip_file,internal_path,file_name,size_bytes,expected_in_zip,present,notes
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_log_retention_input_inventory.csv,06z_log_retention_input_inventory.csv,449,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_log_retention_input_profile.csv,06z_log_retention_input_profile.csv,709,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_log_retention_only_input_validation.csv,06z_log_retention_only_input_validation.csv,866,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_log_retention_only_feature_manifest.csv,06z_log_retention_only_feature_manifest.csv,10400,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_logretention_only_notebook_static_checks.csv,06z_logretention_only_notebook_static_checks.csv,1634,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_logretention_only_manual_execution_guide.md,06z_logretention_only_manual_execution_guide.md,2371,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_logretention_only_model_notebook_prep_memo.md,06z_logretention_only_model_notebook_prep_memo.md,2229,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_logretention_only_model_notebook_prep_final_checks.csv,06z_logretention_only_model_notebook_prep_final_checks.csv,4109,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/data/06z_model_input_promo_0_log_retention_only.csv,06z_model_input_promo_0_log_retention_only.csv,5993802,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/data/06z_model_input_promo_1_log_retention_only.csv,06z_model_input_promo_1_log_retention_only.csv,6397348,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/notebooks/06z_gb_promo0_logretention_only.ipynb,06z_gb_promo0_logretention_only.ipynb,10997,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/notebooks/06z_gb_promo1_logretention_only.ipynb,06z_gb_promo1_logretention_only.ipynb,10997,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/notebooks/06z_lr_promo0_logretention_only.ipynb,06z_lr_promo0_logretention_only.ipynb,10827,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/notebooks/06z_lr_promo1_logretention_only.ipynb,06z_lr_promo1_logretention_only.ipynb,10827,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/note_tail_PUBLIC_log_retention_only_model_notebook_prep_260520.md,note_tail_PUBLIC_log_retention_only_model_notebook_prep_260520.md,8127,True,True,
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/06z_logretention_only_notebook_prep_review_zip_inventory.csv,06z_logretention_only_notebook_prep_review_zip_inventory.csv,4193,True,True,inventory included in final zip
PUBLIC/zip/PUBLIC_log_retention_only_model_notebook_prep_260520_review_package.zip,PUBLIC/results/_06z_log_retention_only_model_notebook_prep_260520/prepare_log_retention_only_model_notebooks_260520.py,prepare_log_retention_only_model_notebooks_260520.py,49278,True,True,
