population,segment_flag,n,share,repurchase_rate,churn_rate,lift_vs_overall_churn_rate,avg_churn_risk_score,unstable_n_lt_100
holdout,seg_top_decile_high_churn_risk,478,0.10006280092108018,0.21548117154811716,0.7845188284518828,2.733513087902731,0.7755453639641167,N
holdout,seg_low_or_no_early_engagement,1655,0.34645174795897005,0.5758308157099697,0.4241691842900302,1.4779403306735772,0.4354741045640423,N
holdout,seg_late_heavy_week3_intensive,1196,0.25036633870630104,0.9214046822742475,0.07859531772575251,0.2738510815287526,0.07913307164040458,N
holdout,seg_delayed_start,1261,0.2639732049403391,0.7272006344171292,0.2727993655828707,0.9505197442665014,0.2524463029511335,N
holdout,seg_early_routine_stable,1013,0.21205777684739377,0.5301085883514314,0.4698914116485686,1.6372511111927153,0.4668092665401623,N
holdout,seg_week2_surge_users,1199,0.2509943479171028,0.8707256046705588,0.1292743953294412,0.450433104659913,0.13061942866962242,N
holdout,seg_genre_affinity_thriller_crime,1195,0.25015700230270044,0.6761506276150627,0.3238493723849372,1.1283942026862475,0.3024497200495237,N
holdout,seg_genre_affinity_animation_family,1179,0.24680761984509106,0.833757421543681,0.1662425784563189,0.5792420111494059,0.18781085171927842,N
holdout,seg_genre_affinity_drama,1196,0.25036633870630104,0.8018394648829431,0.19816053511705686,0.6904543225778124,0.19635828888573217,N
holdout,seg_genre_affinity_action_adventure,1195,0.25015700230270044,0.6912133891213389,0.3087866108786611,1.075910751398515,0.2933552108159409,N
holdout,seg_high_price_or_promotion_sensitive,3858,0.8076198450910613,0.6977708657335407,0.3022291342664593,1.0530624174988157,0.2929694468149264,N
full_descriptive,seg_top_decile_high_churn_risk,2394,0.1000292483182217,0.1558061821219716,0.8441938178780284,3.012388645187842,0.7765620831836763,N
full_descriptive,seg_low_or_no_early_engagement,7964,0.33276229473948105,0.5727021597187343,0.4272978402812657,1.524753125309607,0.4288154546471882,N
full_descriptive,seg_late_heavy_week3_intensive,6040,0.25237120294154514,0.9243377483443709,0.07566225165562913,0.2699902592625872,0.0783507496569825,N
full_descriptive,seg_delayed_start,6222,0.25997576567918773,0.7532947605271617,0.24670523947283832,0.8803334570304816,0.24452632043092717,N
full_descriptive,seg_early_routine_stable,5132,0.2144319558768228,0.5348791893998441,0.46512081060015587,1.6597191531375477,0.4630842676540198,N
full_descriptive,seg_week2_surge_users,6160,0.25738520035097984,0.8767857142857143,0.12321428571428572,0.4396731027284927,0.12878937946073335,N
full_descriptive,seg_genre_affinity_thriller_crime,5982,0.24994777086031839,0.6800401203610833,0.31995987963891676,1.1417324883551805,0.3054613048758091,N
full_descriptive,seg_genre_affinity_animation_family,5912,0.24702293903814818,0.831359945872801,0.16864005412719893,0.601768661909386,0.18118365059039007,N
full_descriptive,seg_genre_affinity_drama,6160,0.25738520035097984,0.8118506493506493,0.18814935064935065,0.6713848828225599,0.19072086050089462,N
full_descriptive,seg_genre_affinity_action_adventure,6258,0.26147996490201814,0.6963886225631192,0.30361137743688077,1.0833951239297552,0.2925334822594743,N
full_descriptive,seg_high_price_or_promotion_sensitive,19430,0.8118497472109639,0.7069480185280494,0.2930519814719506,1.0457153828191732,0.2888832064599153,N
