MOVIE_NUM,movie_title,ott_release_month,genre
3,그링고,202003,Comedy
5,국도극장,202005,Drama
5,국도극장,202005,Drama
6,맨인블랙2,201205,SF/Fantasy
9,손오공:색즉시공,201901,SF/Fantasy
11,앵그리버드더무비,201606,Animation/Family
11,앵그리버드더무비,201606,Animation/Family
12,백조공주:왕실결혼식,202008,Animation/Family
14,크레이지리치아시안,201811,Comedy
16,벌룬,202001,Drama
18,프리댄스,202001,Romance
22,철권:블러드벤젠스,201309,Animation/Family
23,연애의목적,201906,Romance
24,블랙클랜스맨,201811,Comedy
27,마법에걸린사랑,201202,Romance
31,전설의파이터,202006,Action/Adventure
33,영화로운나날,202001,SF/Fantasy
37,슈퍼에이트,201112,SF/Fantasy
39,얼굴없는보스:못다한이야기[감독판],202005,Thriller/Crime
40,그대이름은장미,201901,Comedy
42,천장지구(1990),201610,Action/Adventure
43,그남자그여자,201901,Drama
55,당갈,201901,Drama
57,디센던트,201505,Comedy
62,그렇게아버지가된다,201402,Animation/Family
66,무비43,202004,Comedy
73,한나,201111,Action/Adventure
73,한나,201111,Action/Adventure
76,엘리자베스(1998),201506,Historical/War
77,아메리칸허슬,201611,Thriller/Crime
84,애프터라이프,202009,Thriller/Crime
86,"동거,동락",201805,Romance
87,사랑에빠진여자,201703,Romance
91,사랑이눈뜰때,202009,Romance
93,데드돈다이,201908,Horror
94,상흔,201901,Animation/Family
97,백투더퓨쳐3,201506,SF/Fantasy
99,북두의신,202102,Action/Adventure
103,취화선(2002),202011,Historical/War
104,U311,202012,Historical/War
105,미드나잇선(2018),201807,Romance
114,레고배트맨:더무비(2013),201504,Animation/Family
116,미니언즈,201701,Animation/Family
116,미니언즈,201701,Animation/Family
120,로그시티,202102,Thriller/Crime
121,블러드샷,202005,SF/Fantasy
128,"지금,만나러갑니다",201304,Romance
128,"지금,만나러갑니다",201304,Romance
129,더로드(2009),202002,Documentary
129,더로드(2009),202002,Documentary
129,더로드(2009),202002,Documentary
130,어쌔신:더비기닝,201712,Action/Adventure
133,1987,201802,Drama
135,에일리언어브덕션(2014),201804,Horror
139,스파이브릿지,201602,Drama
141,액슬,201811,Action/Adventure
147,아이.티.,202003,Thriller/Crime
148,러시:더라이벌,201612,Drama
150,복수(1970),201504,Horror
151,나홀로집에,201511,Other
152,금발이너무해2(2003),201908,Comedy
154,각설탕,201904,Drama
160,도망친여자,202010,Drama
161,우리들,201701,Comedy
164,관종,201803,Thriller/Crime
165,우리집멍멍이진진과아키다,202003,Animation/Family
166,리젠드,202006,Drama
169,궁합,201803,Historical/War
172,파인더스키퍼스,201912,Documentary
176,서울역,201609,Animation/Family
177,찌라시:위험한소문,201403,Thriller/Crime
180,0.0mhz,201906,Horror
181,컨뎀드(2007),202003,Action/Adventure
190,저산너머,202006,Drama
191,멋진인생,201307,Other
192,올더머니,201803,Thriller/Crime
197,귀경출사,201709,Thriller/Crime
198,드럼라인,201905,Romance
203,7년:그들이없는언론,201702,Documentary
205,우먼인할리우드,201911,Documentary
210,청춘연애,201705,Romance
216,홈프론트-하드액션,202001,Thriller/Crime
218,캠퍼스레전드(1998),202003,Horror
220,오르가즘다이어리:브릴리언트러브,201312,Romance
221,아자미의모든것,202012,Romance
225,셜록홈즈:그림자게임,201504,Thriller/Crime
232,제멋대로떨고있어,202001,Romance
237,어바웃타임,201612,Romance
239,9월의사랑과만날때까지,201909,SF/Fantasy
243,해피피트2,201504,Animation/Family
243,해피피트2,201504,Animation/Family
251,선물,201310,SF/Fantasy
251,선물,201310,SF/Fantasy
255,매직마이크,201612,Comedy
260,사라진시간(2019)[별도편성][예고편],202102,Thriller/Crime
262,레이니데이인뉴욕,202005,Romance
264,잉글리쉬페이션트,201403,Historical/War
265,더뉴로맨틱,201901,Comedy
269,독고리와인드(2018)[상],201810,Drama
272,리노,201903,Animation/Family
275,콩:스컬아일랜드,201704,SF/Fantasy
276,스틸라이프,202003,Drama
280,트립투하코네,201810,Drama
281,버니드롭(2011),202012,Comedy
282,북오브헨리,201805,Drama
285,프라이빗워,202006,Historical/War
289,작전명덩케르크,201808,Historical/War
290,홈프론트-가족을지켜라,201910,Drama
295,비행,202004,Animation/Family
296,천년여우구미호,202012,Romance
300,우리는같은꿈을꾼다,201712,Drama
301,인투더와일드(2007),201910,Action/Adventure
303,연가시,201906,Horror
305,언디스퓨티드:1대100의혈투,201912,Action/Adventure
309,호날두:세상은그의발아래에,201611,Documentary
313,살인의뢰,201701,Thriller/Crime
313,살인의뢰,201701,Thriller/Crime
316,소녀검객아즈미대혈전(2003),201905,Action/Adventure
324,나를찾아줘,201504,Thriller/Crime
324,나를찾아줘,201504,Thriller/Crime
325,엄마의레시피,201806,Drama
326,버레스크,201411,Romance
331,레이디수잔,201612,Romance
333,세상의끝에서커피한잔,201511,Drama
339,밤의해변에서혼자,201704,Drama
341,김복동,201909,Documentary
344,용의자X,201906,Thriller/Crime
345,담쟁이,202011,Animation/Family
349,댄싱퀸,201906,Comedy
350,스톰둠스데이,201410,SF/Fantasy
356,아파트(2006),201807,Animation/Family
362,레고닌자고무비,201710,Animation/Family
362,레고닌자고무비,201710,Animation/Family
364,마파도,201305,Comedy
375,라따뚜이,201405,Animation/Family
375,라따뚜이,201405,Animation/Family
377,이다,202103,Drama
383,12피트,201811,Thriller/Crime
385,체게바라:1부아르헨티나,201906,Historical/War
387,미스터캣,201612,Comedy
388,"소년,소녀를만나다(2016)",201905,Drama
388,"소년,소녀를만나다(2016)",201905,Drama
397,오션월드[2D],201403,Documentary
403,사탄의인형2,201506,Horror
411,더허니문,202102,Horror
417,헤어드레서,201210,Comedy
418,히트맨2017,201708,Thriller/Crime
420,허리케인하이스트,201804,Thriller/Crime
425,아이엠히어,201611,Comedy
426,폴리스스토리2-구룡의눈,202004,Thriller/Crime
428,서유기2:선리기연,201205,Comedy
429,나랏말싸미,201908,Historical/War
431,식스센스,201703,Horror
434,퀵,201205,Comedy
440,애피소드,201507,Romance
443,용형호제2(1991),201807,Thriller/Crime
445,선물(2019),201910,SF/Fantasy
445,선물(2019),201910,SF/Fantasy
446,정글(2018),201806,Drama
446,정글(2018),201806,Drama
446,정글(2018),201806,Drama
447,마피아Inc,202103,Thriller/Crime
448,튤립피버,201801,Romance
452,모탈어페어,201706,Thriller/Crime
453,아틀란틱림,201410,SF/Fantasy
454,라스트솔져스:최후의결전,201810,Historical/War
458,아이,202103,Action/Adventure
462,페르디난드,201802,Action/Adventure
462,페르디난드,201802,Action/Adventure
465,스머프:비밀의숲,201706,Animation/Family
465,스머프:비밀의숲,201706,Animation/Family
466,이스턴프라미스[리마스터링],201605,Thriller/Crime
468,바람[감독판],202011,Drama
469,할힌골전투:일본군최후의날,202010,Historical/War
472,천재강아지미스터피바디,201511,Animation/Family
473,순수의시대(2014),201503,Historical/War
473,순수의시대(2014),201503,Historical/War
475,도굴꾼,202101,SF/Fantasy
478,종횡사해(1991),202004,Thriller/Crime
479,데드풀2:순한맛,201901,Action/Adventure
482,뉴뮤턴트,202011,Horror
490,아메리카뮤직&와일드,201905,Documentary
505,원브레스,202005,Other
511,강철비,201801,Drama
516,워킹데드나잇,201808,Horror
517,역린,201405,Historical/War
520,런던해즈폴른,201701,Thriller/Crime
522,리벤지라이드,202007,Thriller/Crime
525,토네이도걸,201904,Comedy
530,엑스우먼,201702,SF/Fantasy
534,대니쉬걸,201603,Drama
536,굿모닝프레지던트,201904,Comedy
544,일론머스크:리얼아이언맨,202102,Documentary
549,유괴(2017),201809,Drama
552,국가대표,201907,Comedy
554,루시드드림,201703,SF/Fantasy
556,마이에그보이,201805,Romance
559,배트맨대슈퍼맨:저스티스의시작,201801,SF/Fantasy
561,나를찾아줘(2019),201912,Thriller/Crime
561,나를찾아줘(2019),201912,Thriller/Crime
564,오만과편견(2005),201701,Romance
565,조선명탐정:사라진놉의딸,201504,Historical/War
568,유로파리포트,201612,SF/Fantasy
570,피도눈물도없이,201303,Drama
572,프리스테이트,201802,Historical/War
574,내가살인범이다,201301,Action/Adventure
575,플래툰,201801,Historical/War
578,그날의분위기,201602,Romance
579,담보,202010,Drama
581,스타워즈2:클론의습격,201701,SF/Fantasy
594,홀로코스트,201507,Historical/War
594,홀로코스트,201507,Historical/War
596,사도,201511,Drama
