membership_row_id,case_type,rank,feature,feature_family,feature_value,global_importance_rank_basis,local_contribution_status
3488,high_churn_risk_true_N,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,2,w1_3_w2_minus_w1_watch_time,usage,2.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,3,w1_3_week1_ratio,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,4,w1_3_first_watch_rel_day,usage,12.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,5,w1_3_genre_ratio_thriller_crime,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
3488,high_churn_risk_true_N,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,2,w1_3_w2_minus_w1_watch_time,usage,-21.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,3,w1_3_week1_ratio,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,4,w1_3_first_watch_rel_day,usage,5.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,5,w1_3_genre_ratio_thriller_crime,genre,1.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
11369,high_churn_risk_true_N,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,2,w1_3_w2_minus_w1_watch_time,usage,-65.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,3,w1_3_week1_ratio,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,4,w1_3_first_watch_rel_day,usage,5.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,5,w1_3_genre_ratio_thriller_crime,genre,1.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
1778,high_churn_risk_true_N,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,2,w1_3_w2_minus_w1_watch_time,usage,-13.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,3,w1_3_week1_ratio,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,4,w1_3_first_watch_rel_day,usage,4.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,5,w1_3_genre_ratio_thriller_crime,genre,1.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
5455,high_churn_risk_false_positive,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,2,w1_3_w2_minus_w1_watch_time,usage,-10.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,3,w1_3_week1_ratio,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,4,w1_3_first_watch_rel_day,usage,6.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,5,w1_3_genre_ratio_thriller_crime,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
5176,high_churn_risk_false_positive,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,2,w1_3_w2_minus_w1_watch_time,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,3,w1_3_week1_ratio,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,4,w1_3_first_watch_rel_day,usage,12.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,5,w1_3_genre_ratio_thriller_crime,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
1413,high_churn_risk_false_positive,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
