feature,mean_abs_shap,mean_shap
retention_w2_ratio,0.42466599604384353,0.022233356457678568
watch_time(min)_w3,0.4106174057709049,-0.01553931217634963
is_promotion,0.36556148570129265,-0.006265950907974035
retention_w3_ratio,0.35331073381161954,0.027816004003306697
family_animation_ratio,0.3276466505234989,-0.0037231448909588747
drama_ratio,0.31942600334980076,-0.008050201260046425
romance_ratio,0.29188828644858517,0.008566377437918016
is_cold_start_3d,0.2665510649931323,-0.00941062090865888
thriller_crime_ratio,0.2428163754941601,-0.0053426154079917855
diff_between_w2_w1,0.2189400169411141,-0.012583284071944149
action_adventure_ratio,0.1963694394391593,0.0075936833098618995
diff_between_w3_w2,0.18089919000682392,-0.0036232353020731055
median_watch_time(min),0.15883473984137073,-0.0027705885127135726
max_watch_time(min),0.11910775484211687,0.006493589729724881
watch_session_w3,0.10345081059576808,0.0028805233771609564
is_standard,0.10092476641253896,0.001234327271999525
max_day_share,0.1006766019470075,0.007011397001793362
genre_diversity_count,0.09995751539074887,-0.002137051050901497
is_churn_prevented,0.09871531153807757,-0.005672028997556141
watch_time(min)_w1,0.0798489508350285,-0.021742323543018215
diff_between_w3_w1,0.07583184897137535,-0.00853594255315953
is_premium,0.07517722271351224,-0.002568893415002674
std_watch_time(min),0.06506486455720605,-0.010658423623195423
age,0.06405668873073636,0.005386247421958691
horror_ratio,0.05331477700755437,0.000804902229998115
historical_war_ratio,0.04769535513975031,-0.0006344918349644199
avg_ott_release_year,0.04193662918573604,-0.003801331768968673
avg_watch_time(min),0.04088342350568021,0.001980832572857454
is_only_w1,0.04033658024598111,0.013165157026424375
other_ratio,0.03961494044701948,-0.0010337144236724684
recency,0.03718945118662905,-0.006719040539627447
avg_rewatch_ratio,0.03623217579755316,0.0028806765262532224
sf_fantasy_ratio,0.03478649725634321,0.00041634101366167105
weekend_watch_ratio,0.03400879534718288,0.0005003850255491935
comedy_ratio,0.032848058593213554,-0.0010703904739182762
new_movie_in_90d_ratio,0.02753707026531951,-0.0011536166637221778
max_inactive_gap_days,0.026877881490496927,4.550679707217073e-05
avg_gap_between_watch_days,0.02600878403437144,0.0012806894252936445
movie_per_active_day,0.025143454287851086,0.0019152400872205035
new_movie_in_180d_ratio,0.0247383931400964,-0.0027972831191991634
unique_movie,0.024644820686425067,0.006377225228163535
reg_hour,0.02429044817279413,-0.0009464190318741687
total_watch_time(min),0.02420721255972161,0.0015913468396903348
watch_time(min)_w2,0.023007112325102975,0.0013205210190968808
watch_ratio_under_1m,0.022549961899909945,0.0015248403133910867
watch_days,0.021948449988428674,-0.0024490580988575437
watch_session_w2,0.021170994827213175,-0.003260251550211473
max_daily_watch_time(min),0.021017718119404387,0.0012056408458172244
avg_daily_watch_time(min),0.02028334082511531,0.0028574764082217167
avg_gap_w3_watch_days,0.01914856453995783,-0.0007903990927319243
age_group,0.018413832357885716,0.0018815940832842696
watch_per_day,0.018312278084440366,-0.0021603396501939007
is_female,0.018116388633131458,-0.00016882010736407482
old_movie_ratio(5y),0.014592419167962145,0.0006911851398960088
watch_session_w1,0.011983136152641913,0.0035612432966289354
payment_is_android,0.011804911986505504,0.00018229586709148478
watch_ratio_under_5m,0.011776453200458666,-0.0013090142870170161
total_watch_count,0.011488357774211951,0.001404036675105943
payment_is_ios,0.011411032198547116,-0.0019033308926209116
new_movie_in_365d_ratio,0.009685992095922417,0.0022628210042202382
is_w1_over_50pct,0.009425246816953869,3.136851695133908e-05
is_w2_over_50pct,0.009136742633367915,-0.0006817277870722987
reg_is_weekend,0.008516905046620227,0.00011926663834570378
avg_gap_w1_watch_days,0.00837084996123767,0.0007555167118911992
avg_gap_w2_watch_days,0.0068042749964551015,-0.0006089877970093363
payment_is_pc,0.006574275442955263,0.00019634866554469585
is_male,0.006247032924055278,0.0002289492711705565
documentary_ratio,0.005967178947251611,0.00024395489724848303
is_user_verified,0.005340205010528036,0.0002569589987627805
reg_hour_morning,0.005025699611325776,-0.00028095945898971484
reg_hour_evening,0.004346615055443052,-7.119409346266156e-05
day_count_over_3times,0.0038709313034063536,0.0003503500664961036
is_cold_start_7d,0.003815682862743497,-0.001225079942961133
active_ratio,0.0037950842836566604,0.0003340545618041915
reg_hour_afternoon,0.003677056435559977,-0.00021584437725527173
max_daily_sessions,0.003044926501461017,0.00017854027393394333
payment_is_mobile,0.0029895266942259404,-9.170907475039828e-05
is_w3_over_50pct,0.001933511347977267,0.0002309712772407938
reg_hour_night,0.0018247141600370557,2.604126945140988e-05
is_only_w2,0.0001536902973151873,-3.7483080402555355e-05
is_only_w3,0.0,0.0
