feature,lgbm_importance_gain,lgbm_importance_split
watch_time(min)_w3,36254.27140235901,272
retention_w2_ratio,15574.07845711708,656
diff_between_w2_w1,15123.36461353302,402
drama_ratio,11784.69104206562,481
thriller_crime_ratio,11012.145822286606,540
family_animation_ratio,10899.559027552605,393
retention_w3_ratio,10356.46906375885,517
action_adventure_ratio,9160.838660597801,500
romance_ratio,9104.182989120483,372
watch_session_w3,9000.794987678528,115
diff_between_w3_w2,8609.464810848236,368
max_day_share,6863.496978759766,362
is_promotion,6386.154086232185,265
median_watch_time(min),5463.967523694038,503
diff_between_w3_w1,4969.136435270309,379
is_cold_start_3d,4452.259698629379,207
max_watch_time(min),3675.643982768059,358
horror_ratio,3401.6173095703125,246
avg_watch_time(min),3287.2681708335876,361
total_watch_time(min),2972.185846686363,295
watch_time(min)_w2,2935.805062532425,197
watch_time(min)_w1,2919.488429546356,254
std_watch_time(min),2572.4109604358673,382
avg_ott_release_year,2508.1962040662766,376
max_daily_watch_time(min),2492.137384414673,301
sf_fantasy_ratio,2453.4101107120514,242
age,2399.951347589493,231
is_only_w1,2353.9575300216675,22
genre_diversity_count,2194.344030380249,203
weekend_watch_ratio,2030.3655948638916,290
recency,2003.1461963653564,273
reg_hour,1977.6053267717361,320
avg_daily_watch_time(min),1977.520990371704,262
avg_rewatch_ratio,1919.4728064537048,236
movie_per_active_day,1845.9348239898682,234
watch_ratio_under_1m,1785.7314820289612,178
is_churn_prevented,1702.6371893882751,132
avg_gap_between_watch_days,1580.8206241130829,213
historical_war_ratio,1563.9716637134552,202
comedy_ratio,1549.23854970932,207
other_ratio,1452.3463163375854,128
watch_per_day,1377.8774778842926,210
watch_ratio_under_5m,1358.0004972219467,160
max_inactive_gap_days,1309.3234453201294,142
old_movie_ratio(5y),1105.646539926529,156
is_standard,1011.9696006774902,109
new_movie_in_180d_ratio,985.9292376041412,134
new_movie_in_90d_ratio,942.382789850235,113
total_watch_count,909.9375710487366,87
is_premium,866.9700990915298,95
new_movie_in_365d_ratio,833.2729496955872,118
watch_days,783.7229232788086,85
unique_movie,770.7242076396942,96
avg_gap_w1_watch_days,711.8458671569824,115
watch_session_w1,601.4907484054565,78
watch_session_w2,580.2501492500305,72
avg_gap_w3_watch_days,576.8148102760315,68
age_group,531.2666306495667,39
avg_gap_w2_watch_days,420.1133213043213,59
is_w1_over_50pct,362.980028629303,17
payment_is_android,352.1944317817688,55
is_w2_over_50pct,324.7403447628021,14
payment_is_ios,319.4832305908203,45
documentary_ratio,308.70543909072876,47
max_daily_sessions,300.030549287796,43
is_female,281.8174523115158,52
reg_hour_morning,230.73311734199524,36
is_male,221.89425039291382,39
payment_is_pc,217.5658893585205,37
reg_is_weekend,204.16038012504578,42
is_user_verified,197.3613121509552,26
reg_hour_afternoon,196.5532500743866,32
payment_is_mobile,149.68341994285583,27
active_ratio,124.22349977493286,20
reg_hour_evening,109.73849964141846,19
day_count_over_3times,104.84166932106018,15
is_cold_start_7d,91.51358890533447,11
reg_hour_night,42.739359855651855,6
is_w3_over_50pct,34.80125093460083,4
is_only_w2,10.764150142669678,2
is_only_w3,0.0,0
