MOVIE_NUM,movie_title,ott_release_month,title_key_norm,metadata_source,metadata_quality,use_for_content_features,source_wavve_flag,source_kobis_flag,source_movie5171_flag,used_movie5171_auxiliary_flag,primary_metadata_covered_flag,metadata_covered_flag,wavve_match_count,kobis_match_count,movie5171_match_count,wavve_movieids,kobis_movie_codes,movie5171_titles,wavve_titles,kobis_titles,kobis_titles_en,kobis_type_names,kobis_selected_movie_code,kobis_selected_title,kobis_selected_title_en,kobis_selected_type,kobis_selected_directors,kobis_selected_actors,title_year_hint,kobis_title_similarity,kobis_year_diff_min,kobis_year_match_flag,kobis_low_confidence_reasons,wavve_genre_raw,kobis_genre_raw,kobis_selected_genre_raw,movie5171_genre_raw,unified_genres,wavve_tags_raw,wavve_country_raw,kobis_country_raw,kobis_selected_country_raw,movie5171_country_raw,unified_countries,wavve_age_rating_norm,kobis_age_rating_norm,kobis_selected_age_rating_norm,unified_age_rating,wavve_runtime_min,kobis_runtime_min,kobis_selected_runtime_min,movie5171_runtime_min,unified_runtime_min,wavve_release_year,kobis_release_year,kobis_open_year,kobis_selected_release_year,kobis_selected_open_year,unified_release_year,is_kids_animation,is_family_content,is_adult_content,is_korean_content,is_us_content,is_japanese_content,is_recent_content,is_old_content,is_long_movie,is_short_content
0,걸어서하늘까지(1992),202103,걸어서하늘까지(1992),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1992,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
1,너와극장에서,201807,너와극장에서,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2,가려진시간[가치봄],202010,가려진시간가치봄,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
3,그링고,202003,그링고,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CL01_JY0000012958,,그링고,그링고,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,드라마|액션|코미디,,,코미디|액션|범죄|드라마|유럽에서 제작,드라마|액션|코미디,드라마|액션|코미디,호주|미국,,,미국|호주,호주|미국,15세,,,15세,111.0,,,111.0,111.0,2020,,,,,2020,0,0,0,0,1,0,1,0,0,0
4,스위치(2010),202010,스위치(2010),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2010,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,국도극장,202005,국도극장,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,2.0,,1.0,MV_C901_SG0000135410|MV_C901_SG0000128977,,국도극장,[감독판] 국도극장|국도극장,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,드라마,,,드라마,드라마,드라마,대한민국,,,대한민국,한국,12세,,,12세,97.5,,,106.0,97.5,2020,,,,,2020,0,1,0,1,0,0,1,0,0,0
6,맨인블랙2,201205,맨인블랙2,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CF01_SY0000011241,,맨인블랙2,맨 인 블랙 2,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,SF|판타지|코미디|액션,,,SF|액션|코미디,액션|코미디|SF/판타지,SF|코미디|액션,미국,,,미국,미국,12세,,,12세,88.2,,,88.0,88.2,2002,,,,,2002,0,1,0,0,1,0,0,1,0,0
8,곤조는못말려,201612,곤조는못말려,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
9,손오공:색즉시공,201901,손오공색즉시공,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CT01_MBC000012620,,손오공:색즉시공,손오공: 색즉시공,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,액션|SF|판타지,,,코미디|로맨스|드라마,액션|SF/판타지,액션|판타지,중국,,,대한민국,중국,15세,,,15세,100.0,,,96.0,100.0,2019,,,,,2019,0,0,0,0,0,0,1,0,0,0
10,13이어리,201501,13이어리,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
11,앵그리버드더무비,201606,앵그리버드더무비,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,2.0,,1.0,MV_CF01_SY0000011456|MV_CF01_SY0000011457,,앵그리버드더무비,(더빙) 앵그리버드 더 무비|(자막) 앵그리버드 더 무비,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,액션|애니메이션,,,액션|코미디|가족|애니메이션|유럽에서 제작,액션|애니메이션/키즈,액션|애니메이션,미국,,,미국|핀란드,미국,전체,,,전체,97.3,,,97.0,97.3,2016,,,,,2016,1,1,0,0,1,0,0,0,0,0
12,백조공주:왕실결혼식,202008,백조공주왕실결혼식,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CF01_SY0000011623,,백조공주:왕실결혼식,백조 공주: 왕실 결혼식,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,가족|애니메이션,,,판타지|애니메이션|가족|코미디|로맨스,애니메이션/키즈|가족,가족|애니메이션,미국,,,미국,미국,전체,,,전체,82.4,,,83.0,82.4,2020,,,,,2020,1,1,0,0,1,0,1,0,0,0
13,"좀비들의도시,베가스",201407,좀비들의도시베가스,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
14,크레이지리치아시안,201811,크레이지리치아시안,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CD01_WR0000011558,,크레이지리치아시안,크레이지 리치 아시안,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,로맨스|코미디,,,코미디|드라마|로맨스,코미디|로맨스,로맨스|코미디,미국,,,홍콩|미국,미국,12세,,,12세,120.5,,,120.0,120.5,2018,,,,,2018,0,1,0,0,1,0,1,0,1,0
15,신정무문2-뇌전영웅,201301,신정무문2뇌전영웅,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
16,벌룬,202001,벌룬,movie5171,M_movie5171_auxiliary_fallback,1,0,0,1,1,0,1,,,1.0,,,벌룬,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,드라마|역사|스릴러|유럽에서 제작,드라마|스릴러/범죄|기타,,,,,프랑스|독일,프랑스|독일,,,,,,,,125.0,125.0,,,,,,,0,0,0,0,0,0,0,0,1,0
17,뤽베송의마지막전투,201608,뤽베송의마지막전투,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
18,프리댄스,202001,프리댄스,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_C901_SG0000124895,,프리댄스,프리댄스,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,로맨스,,,음악|로맨스|드라마|유럽에서 제작,로맨스,로맨스,루마니아|미국,,,미국|루마니아,루마니아|미국,12세,,,12세,103.3,,,103.0,103.3,2018,,,,,2018,0,1,0,0,1,0,1,0,0,0
