model_role,window,model_name,feature_set,explanation_method,original_feature,feature_family,importance_mean_auc_drop,importance_std
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week3_watch_time,usage,0.06625750000000008,0.0052105145139419605
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_w2_minus_w1_watch_time,usage,0.026662300000000073,0.003628083262550646
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week1_ratio,usage,0.01717150000000005,0.0023829512794012317
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_first_watch_rel_day,usage,0.013690100000000083,0.0007354549204404388
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_thriller_crime,genre,0.01122770000000004,0.0009434060949559227
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_animation_family,genre,0.00965210000000003,0.001863446038928941
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_max_day_share,usage,0.008153200000000083,0.001410492453010661
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,price,membership,0.00697020000000006,0.0015669749391741497
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week2_ratio,usage,0.005987200000000059,0.00134933037466739
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_drama,genre,0.005124900000000076,0.0007691613874864301
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_last_watch_rel_day,usage,0.004902800000000029,0.001350159568347374
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_watch_time_animation_family,genre,0.004494700000000074,0.0006537109147015958
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_watch_time_romance,genre,0.003941600000000012,0.001492940903050094
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,max_screen,membership,0.0034914000000000334,0.0003607685407570769
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_top_genre,genre,0.0033939000000000608,0.00029018759449709757
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_drama,genre,0.0032217000000000382,0.0004742861583474096
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_avg_watch_time_per_session,usage,0.003220600000000062,0.0008415084907474293
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_action_adventure,genre,0.003174600000000094,0.0008597040420982704
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week3_ratio,usage,0.002744900000000006,0.00020978975189460506
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_romance,genre,0.002549100000000082,0.00020344591418847057
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_unique_count,genre,0.0023580000000000823,0.0004271797045740932
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_action_adventure,genre,0.0022434000000000507,0.0008437994666980896
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week2_watch_time,usage,0.0022079000000000846,0.0012114266548165717
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_w3_minus_w1_watch_time,usage,0.0017979000000000634,0.00024651235263165364
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_top_genre_watch_ratio,genre,0.0017291000000001055,0.0004837886315324122
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_active_span_days,usage,0.0017276999999999987,0.00039213347217492445
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_thriller_crime,genre,0.0015201000000000687,0.0006397354453209358
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_watch_time_drama,genre,0.0014738000000000806,0.0011236197577472484
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,is_user_verified,membership,0.0012339000000000544,0.0003871984504101177
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_horror,genre,0.0011938000000000226,0.00034150177159129533
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_max_daily_watch_time,usage,0.0009170000000000122,0.0014678215831633143
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_romance,genre,0.0008089000000000457,0.00017756503034100128
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_total_watch_time,usage,0.000799900000000009,0.0003642613622112594
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_horror,genre,0.0007989000000001134,0.00026455366185331526
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_watch_time_horror,genre,0.0007432000000000549,0.00014131581652452894
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_sf_fantasy,genre,0.0006019000000000218,0.00012126062840015484
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_session_count_animation_family,genre,0.0004901000000000711,0.00020423109459630752
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_sf_fantasy,genre,0.0004688000000000692,0.00022336732079694863
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,product_code,membership,0.000348000000000126,0.0002672887951261677
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week1_watch_time,usage,0.00031420000000006445,0.0002376393485935885
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_sessions_per_active_day,usage,0.00030080000000007876,7.711394167072397e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_old_content_watch_ratio,release_month,0.0002776000000000556,8.00858289586944e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_short_watch_time_le5,usage,0.00026500000000011513,0.00021377979324528417
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_week1_sessions,usage,0.0002235000000000431,6.240192304723506e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,membership_plus_usage_content_w1_3_without_churn_prevented,permutation_importance_fallback_not_shap,w1_3_genre_ratio_historical_war,genre,0.00021700000000006713,0.00014052900056570766
