model_role,window,model_name,original_feature,feature_family,mean_abs_shap_or_fallback_importance
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week3_watch_time,usage,0.06625750000000008
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_w2_minus_w1_watch_time,usage,0.026662300000000073
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_ratio,usage,0.01717150000000005
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_first_watch_rel_day,usage,0.013690100000000083
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_thriller_crime,genre,0.01122770000000004
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_animation_family,genre,0.00965210000000003
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_max_day_share,usage,0.008153200000000083
primary_conservative,w1_3,HistGradientBoostingClassifier,price,membership,0.00697020000000006
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week2_ratio,usage,0.005987200000000059
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_drama,genre,0.005124900000000076
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_last_watch_rel_day,usage,0.004902800000000029
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_animation_family,genre,0.004494700000000074
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_romance,genre,0.003941600000000012
primary_conservative,w1_3,HistGradientBoostingClassifier,max_screen,membership,0.0034914000000000334
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_top_genre,genre,0.0033939000000000608
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_drama,genre,0.0032217000000000382
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_avg_watch_time_per_session,usage,0.003220600000000062
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_action_adventure,genre,0.003174600000000094
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week3_ratio,usage,0.002744900000000006
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_romance,genre,0.002549100000000082
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_unique_count,genre,0.0023580000000000823
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_action_adventure,genre,0.0022434000000000507
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week2_watch_time,usage,0.0022079000000000846
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_w3_minus_w1_watch_time,usage,0.0017979000000000634
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_top_genre_watch_ratio,genre,0.0017291000000001055
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_active_span_days,usage,0.0017276999999999987
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_thriller_crime,genre,0.0015201000000000687
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_drama,genre,0.0014738000000000806
primary_conservative,w1_3,HistGradientBoostingClassifier,is_user_verified,membership,0.0012339000000000544
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_horror,genre,0.0011938000000000226
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_max_daily_watch_time,usage,0.0009170000000000122
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_romance,genre,0.0008089000000000457
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_total_watch_time,usage,0.000799900000000009
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_horror,genre,0.0007989000000001134
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_horror,genre,0.0007432000000000549
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_sf_fantasy,genre,0.0006019000000000218
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_animation_family,genre,0.0004901000000000711
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_sf_fantasy,genre,0.0004688000000000692
primary_conservative,w1_3,HistGradientBoostingClassifier,product_code,membership,0.000348000000000126
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_watch_time,usage,0.00031420000000006445
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_sessions_per_active_day,usage,0.00030080000000007876
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_old_content_watch_ratio,release_month,0.0002776000000000556
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_short_watch_time_le5,usage,0.00026500000000011513
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_sessions,usage,0.0002235000000000431
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_historical_war,genre,0.00021700000000006713
