column_name,dtype,missing_count,unique_count,feature_family,sub_family,original_role_if_known,likely_business_intent,team_feature_or_source_column,availability_at_day21,timing_risk,leakage_risk,target_proxy_risk,response_period_risk,llm_proposed_decision,reason,caution,evidence_source,final_decision_status,user_approval_required,in_conservative_22,content_context_caveat,plan
product_code,str,0,46,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
price,float64,0,32,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
billing_method,int64,0,9,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
max_screen,float64,0,3,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
payment_device,str,0,6,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
is_user_verified,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
gender,str,0,3,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
age,float64,0,12,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
reg_hour,int64,0,24,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
is_standard,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
is_premium,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
age_group,int64,0,7,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
is_female,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
