column_name,dtype,missing_count,unique_count,feature_family,sub_family,original_role_if_known,likely_business_intent,team_feature_or_source_column,availability_at_day21,timing_risk,leakage_risk,target_proxy_risk,response_period_risk,llm_proposed_decision,reason,caution,evidence_source,final_decision_status,user_approval_required,plan
avg_gap_w1_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
avg_gap_w2_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
avg_gap_w3_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_cold_start_3d,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_cold_start_7d,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
watch_time(min)_w1,int64,0,857,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
watch_time(min)_w2,int64,0,851,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
watch_time(min)_w3,int64,0,842,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
watch_session_w1,int64,0,36,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
watch_session_w2,int64,0,36,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
watch_session_w3,int64,0,37,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
