column_name,feature_family,llm_proposed_decision,reason,caution,final_decision_status,user_question,user_decision
product_code,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including product_code in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
price,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including price in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
billing_method,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including billing_method in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
max_screen,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including max_screen in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
is_churn_prevented,intervention_outcome,forbidden_or_audit_only,If current-cycle outcome: leakage. If historical: potentially safe. Confirm timing.,Must confirm historical vs current-cycle,pending_user_approval,Confirm handling of is_churn_prevented: If current-cycle outcome: leakage. If historical: potentially safe. Confirm timi,pending
payment_device,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including payment_device in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
is_user_verified,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including is_user_verified in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
gender,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including gender in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
age,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including age in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
reg_date,registration_metadata,forbidden_or_audit_only,"Raw date causes cohort collinearity; prefer derived features (reg_hour, reg_is_weekend)",Do not use raw reg_date as feature,pending_user_approval,"Confirm handling of reg_date: Raw date causes cohort collinearity; prefer derived features (reg_hour, reg_is_w",pending
