dataset_scope,model_name,conservative_oof_auc,expanded_oof_auc,delta_auc_expanded_minus_conservative,conservative_oof_ap,expanded_oof_ap,delta_ap,conservative_brier,expanded_brier,delta_brier,conservative_gap,expanded_gap,gap_change,interpretation
overall_without_promotion,LogisticRegression,0.7836008127591789,0.8471415603724948,0.06354074761331585,0.8939885649874934,0.9318456758244826,0.03785711083698928,0.1604715256927425,0.13936613579436483,-0.02110538989837768,0.0010783484465464177,0.003299936120475966,0.002221587673929548,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,HistGradientBoosting,0.811019484287569,0.8719516553234914,0.06093217103592241,0.9092491820276999,0.9448027846114638,0.035553602583763944,0.15057403220983068,0.12823691721599942,-0.02233711499383126,0.03780216493379274,0.04567005358594023,0.007867888652147492,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,RandomForest,0.8118014743081232,0.85429607035082,0.042494596042696786,0.9098274556581343,0.9361536111161973,0.02632615545806305,0.15043274866931824,0.13766531350330624,-0.012767435166012003,0.046478579659237185,0.05385648942988708,0.007377909770649893,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,GradientBoosting,0.8073688207874234,0.8626055396672015,0.0552367188797781,0.9084051457228242,0.9404369333566666,0.0320317876338424,0.152343899618345,0.13390101030146637,-0.018442889316878625,0.009931739334188006,0.012594855986354903,0.002663116652166897,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,ExtraTrees,0.8078207318044175,0.850214929414943,0.04239419761052554,0.9079401497045677,0.9336118013387004,0.025671651634132653,0.153028758426486,0.14074537845891696,-0.012283379967569036,0.030031048319387854,0.07893908170975428,0.04890803339036642,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,LightGBM,0.8122084808379524,0.8732836581727084,0.06107517733475598,0.9099253911066856,0.9453621470493045,0.03543675594261897,0.15022363653150325,0.1275939731586012,-0.022629663372902065,0.04014208839963662,0.04361709271223502,0.0034750043125983954,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,XGBoost,0.8069034495369598,0.862452277290922,0.05554882775396219,0.9081820126494247,0.9401812978320075,0.03199928518258288,0.15267425869757503,0.13399260328903956,-0.018681655408535475,0.007743809384691214,0.011710666121039881,0.003966856736348667,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_without_promotion,CatBoost,0.8075074051657329,0.8632427314692961,0.05573532630356315,0.9085569196498682,0.9406476835342126,0.0320907638843444,0.15226148848944235,0.13429884460588984,-0.01796264388355251,0.004574742928940445,0.00629267987965898,0.001717936950718535,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,LogisticRegression,0.7836008127591789,0.8511607805301848,0.06755996777100592,0.8939885649874934,0.9341945345151896,0.040205969527696284,0.1604715256927425,0.13797537722805236,-0.02249614846469014,0.0010783484465464177,0.0032761008502796285,0.002197752403733211,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,HistGradientBoosting,0.811019484287569,0.876570756460676,0.06555127217310697,0.9092491820276999,0.947263028980208,0.03801384695250809,0.15057403220983068,0.12633800049345342,-0.024236031716377254,0.03780216493379274,0.043871959804382965,0.006069794870590228,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,RandomForest,0.8118014743081232,0.857054269901842,0.04525279559371875,0.9098274556581343,0.9373229929166169,0.02749553725848264,0.15043274866931827,0.13687852140062104,-0.013554227268697233,0.046478579659237185,0.05326102846665959,0.006782448807422403,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,GradientBoosting,0.8073688207874234,0.8666566208040815,0.05928780001665801,0.9084051457228242,0.9426504493622495,0.03424530363942535,0.152343899618345,0.13267497262790973,-0.019668926990435265,0.009931739334188006,0.012619691414248124,0.0026879520800601187,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,ExtraTrees,0.8078207318044175,0.852669678721498,0.04484894691708052,0.9079401497045677,0.9353924932164579,0.027452343511890187,0.153028758426486,0.14033838239784865,-0.012690376028637346,0.030031048319387854,0.07829404786623462,0.04826299954684676,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,LightGBM,0.8122084808379524,0.877345643626692,0.0651371627887396,0.9099253911066856,0.9473214410344079,0.037396049927722275,0.15022363653150325,0.12587971149042212,-0.024343925041081127,0.04014208839963662,0.04240483782301985,0.0022627494233832257,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
