handoff_topic,redundancy_family,VIF_extreme_high_feature_count,logistic_coefficient_interpretation_caution,tree_feature_importance_SHAP_later_caution,feature_removal_performed,user_approval_required_for_future_feature_removal,notes
10x redundancy family,week_watch_level_change_ratio_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,expanded_full에서는 모두 보존한다. Logistic Regression의 개별 계수는 독립 효과로 해석하지 않는다. 11x에서는 level/change/ratio family 단위로 sensitivity 또는 interpretation grouping을 검토한다.
10x redundancy family,watch_time_session_pair_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,"watch time은 체류량, watch session은 방문 빈도이므로 의미가 다르다. 자동 제거하지 않는다. SHAP 및 feature importance 해석에서는 weekly usage family로 묶는다."
10x redundancy family,active_days_ratio_duplicate_like_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,expanded_full에서는 둘 다 보존한다. 11x redundancy-aware sensitivity에서 둘 중 하나만 사용하는 비교를 허용할 수 있다. 최종 제거는 사용자 승인 필요.
10x redundancy family,plan_onehot_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,expanded_full에서는 보존한다. Logistic Regression에서는 기준 범주 하나를 reference로 제외하는 sensitivity를 검토할 수 있다. Tree/boosting에서는 모두 사용 가능하나 해석 시 plan family로 묶는다.
10x redundancy family,registration_timeband_onehot_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,expanded_full에서는 보존한다. Logistic Regression에서는 기준 시간대 하나를 reference로 제외하는 sensitivity를 검토할 수 있다. Tree/boosting에서는 모두 사용 가능하나 해석 시 registration_time_family로 묶는다.
10x redundancy family,new_movie_nested_ratio_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,"90일, 180일, 365일은 서로 포함관계가 있으므로 상관이 높을 수 있다. expanded_full에서는 보존한다. SHAP에서는 new_movie_recency_family로 묶는다. sensitivity에서는 엄격한 최신성 대표와 넓은 최신성 대표를 비교할 수 있다."
10x redundancy family,genre_ratio_compositional_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,genre ratio는 비율형 compositional feature이므로 서로 독립적인 변수처럼 해석하면 안 된다. expanded_full에서는 보존한다. SHAP에서는 content_preference_family로 묶는다. Movie_Master 동일 MOVIE_NUM 다중 category caveat를 유지한다.
10x redundancy family,watch_summary_volume_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,"시청량, 시청 횟수, 고유 콘텐츠 수, 활동일수는 서로 관련된 volume/engagement summary다. expanded_full에서는 보존한다. 11x에서는 volume_summary_family로 묶어 해석한다."
10x redundancy family,gap_recency_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,최근성 및 gap feature는 같은 시간적 활동성을 다른 방식으로 요약한다. expanded_full에서는 보존한다. SHAP에서는 recency_gap_family로 묶어 해석한다.
10x redundancy family,payment_auth_default_demographic_artifact_family,51,Do not interpret individual LogisticRegression coefficients as independent effects under high VIF.,Tree importance and later SHAP should be interpreted by feature family or redundancy cluster where correlated.,False,True,"사용자 도메인 가설에 따르면 iOS App Store 경유 결제와 본인인증 미수행 계정에서 age_group=40, 성별 N, is_user_verified=0 같은 default-like demographic artifact가 발생할 수 있다. promotion 혜택 참여에는 본인인증과 프로모션 미사용 계정 조건이 필요할 수 있으므로, 이 변수들은 고객의 실제 인구통계 특성으로 직접 해석하지 않는다. expanded_full에서는 보존하되, 11x에서 scope별 민감도와 group proxy risk를 반드시 검토한다."
VIF bucket summary,all,51,Extreme/high VIF count limits coefficient interpretation.,High VIF is not a reason to exclude tree/boosting models.,False,True,"{""low"": 39, ""extreme"": 39, ""high"": 12, ""moderate"": 11}"
