feature_set_name,dataset_scope,model_name,score_type,decile,row_count,observed_repurchase_rate,observed_nonrepurchase_rate,mean_repurchase_score,mean_churn_risk
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,1,1118,0.2826475849731664,0.7173524150268337,0.3302022611717003,0.6697977388282996
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,2,1117,0.4637421665174575,0.5362578334825425,0.476453515954571,0.5235464840454289
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,3,1118,0.6788908765652951,0.3211091234347048,0.6409941733029632,0.3590058266970369
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,4,1117,0.7162041181736795,0.2837958818263205,0.7159025544297929,0.28409744557020705
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,5,1118,0.8023255813953488,0.19767441860465115,0.8131481750737519,0.18685182492624808
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,6,1117,0.8746642793196061,0.12533572068039392,0.872293905188999,0.12770609481100106
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,7,1117,0.900626678603402,0.09937332139659803,0.9103964546370876,0.08960354536291243
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,8,1118,0.9588550983899821,0.04114490161001789,0.9360942285437417,0.0639057714562583
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,9,1117,0.9668755595344674,0.03312444046553268,0.9570999457043331,0.042900054295666984
conservative_safe_22,nonpromotion_only,CatBoost,repurchase_score,10,1118,0.9794275491949911,0.020572450805008944,0.9773107086903912,0.022689291309608936
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,1,1118,0.9794275491949911,0.020572450805008944,0.9773107086903912,0.022689291309608936
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,2,1117,0.9668755595344674,0.03312444046553268,0.9570999457043331,0.042900054295666984
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,3,1118,0.9588550983899821,0.04114490161001789,0.9360942285437417,0.0639057714562583
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,4,1117,0.900626678603402,0.09937332139659803,0.9103964546370876,0.08960354536291243
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,5,1118,0.8747763864042933,0.1252236135957066,0.8722735346055782,0.12772646539442173
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,6,1117,0.8021486123545211,0.19785138764547897,0.8131156133746912,0.18688438662530887
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,7,1117,0.7162041181736795,0.2837958818263205,0.7159025544297929,0.28409744557020705
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,8,1118,0.6788908765652951,0.3211091234347048,0.6409941733029632,0.3590058266970369
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,9,1117,0.4637421665174575,0.5362578334825425,0.476453515954571,0.5235464840454289
conservative_safe_22,nonpromotion_only,CatBoost,churn_risk,10,1118,0.2826475849731664,0.7173524150268337,0.3302022611717003,0.6697977388282996
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,1,1118,0.3211091234347048,0.6788908765652951,0.35100787339771927,0.6489921266022807
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,2,1117,0.4315129811996419,0.5684870188003581,0.5286331272236864,0.4713668727763137
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,3,1118,0.6547406082289803,0.34525939177101966,0.6822003650614287,0.3177996349385714
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,4,1117,0.7439570277529096,0.25604297224709044,0.7441378305670864,0.25586216943291357
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,5,1118,0.8023255813953488,0.19767441860465115,0.7918925265323805,0.2081074734676195
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,6,1117,0.8728737690241719,0.12712623097582812,0.8389365193342713,0.16106348066572873
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,7,1117,0.9122649955237243,0.08773500447627573,0.8782672612711008,0.1217327387288992
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,8,1118,0.9427549194991055,0.057245080500894455,0.9089724396052582,0.09102756039474186
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,9,1117,0.964189794091316,0.03581020590868397,0.9363750509438663,0.06362494905613392
conservative_safe_22,nonpromotion_only,ExtraTrees,repurchase_score,10,1118,0.9785330948121646,0.02146690518783542,0.961779853253402,0.038220146746598085
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,1,1118,0.9785330948121646,0.02146690518783542,0.961779853253402,0.038220146746598085
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,2,1117,0.964189794091316,0.03581020590868397,0.9363750509438663,0.06362494905613392
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,3,1118,0.9427549194991055,0.057245080500894455,0.9089724396052582,0.09102756039474186
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,4,1117,0.9122649955237243,0.08773500447627573,0.8782672612711008,0.1217327387288992
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,5,1118,0.8729874776386404,0.12701252236135957,0.8389177836981776,0.16108221630182243
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,6,1117,0.8021486123545211,0.19785138764547897,0.7918691625649238,0.20813083743507618
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,7,1117,0.7439570277529096,0.25604297224709044,0.7441378305670865,0.25586216943291357
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,8,1118,0.6547406082289803,0.34525939177101966,0.6822003650614286,0.3177996349385714
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,9,1117,0.4315129811996419,0.5684870188003581,0.5286331272236864,0.4713668727763137
conservative_safe_22,nonpromotion_only,ExtraTrees,churn_risk,10,1118,0.3211091234347048,0.6788908765652951,0.35100787339771927,0.6489921266022807
conservative_safe_22,nonpromotion_only,GradientBoosting,repurchase_score,1,1118,0.276386404293381,0.723613595706619,0.3180157269463791,0.681984273053621
conservative_safe_22,nonpromotion_only,GradientBoosting,repurchase_score,2,1117,0.4646374216651746,0.5353625783348255,0.47029093801779565,0.5297090619822044
conservative_safe_22,nonpromotion_only,GradientBoosting,repurchase_score,3,1118,0.6779964221824687,0.3220035778175313,0.6513903978223987,0.3486096021776013
conservative_safe_22,nonpromotion_only,GradientBoosting,repurchase_score,4,1117,0.7197851387645479,0.2802148612354521,0.7208852631030425,0.27911473689695765
