feature_set_name,dataset_scope,model_name,will_run,reason
conservative_safe_22,overall_without_promotion,LogisticRegression,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,HistGradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,RandomForest,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,GradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,ExtraTrees,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,LightGBM,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,XGBoost,True,fixed-parameter model family comparison
conservative_safe_22,overall_without_promotion,CatBoost,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,LogisticRegression,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,HistGradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,RandomForest,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,GradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,ExtraTrees,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,LightGBM,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,XGBoost,True,fixed-parameter model family comparison
conservative_safe_22,overall_with_promotion,CatBoost,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,LogisticRegression,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,HistGradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,RandomForest,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,GradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,ExtraTrees,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,LightGBM,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,XGBoost,True,fixed-parameter model family comparison
conservative_safe_22,promotion_only,CatBoost,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,LogisticRegression,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,HistGradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,RandomForest,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,GradientBoosting,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,ExtraTrees,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,LightGBM,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,XGBoost,True,fixed-parameter model family comparison
conservative_safe_22,nonpromotion_only,CatBoost,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,LogisticRegression,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,HistGradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,RandomForest,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,GradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,ExtraTrees,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,LightGBM,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,XGBoost,True,fixed-parameter model family comparison
expanded_feature_set,overall_without_promotion,CatBoost,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,LogisticRegression,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,HistGradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,RandomForest,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,GradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,ExtraTrees,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,LightGBM,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,XGBoost,True,fixed-parameter model family comparison
expanded_feature_set,overall_with_promotion,CatBoost,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,LogisticRegression,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,HistGradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,RandomForest,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,GradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,ExtraTrees,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,LightGBM,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,XGBoost,True,fixed-parameter model family comparison
expanded_feature_set,promotion_only,CatBoost,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,LogisticRegression,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,HistGradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,RandomForest,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,GradientBoosting,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,ExtraTrees,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,LightGBM,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,XGBoost,True,fixed-parameter model family comparison
expanded_feature_set,nonpromotion_only,CatBoost,True,fixed-parameter model family comparison
