USER_KEY,is_repurchase,repurchase_score_oof_logisticregression,churn_risk_score_oof_logisticregression,repurchase_score_oof_gradientboosting,churn_risk_score_oof_gradientboosting
534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913fcbe40bbb84f8779ab1fde8f4653122faa2cefe34b5b099d4a251f6eb5d22953218a6b3,1,0.44841798,0.55158202,0.72039197,0.27960803
1d47cdbe7f7016e6c3f42cb08e37db55548481ffa31122e1a18a27ce9cbf48909626edb727951dca8222d839d8d72138b6ddadf0da7c4f0fb0e17723f23f2759,0,0.46459078,0.53540922,0.746333,0.253667
60881ae7798e9a1496e8e524b9291a6a4b0dab2f0e67a90772097ca8267f4a83c28bb02d340a9ed5daae3996202d13d3a551b9c8cdfa8c1e48510c247cd74390,1,0.29286877,0.70713123,0.82344094,0.17655906
2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff,1,0.98450816,0.01549184,0.97835974,0.02164026
0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa,1,0.20564419,0.79435581,0.50118022,0.49881978
62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca,1,0.70712814,0.29287186,0.8262178,0.1737822
55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4,1,0.89997561,0.10002439,0.97582107,0.02417893
b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,1,0.42766507,0.57233493,0.60673602,0.39326398
215870651ff3758eed08f033a15756df74a2360a0d080b6eeafbbe97646854adec9188e869d8f016d79cd0ad00d4b76ba42b14adc1364fb101e6c3ff29535ff4,1,0.85307793,0.14692207,0.93987839,0.06012161
f4fbd206eb9c6bee476a2d25b16a18eaaa05690b48a6de8d06670744fc129469fd584369d7eb709e806c87f36618426f059e9e0083651ac098b0324a312d0e3f,1,0.45076992,0.54923008,0.72534524,0.27465476
6ed11f433b70f3cb9f774c989bb71d93d7eaf56490c7f0135def999959606e243e1b64dde71d199618dafd4a5fcc14253248964ee4dde610decb58610d95405b,1,0.61287847,0.38712153,0.81225662,0.18774338
c1f7ae1eaebdd5cdd89f308c424154b2f900c4f758fb646f54670431d460cfa819bd55836a8836937bcc708cdc307666e4e0d02d9cdcd69317b49f7055abd030,0,0.40974886,0.59025114,0.90119723,0.09880277
6d45315d362a00f79ee58e71c8f5f53221dd01b9816370548356290293bd1ec6afc1b182d7a5bbc5e30490e25883a06dd08a33a934c093e3b9476208c168067f,0,0.57638244,0.42361756,0.8391878,0.1608122
e4928824e8ad9da6a73129ef84ee2a2204c2a4679729d3550628432311dc07f0b351ef3a5799d68bbdf50b930d1c775c3bbd585286c850392d88806a73f94575,1,0.70832471,0.29167529,0.82931382,0.17068618
fe9e2fca758c974f49a09db206158db253bf74ed8083707bf0f1ca3674a4c26fea279f7de492bd9492ad1c82986dd7f1d52339aea683c584189119bf074d9098,1,0.76939085,0.23060915,0.90981011,0.09018989
c887b4e54e444c560ee497cd46c3d16a1a3261c1748b4c3cc80cbd14f30e0fb26ecd6329d6cacde21dcae528819ab251671e728edabbe9fc25ddb51421904393,1,0.95796142,0.04203858,0.96151893,0.03848107
