redundancy_check,status,feature_set_name
total vs weekly,not_triggered,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
total sessions vs weekly sessions,not_triggered,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
weekly ratios vs weekly raw values,not_triggered,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
deltas vs source week values,not_triggered,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
genre ratios sum/composition,TRIGGERED,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
coverage/missing complement,not_triggered,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
watch presence complement,not_triggered,pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence
total vs weekly,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
total sessions vs weekly sessions,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
weekly ratios vs weekly raw values,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
deltas vs source week values,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
genre ratios sum/composition,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
coverage/missing complement,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
watch presence complement,not_triggered,pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence
total vs weekly,not_triggered,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
total sessions vs weekly sessions,not_triggered,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
weekly ratios vs weekly raw values,not_triggered,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
deltas vs source week values,not_triggered,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
genre ratios sum/composition,TRIGGERED,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
coverage/missing complement,not_triggered,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
watch presence complement,not_triggered,pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence
total vs weekly,not_triggered,pruned_w1_3_timing_sensitive_all_weeks_reference
total sessions vs weekly sessions,not_triggered,pruned_w1_3_timing_sensitive_all_weeks_reference
weekly ratios vs weekly raw values,not_triggered,pruned_w1_3_timing_sensitive_all_weeks_reference
deltas vs source week values,not_triggered,pruned_w1_3_timing_sensitive_all_weeks_reference
genre ratios sum/composition,TRIGGERED,pruned_w1_3_timing_sensitive_all_weeks_reference
coverage/missing complement,not_triggered,pruned_w1_3_timing_sensitive_all_weeks_reference
watch presence complement,not_triggered,pruned_w1_3_timing_sensitive_all_weeks_reference
total vs weekly,not_triggered,pruned_w1_3_early_safer_week1_2_reference
total sessions vs weekly sessions,not_triggered,pruned_w1_3_early_safer_week1_2_reference
weekly ratios vs weekly raw values,not_triggered,pruned_w1_3_early_safer_week1_2_reference
deltas vs source week values,not_triggered,pruned_w1_3_early_safer_week1_2_reference
genre ratios sum/composition,not_triggered,pruned_w1_3_early_safer_week1_2_reference
coverage/missing complement,not_triggered,pruned_w1_3_early_safer_week1_2_reference
watch presence complement,not_triggered,pruned_w1_3_early_safer_week1_2_reference
total vs weekly,not_triggered,pruned_w1_4_late_period_comparison
total sessions vs weekly sessions,not_triggered,pruned_w1_4_late_period_comparison
weekly ratios vs weekly raw values,not_triggered,pruned_w1_4_late_period_comparison
deltas vs source week values,not_triggered,pruned_w1_4_late_period_comparison
genre ratios sum/composition,TRIGGERED,pruned_w1_4_late_period_comparison
coverage/missing complement,not_triggered,pruned_w1_4_late_period_comparison
watch presence complement,not_triggered,pruned_w1_4_late_period_comparison
